index	kind	model	program	sha256	arguments	expected_sc	builtin_status	cat_status	classification	builtin_signature	cat_signature
1	correct	sc	correct/litmus/2+2W+2sc+scf/variants/2+2w+2sc+scf0.c	a203cd406926b9515c11a6b94e84ed5e8a64f62b141be724df0673bfe0bff151	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
1	correct	tso	correct/litmus/2+2W+2sc+scf/variants/2+2w+2sc+scf0.c	a203cd406926b9515c11a6b94e84ed5e8a64f62b141be724df0673bfe0bff151	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
2	correct	sc	correct/litmus/2+2W+3sc+rel1/variants/2+2w+3sc+rel10.c	e9055ee8d8387c0b1ae016fd482019575a645bcd8ae5aa844ae1383767ab5f5f	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
2	correct	tso	correct/litmus/2+2W+3sc+rel1/variants/2+2w+3sc+rel10.c	e9055ee8d8387c0b1ae016fd482019575a645bcd8ae5aa844ae1383767ab5f5f	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
3	correct	sc	correct/litmus/2+2W+3sc+rel2/variants/2+2w+3sc+rel20.c	eab6aeb7086791c078da97f361bbe94a4406576dab929c1484ac2ce22ccbb121	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
3	correct	tso	correct/litmus/2+2W+3sc+rel2/variants/2+2w+3sc+rel20.c	eab6aeb7086791c078da97f361bbe94a4406576dab929c1484ac2ce22ccbb121	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
4	correct	sc	correct/litmus/2+2W+4sc/variants/2+2w+4sc0.c	cde1b3d1c3c7024046087073fe6d13b8231e55e2fbed55eb3ed7fb4986a8ef9e	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
4	correct	tso	correct/litmus/2+2W+4sc/variants/2+2w+4sc0.c	cde1b3d1c3c7024046087073fe6d13b8231e55e2fbed55eb3ed7fb4986a8ef9e	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
5	correct	sc	correct/litmus/2+2W+scfs/variants/2+2w+scfs0.c	98c9b1e4ea828df262f57f40ec194a939d24f029dcd46245205db86694b20a2f	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
5	correct	tso	correct/litmus/2+2W+scfs/variants/2+2w+scfs0.c	98c9b1e4ea828df262f57f40ec194a939d24f029dcd46245205db86694b20a2f	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
6	correct	sc	correct/litmus/2+2W/variants/2+2W0.c	95f48d96f4ce324aafddf556245f6357f56c1aee7eeaf08ac33f64226142effe	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
6	correct	tso	correct/litmus/2+2W/variants/2+2W0.c	95f48d96f4ce324aafddf556245f6357f56c1aee7eeaf08ac33f64226142effe	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
7	correct	sc	correct/litmus/2+2W/variants/2+2W1.c	feb631777aef05ac77eb68e3470f3f6eef477436b86556a5a1292c7e429978dc	-disable-ipr -disable-sr  | 	3	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 3
