backend	model	program	repetition	status	real_seconds	peak_rss_bytes	complete_executions
phase2-offline	sc	correct/litmus/SB/variants/sb0.c	1	0	0.04	52510720	3
phase2-offline	sc	correct/litmus/SB/variants/sb0.c	2	0	0.04	52625408	3
phase2-offline	sc	correct/litmus/SB/variants/sb0.c	3	0	0.04	52543488	3
phase2-offline	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.05	53575680	8
phase2-offline	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.05	53592064	8
phase2-offline	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.05	53411840	8
phase2-offline	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.22	54525952	24
phase2-offline	sc	correct/data-structures/fcombiner-async/variants/main0.c	2	0	0.22	54444032	24
phase2-offline	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	0.22	54411264	24
phase2-offline	tso	correct/litmus/SB/variants/sb0.c	1	0	0.04	52543488	4
phase2-offline	tso	correct/litmus/SB/variants/sb0.c	2	0	0.04	52543488	4
phase2-offline	tso	correct/litmus/SB/variants/sb0.c	3	0	0.04	52527104	4
phase2-offline	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.05	53526528	8
phase2-offline	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.05	53510144	8
phase2-offline	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.05	53542912	8
phase2-offline	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.07	54460416	0
phase2-offline	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.07	54525952	0
phase2-offline	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.07	54460416	0
phase2-offline	pso	correct/litmus/SB/variants/sb0.c	1	0	0.04	52510720	4
phase2-offline	pso	correct/litmus/SB/variants/sb0.c	2	0	0.04	52576256	4
phase2-offline	pso	correct/litmus/SB/variants/sb0.c	3	0	0.04	52559872	4
phase2-offline	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.05	53493760	11
phase2-offline	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.05	53592064	11
phase2-offline	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.05	53542912	11
phase2-offline	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.07	54509568	0
phase2-offline	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.07	54444032	0
phase2-offline	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.07	54509568	0
phase3-online	sc	correct/litmus/SB/variants/sb0.c	1	0	0.05	52510720	3
phase3-online	sc	correct/litmus/SB/variants/sb0.c	2	0	0.04	52592640	3
phase3-online	sc	correct/litmus/SB/variants/sb0.c	3	0	0.04	52543488	3
phase3-online	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	53641216	8
phase3-online	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.06	53460992	8
phase3-online	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.07	53559296	8
phase3-online	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	1.29	54460416	24
phase3-online	sc	correct/data-structures/fcombiner-async/variants/main0.c	2	0	1.29	54411264	24
phase3-online	sc	correct/data-structures/fcombiner-async/variants/main0.c	3	0	1.30	54411264	24
phase3-online	tso	correct/litmus/SB/variants/sb0.c	1	0	0.04	52543488	4
phase3-online	tso	correct/litmus/SB/variants/sb0.c	2	0	0.04	52641792	4
phase3-online	tso	correct/litmus/SB/variants/sb0.c	3	0	0.04	52494336	4
phase3-online	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.07	53526528	8
phase3-online	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.07	53460992	8
phase3-online	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.07	53624832	8
phase3-online	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.09	54411264	0
phase3-online	tso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.09	54493184	0
phase3-online	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.09	54444032	0
phase3-online	pso	correct/litmus/SB/variants/sb0.c	1	0	0.04	52576256	4
phase3-online	pso	correct/litmus/SB/variants/sb0.c	2	0	0.04	52576256	4
phase3-online	pso	correct/litmus/SB/variants/sb0.c	3	0	0.04	52625408	4
phase3-online	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.07	53428224	11
phase3-online	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.07	53575680	11
phase3-online	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.07	53510144	11
phase3-online	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.09	54444032	0
phase3-online	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.10	54444032	0
phase3-online	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.09	54427648	0
