backend	model	program	n	mean	sd	median	ci_low	ci_high	q25	q75	rss_mean_mib	rss_sd_mib	executions	blocked
genmc	sc	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.15	0.060380736442456	3	0
cat	sc	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.1609375	0.0536483615909087	3	0
caat	sc	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.1375	0.0720935686374928	3	0
genmc	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.051	0.00316227766016838	0.05	0.0487378428372018	0.0532621571627982	0.05	0.05	50.2109375	0.072262692320373	4	0
cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.165625	0.0740975801824114	4	0
caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.051	0.00316227766016838	0.05	0.0487378428372018	0.0532621571627982	0.05	0.05	50.16875	0.0574335364670426	4	0
genmc	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.3125	0.0846254000482912	2	6
cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.062	0.00421637021355784	0.06	0.0589837904496024	0.0650162095503976	0.06	0.06	51.296875	0.058925565098879	2	6
caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.07	0	0.07	0.07	0.07	0.07	0.07	51.275	0.0580910145566612	2	6
genmc	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.061	0.00316227766016838	0.06	0.0587378428372018	0.0632621571627982	0.06	0.06	51.0984375	0.0772696228673051	8	6
cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.062	0.00421637021355784	0.06	0.0589837904496024	0.0650162095503976	0.06	0.06	51.0546875	0.0672056661487705	8	6
caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.08	0.00666666666666666	0.08	0.0752309539601956	0.0847690460398044	0.08	0.08	51.0640625	0.0841270791801837	8	6
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0.09	0	0.09	0.09	0.09	0.09	0.09	51.9609375	0.0516912323991646	24	16
cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	0.167	0.00823272602348564	0.165	0.161110662584135	0.172889337415865	0.16	0.17	52.009375	0.0687815584134132	24	16
caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	10	1.447	0.023118054512533	1.44	1.43046234005185	1.46353765994815	1.4325	1.45	52.003125	0.0968245836551854	24	16
genmc	tso	correct/litmus/SB/variants/sb0.c	10	0.052	0.00632455532033676	0.05	0.0474756856744036	0.0565243143255964	0.05	0.05	50.16875	0.0670237830922726	4	0
cat	tso	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.1859375	0.0712038410422266	4	0
caat	tso	correct/litmus/SB/variants/sb0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.1609375	0.0536483615909087	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.1421875	0.0660658144601107	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.05	0	0.05	0.05	0.05	0.05	0.05	50.2171875	0.0838040093263244	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	10	0.052	0.00421637021355784	0.05	0.0489837904496024	0.0550162095503976	0.05	0.05	50.1875	0.0966001926614136	4	0
genmc	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.315625	0.0761201079435213	2	6
cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.3078125	0.072187575156286	2	6
caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	10	0.07	0	0.07	0.07	0.07	0.07	0.07	51.2671875	0.0474215818337085	2	6
genmc	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.06	0	0.06	0.06	0.06	0.06	0.06	51.0296875	0.0708218434308543	8	6
cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.061	0.00316227766016838	0.06	0.0587378428372018	0.0632621571627982	0.06	0.06	51.0734375	0.0807039611188805	8	6
caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	10	0.08	0	0.08	0.08	0.08	0.08	0.08	51.0828125	0.0982844378788761	8	6
genmc	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	0.08	0	0.08	0.08	0.08	0.08	0.08	51.9453125	0.0594982273895618	0	0
cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	0.082	0.00421637021355784	0.08	0.0789837904496024	0.0850162095503976	0.08	0.08	51.95625	0.0476213727110936	0	0
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	10	0.106	0.00516397779494322	0.11	0.102305912822108	0.109694087177892	0.1	0.11	51.996875	0.0602007636533329	0	0
