model	program	backend	real_seconds	peak_rss_mib	base_time	base_rss	time_ratio	rss_ratio	rss_delta_mib
sc	correct/data-structures/fcombiner-async/variants/main0.c	caat	1.44	51.9921875	0.09	51.953125	16	1.00075187969925	0.0390625
sc	correct/data-structures/fcombiner-async/variants/main0.c	cat	0.165	52.015625	0.09	51.953125	1.83333333333333	1.0012030075188	0.0625
sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	caat	0.07	51.2734375	0.06	51.3046875	1.16666666666667	0.999390893863256	-0.03125
sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	cat	0.06	51.296875	0.06	51.3046875	1	0.999847723465814	-0.0078125
sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	caat	0.08	51.0546875	0.06	51.1015625	1.33333333333333	0.999082709065892	-0.046875
sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	cat	0.06	51.0390625	0.06	51.1015625	1	0.99877694542119	-0.0625
sc	correct/litmus/RMWFix/variants/rmwfix0.c	caat	0.05	50.1640625	0.05	50.2421875	1	0.998445031876847	-0.078125
sc	correct/litmus/RMWFix/variants/rmwfix0.c	cat	0.05	50.140625	0.05	50.2421875	1	0.9979785414399	-0.1015625
sc	correct/litmus/SB/variants/sb0.c	caat	0.05	50.125	0.05	50.1484375	1	0.999532637482474	-0.0234375
sc	correct/litmus/SB/variants/sb0.c	cat	0.05	50.1640625	0.05	50.1484375	1	1.00031157501168	0.015625
tso	correct/data-structures/fcombiner-async/variants/main0.c	caat	0.11	51.9765625	0.08	51.9375	1.375	1.00075210589651	0.0390625
tso	correct/data-structures/fcombiner-async/variants/main0.c	cat	0.08	51.953125	0.08	51.9375	1	1.0003008423586	0.015625
tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	caat	0.07	51.265625	0.06	51.328125	1.16666666666667	0.998782343987823	-0.0625
tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	cat	0.06	51.28125	0.06	51.328125	1	0.999086757990868	-0.046875
tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	caat	0.08	51.046875	0.06	51.0078125	1.33333333333333	1.00076581406035	0.0390625
tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	cat	0.06	51.09375	0.06	51.0078125	1	1.00168479093276	0.0859375
tso	correct/litmus/RMWFix/variants/rmwfix0.c	caat	0.05	50.171875	0.05	50.1328125	1	1.00077918030232	0.0390625
tso	correct/litmus/RMWFix/variants/rmwfix0.c	cat	0.05	50.2109375	0.05	50.1328125	1	1.00155836060464	0.078125
tso	correct/litmus/SB/variants/sb0.c	caat	0.05	50.1484375	0.05	50.1796875	1	0.999377238050755	-0.03125
tso	correct/litmus/SB/variants/sb0.c	cat	0.05	50.1875	0.05	50.1796875	1	1.00015569048731	0.0078125
