model	method	threads	tasks	wall_speedup	ci95_low	ci95_high	effect_percent
pso	caat	2	79	1.0003220238495143	0.9625098454639321	1.05039056806604	0.032202384951429686
pso	caat	4	79	0.9825536192824668	0.9277625273809811	1.0565836986792163	-1.7446380717533239
pso	caat	8	77	0.9212606041719833	0.8602052993911155	1.0077515180870666	-7.87393958280167
pso	cat	2	81	1.0291269377982213	0.993102284550944	1.0794392922539542	2.9126937798221286
pso	cat	4	82	0.9936603408213054	0.9428435483649847	1.0642070902205585	-0.6339659178694612
pso	cat	8	81	0.9186823232288669	0.8602686256309384	0.9947332465350923	-8.131767677113311
sc	caat	2	90	0.9685380156566837	0.9377487892038564	0.9964912443073762	-3.1461984343316263
sc	caat	4	89	1.046750010857598	0.9858445226422361	1.1186945351898114	4.6750010857598
sc	caat	8	88	1.0350669608268275	0.9353559282301049	1.1588563445798175	3.5066960826827476
sc	cat	2	84	1.006235192343462	0.9673995044230743	1.04805684518128	0.6235192343462037
sc	cat	4	83	1.002987531743942	0.9632542102302326	1.054224025561713	0.29875317439420623
sc	cat	8	81	0.977232634395883	0.9052315222929879	1.0731260010821815	-2.2767365604116963
sc	genmc	2	96	0.9443315222759172	0.9110431959313576	0.9751442004496572	-5.566847772408279
sc	genmc	4	94	0.9999511437744135	0.9632329947705808	1.0410928466322622	-0.004885622558647995
sc	genmc	8	93	1.0214012344494967	0.9263955596695365	1.1538583881376967	2.140123444949671
tso	caat	2	89	0.9441729918375127	0.9143740734236041	0.9722469960054118	-5.582700816248732
tso	caat	4	87	1.010953473121092	0.9531000034535868	1.0818209877373517	1.0953473121092072
tso	caat	8	85	0.981961439752302	0.8935681928794071	1.095806102222731	-1.803856024769801
tso	cat	2	81	1.0381191745564629	1.0076297865302681	1.0808349904293604	3.8119174556462854
tso	cat	4	82	1.0056750815303783	0.9547116688268363	1.0738803607813874	0.5675081530378323
tso	cat	8	81	0.9544589871039677	0.8855595049183899	1.0468700492915246	-4.55410128960323
tso	genmc	2	96	0.9281741034177179	0.8940078245450767	0.9594318000966011	-7.182589658228212
tso	genmc	4	95	1.0095263808785087	0.9650359860656529	1.0617709131898592	0.9526380878508656
tso	genmc	8	92	1.014920178144011	0.9228950914247807	1.14361549949456	1.492017814401092
