model	method	threads	runs	solved	completion_rate	true	false	timeout	oom	aborted	other
pso	caat	1	480	395	0.8229166666666666	270	125	85	0	0	0
pso	caat	2	480	392	0.8166666666666667	270	122	85	0	3	0
pso	caat	4	480	389	0.8104166666666667	275	114	76	0	12	3
pso	caat	8	480	386	0.8041666666666667	275	111	76	0	14	4
pso	cat	1	480	410	0.8541666666666666	280	130	70	0	0	0
pso	cat	2	480	404	0.8416666666666667	280	124	75	0	1	0
pso	cat	4	480	411	0.85625	285	126	61	0	5	3
pso	cat	8	480	412	0.8583333333333333	295	117	50	0	15	3
sc	caat	1	480	450	0.9375	305	145	30	0	0	0
sc	caat	2	480	445	0.9270833333333334	305	140	31	0	4	0
sc	caat	4	480	434	0.9041666666666667	305	129	30	0	12	4
sc	caat	8	480	428	0.8916666666666667	305	123	30	0	19	3
sc	cat	1	480	445	0.9270833333333334	285	160	35	0	0	0
sc	cat	2	480	417	0.86875	285	132	60	0	3	0
sc	cat	4	480	419	0.8729166666666667	300	119	45	0	14	2
sc	cat	8	480	414	0.8625	300	114	44	0	18	4
sc	genmc	1	480	480	1.0	305	175	0	0	0	0
sc	genmc	2	480	471	0.98125	305	166	0	0	9	0
sc	genmc	4	480	460	0.9583333333333334	305	155	0	0	17	3
sc	genmc	8	480	456	0.95	305	151	0	0	20	4
tso	caat	1	480	445	0.9270833333333334	305	140	35	0	0	0
tso	caat	2	480	444	0.925	305	139	35	0	1	0
tso	caat	4	480	432	0.9	305	127	30	0	13	5
tso	caat	8	480	424	0.8833333333333333	305	119	30	0	25	1
tso	cat	1	480	410	0.8541666666666666	280	130	70	0	0	0
tso	cat	2	480	402	0.8375	280	122	75	0	3	0
tso	cat	4	480	406	0.8458333333333333	285	121	60	0	14	0
tso	cat	8	480	411	0.85625	295	116	50	0	16	3
tso	genmc	1	480	480	1.0	305	175	0	0	0	0
tso	genmc	2	480	471	0.98125	305	166	0	0	9	0
tso	genmc	4	480	462	0.9625	305	157	0	0	17	1
tso	genmc	8	480	454	0.9458333333333333	305	149	0	0	24	2
