tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		parallel-pso-t1-r5.caat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.caat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.caat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.caat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.caat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.caat-pso.t1.r01.unreach-call	parallel-pso-t2-r5.caat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.caat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.caat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.caat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.caat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.caat-pso.t2.r01.unreach-call	parallel-pso-t4-r5.caat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.caat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.caat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.caat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.caat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.caat-pso.t4.r01.unreach-call	parallel-pso-t8-r5.caat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.caat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.caat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.caat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.caat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.caat-pso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.056312845	0.05950261699035764	25.825280		1	true	0.064231943	0.06999178102705628	25.960448		1	true	0.068681146	0.07162721001077443	25.952256		1	true	0.076861615	0.07845572900259867	25.956352		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.059446169	0.06261976098176092	25.964544		0	false(unreach-call)	0.06207484	0.06668763305060565	25.874432		0	false(unreach-call)	0.071776859	0.07293259503785521	25.952256		0	false(unreach-call)	0.07472965	0.07397543697152287	25.952256		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.047276909	0.050684589019510895	25.849856		1	true	0.050138003	0.05318810202879831	25.899008		1	true	0.053967552	0.05624229600653052	25.948160		1	true	0.060520582	0.06447661604033783	25.960448		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.060214127	0.06391737697413191	25.960448		1	true	0.063986404	0.06577976298285648	25.886720		1	true	0.060572073	0.062482431007083505	25.993216		1	true	0.063060799	0.06681859702803195	25.927680		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.048585436	0.05396843596827239	25.890816		2	true	0.051730965	0.05451658001402393	25.960448		2	true	0.058818201	0.0577527720015496	26.030080		2	true	0.073979819	0.07354384503560141	25.960448		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.062082143	0.06837694195564836	25.956352		1	true	0.053894787	0.05749496800126508	25.956352		1	true	0.067801173	0.07117237598868087	25.952256		1	true	0.072862844	0.07217532198410481	25.956352		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.063817657	0.06761738803470507	25.968640		2	true	0.065162816	0.06849938002415001	25.899008		2	true	0.055022393	0.06113957799971104	25.907200		2	true	0.081256279	0.07773469103267416	25.956352		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.060954801	0.06513058202108368	25.952256		0	false(unreach-call)	0.057581025	0.05993869999656454	25.907200	1	0	false(unreach-call)	0.069617331	0.07371360203251243	25.927680	1	0	false(unreach-call)	0.069090931	0.07062916201539338	25.960448	1	0
