tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
pthread/stateful01-1.yml	false	false(unreach-call)	0.065400886	0.06984530802583322	26.021888		0	false(unreach-call)	0.055408778	0.054951337981037796	26.021888	2	0	false(unreach-call)	0.059341429	0.05950328602921218	26.034176	1	0	ABORTED	0.062401643	0.16415812796913087	26.038272		
pthread/triangular-1.yml	true	TIMEOUT	61.00519267	61.01127408404136	26.054656			TIMEOUT	121.928636923	61.00665639800718	26.021888			true	196.614086943	49.35785311402287	26.038272		16632	true	168.579589917	21.181723058980424	26.083328		16632
pthread/triangular-2.yml	false	false(unreach-call)	31.56216815	31.56730575405527	26.083328		3638	TIMEOUT	121.925427854	61.009667974023614	26.083328			false(unreach-call)	105.290986752	26.437838953977916	26.030080	7	9064	false(unreach-call)	96.669732296	12.169250897015445	26.091520	11	9490
pthread-deagle/circular_buffer_bad.yml	false	false(unreach-call)	0.091679674	0.09657345799496397	26.099712		1	false(unreach-call)	0.101296452	0.08545180602231994	26.116096	7	1	false(unreach-call)	0.081508121	0.07600349700078368	26.218496	20	0	ABORTED	0.098280454	0.17885338503401726	26.214400		
pthread/fib_safe-5.yml	true	TIMEOUT	61.002987399	61.01107268297346	25.952256			TIMEOUT	121.659186659	61.00896054500481	26.087424			TIMEOUT	243.746530727	61.01034163899021	26.083328			true	330.944634868	41.51904387498507	28.872704		2772
pthread/fib_unsafe-5.yml	false	TIMEOUT	61.003589776	61.009374403976835	26.017792			TIMEOUT	121.824938164	61.01033680298133	26.005504			false(unreach-call)	134.7634297	33.775493676017504	26.034176	9	979	false(unreach-call)	160.597804795	20.165479049959686	28.581888	14	1289
pthread-deagle/circular_buffer_ok.yml	true	TIMEOUT	61.003865238	61.00902183598373	26.083328			TIMEOUT	121.74666184	61.013467243989	26.038272			TIMEOUT	243.758613132	61.00852784299059	26.222592			true	225.83531975	28.34673097700579	26.218496		3432
pthread-C-DAC/pthread-demo-datarace-3.yml	false	false(unreach-call)	0.134631844	0.14024277299176902	26.066944		0	false(unreach-call)	0.316682126	0.19386753102298826	26.038272	14	0	false(unreach-call)	0.117119405	0.08754438697360456	26.001408	31	1	ABORTED	0.121609752	0.19932873599464074	26.144768		
pthread/reorder_2.yml	false	false(unreach-call)	1.133288026	1.1349733949755318	26.107904		162	ABORTED	0.606729039	0.42904133402043954	26.210304			ABORTED	0.245728898	0.21743396698730066	26.103808			ABORTED	0.634877336	0.2705334830097854	26.214400		
pthread/twostage_3.yml	false	false(unreach-call)	0.084819518	0.08949458401184529	26.214400		4	false(unreach-call)	0.095936487	0.08558727998752147	26.353664	8	2	ABORTED	0.124576909	0.2169267479912378	26.349568			ABORTED	0.162181203	0.21011229901341721	26.345472		
