tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t1-r5.cat-pso.t1.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t2-r5.cat-pso.t2.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t4-r5.cat-pso.t4.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call	parallel-pso-t8-r5.cat-pso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.06159792	0.06527739501325414	25.853952		1	true	0.052996131	0.056119371962267905	25.907200		1	true	0.060827418	0.06335641199257225	25.952256		1	true	0.064634978	0.06774546299129725	25.882624		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.059006344	0.07054289197549224	25.829376		0	false(unreach-call)	0.053352003	0.05389404797460884	25.960448		0	false(unreach-call)	0.066742404	0.07063178799580783	25.845760		0	false(unreach-call)	0.066732591	0.06594567000865936	25.952256		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.057797914	0.06565795699134469	25.903104		1	true	0.078430164	0.07901016296818852	25.899008		1	true	0.062201465	0.06686151400208473	25.964544		1	true	0.067945551	0.07105550699634477	25.956352		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.06039586	0.07435878698015586	25.886720		1	true	0.063534763	0.06617498397827148	25.882624		1	true	0.065392573	0.065793713030871	25.911296		1	true	0.073137983	0.07611284399172291	25.960448		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.060339881	0.06298175599658862	25.956352		2	true	0.062077405	0.06214628601446748	25.907200		2	true	0.061842817	0.06389181700069457	25.976832		2	true	0.069536962	0.06992590398294851	26.042368		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.060673043	0.07069380203029141	25.956352		1	true	0.050359955	0.05611443403176963	25.960448		1	true	0.057715154	0.05939483398105949	25.849856		1	true	0.07378507	0.07575816102325916	26.017792		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.06087408	0.06680245499592274	25.964544		2	true	0.062244677	0.06460662599420175	25.915392		2	true	0.06514544	0.06699315895093605	26.025984		2	true	0.061920976	0.06605005101300776	25.956352		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.064990589	0.06988381902920082	25.952256		0	false(unreach-call)	0.054703619	0.05471005104482174	25.903104	1	0	false(unreach-call)	0.066797805	0.06700831203488633	26.107904	1	0	false(unreach-call)	0.073833013	0.0745532099972479	25.960448	1	0
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	false(unreach-call)	0.061951101	0.06294641399290413	25.899008		0	false(unreach-call)	0.062090534	0.06610677996650338	25.956352		0	false(unreach-call)	0.063138987	0.06698973698075861	25.985024		0	false(unreach-call)	0.072043269	0.07259965396951884	26.030080		0
goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	0.062267219	0.07308105699485168	25.939968	1	1	true	0.055602652	0.05593677598517388	25.882624	1	1	true	0.071268635	0.07303692796267569	25.907200	1	1	true	0.075351417	0.07637635100400075	26.099712	1	1
goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	true	0.050573681	0.0541450580349192	25.907200		1	true	0.062502187	0.06688915798440576	25.878528		1	true	0.054641271	0.05890630203066394	25.968640		1	true	0.071695971	0.0727683849981986	25.952256		1
goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	0.052579568	0.06266910798149183	25.935872	1	1	true	0.055681008	0.057190130988601595	25.874432	1	1	true	0.064513682	0.06640113895991817	25.911296	1	1	true	0.065742081	0.06855683599133044	25.956352	1	1
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	0.060968232	0.06435351900290698	25.964544		0	false(unreach-call)	0.055748438	0.05936499801464379	25.985024	1	0	false(unreach-call)	0.063355714	0.0696302920114249	26.046464	1	0	false(unreach-call)	0.074837611	0.07538852404104546	26.017792	1	0
