tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		cat-pso.t4.r01.unreach-call	cat-pso.t4.r01.unreach-call	cat-pso.t4.r01.unreach-call	cat-pso.t4.r01.unreach-call	cat-pso.t4.r01.unreach-call	cat-pso.t4.r01.unreach-call	caat-pso.t4.r01.unreach-call	caat-pso.t4.r01.unreach-call	caat-pso.t4.r01.unreach-call	caat-pso.t4.r01.unreach-call	caat-pso.t4.r01.unreach-call	caat-pso.t4.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.060827418	0.06335641199257225	25.952256		1	true	0.068681146	0.07162721001077443	25.952256		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.066742404	0.07063178799580783	25.845760		0	false(unreach-call)	0.071776859	0.07293259503785521	25.952256		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.062201465	0.06686151400208473	25.964544		1	true	0.053967552	0.05624229600653052	25.948160		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.065392573	0.065793713030871	25.911296		1	true	0.060572073	0.062482431007083505	25.993216		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.061842817	0.06389181700069457	25.976832		2	true	0.058818201	0.0577527720015496	26.030080		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.057715154	0.05939483398105949	25.849856		1	true	0.067801173	0.07117237598868087	25.952256		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.06514544	0.06699315895093605	26.025984		2	true	0.055022393	0.06113957799971104	25.907200		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.066797805	0.06700831203488633	26.107904	1	0	false(unreach-call)	0.069617331	0.07371360203251243	25.927680	1	0
