tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		cat-pso.t8.r01.unreach-call	cat-pso.t8.r01.unreach-call	cat-pso.t8.r01.unreach-call	cat-pso.t8.r01.unreach-call	cat-pso.t8.r01.unreach-call	cat-pso.t8.r01.unreach-call	caat-pso.t8.r01.unreach-call	caat-pso.t8.r01.unreach-call	caat-pso.t8.r01.unreach-call	caat-pso.t8.r01.unreach-call	caat-pso.t8.r01.unreach-call	caat-pso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
pthread/stateful01-1.yml	false	ABORTED	0.062401643	0.16415812796913087	26.038272			false(unreach-call)	0.069205592	0.06394496496068314	26.087424	3	0
pthread/triangular-1.yml	true	true	168.579589917	21.181723058980424	26.083328		16632	TIMEOUT	487.227946054	61.010129261994734	26.054656		
pthread/fib_safe-5.yml	true	true	330.944634868	41.51904387498507	28.872704		2772	TIMEOUT	486.912788165	61.01448272296693	35.250176		
pthread/fib_unsafe-5.yml	false	false(unreach-call)	160.597804795	20.165479049959686	28.581888	14	1289	TIMEOUT	487.08604367	61.01386578200618	35.790848		
pthread/lazy01.yml	false	false(unreach-call)	0.076528604	0.07661081000696868	26.087424	2	0	ABORTED	0.07089193	0.1859928239719011	26.083328		
pthread-deagle/circular_buffer_ok.yml	true	true	225.83531975	28.34673097700579	26.218496		3432	TIMEOUT	487.356157725	61.00897124799667	27.631616		
pthread/butterfly.yml	true	true	82.066808148	12.87270724697737	26.218496		64560	TIMEOUT	285.699941372	61.01419851696119	26.214400		
pthread-C-DAC/pthread-demo-datarace-3.yml	false	ABORTED	0.121609752	0.19932873599464074	26.144768			SEGMENTATION FAULT	1.090273761	0.3797087490092963	69.111808		
pthread/reorder_2.yml	false	ABORTED	0.634877336	0.2705334830097854	26.214400			false(unreach-call)	2.159449764	0.33592075703199953	26.218496	35	65
