tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		parallel-sc-t1-r5.genmc-sc.t1.r01.unreach-call	parallel-sc-t1-r5.genmc-sc.t1.r01.unreach-call	parallel-sc-t1-r5.genmc-sc.t1.r01.unreach-call	parallel-sc-t1-r5.genmc-sc.t1.r01.unreach-call	parallel-sc-t1-r5.genmc-sc.t1.r01.unreach-call	parallel-sc-t1-r5.genmc-sc.t1.r01.unreach-call	parallel-sc-t2-r5.genmc-sc.t2.r01.unreach-call	parallel-sc-t2-r5.genmc-sc.t2.r01.unreach-call	parallel-sc-t2-r5.genmc-sc.t2.r01.unreach-call	parallel-sc-t2-r5.genmc-sc.t2.r01.unreach-call	parallel-sc-t2-r5.genmc-sc.t2.r01.unreach-call	parallel-sc-t2-r5.genmc-sc.t2.r01.unreach-call	parallel-sc-t4-r5.genmc-sc.t4.r01.unreach-call	parallel-sc-t4-r5.genmc-sc.t4.r01.unreach-call	parallel-sc-t4-r5.genmc-sc.t4.r01.unreach-call	parallel-sc-t4-r5.genmc-sc.t4.r01.unreach-call	parallel-sc-t4-r5.genmc-sc.t4.r01.unreach-call	parallel-sc-t4-r5.genmc-sc.t4.r01.unreach-call	parallel-sc-t8-r5.genmc-sc.t8.r01.unreach-call	parallel-sc-t8-r5.genmc-sc.t8.r01.unreach-call	parallel-sc-t8-r5.genmc-sc.t8.r01.unreach-call	parallel-sc-t8-r5.genmc-sc.t8.r01.unreach-call	parallel-sc-t8-r5.genmc-sc.t8.r01.unreach-call	parallel-sc-t8-r5.genmc-sc.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.062013803	0.06622953701298684	25.694208		1	true	0.06612792	0.06707309401826933	25.645056		1	true	0.067402457	0.0751719800173305	25.620480		1	true	0.073821919	0.07397402497008443	25.694208		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.058536963	0.06145453598583117	25.690112		0	false(unreach-call)	0.061016433	0.06567482597893104	25.690112		0	false(unreach-call)	0.068317851	0.07224239903734997	25.649152		0	false(unreach-call)	0.069053162	0.0720474969712086	25.694208		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.060210791	0.06240097701083869	25.653248		1	true	0.062998793	0.0651247639907524	25.640960		1	true	0.064076777	0.0684620879474096	25.636864		1	true	0.071052472	0.07225631101755425	25.694208		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.057761373	0.060753360972739756	25.669632		1	true	0.061427067	0.0651305039646104	25.649152		1	true	0.059779768	0.06581619696225971	25.694208		1	true	0.067306718	0.06715585896745324	25.640960		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.049821705	0.05227685801219195	25.731072		2	true	0.060678287	0.06501941598253325	25.731072		2	true	0.06260103	0.06707629101583734	25.767936		2	true	0.067518302	0.07005871599540114	25.673728		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.0606477	0.06601978198159486	25.669632		1	true	0.062439648	0.06601512600900605	25.640960		1	true	0.061343814	0.06366632995195687	25.796608		1	true	0.067857977	0.07190797803923488	25.698304		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.065735525	0.06932606297777966	25.698304		2	true	0.062124159	0.06604252604302019	25.640960		2	true	0.072559896	0.07477793499128893	25.714688		2	true	0.07881263	0.08074944303371012	25.677824		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.063106623	0.06821227702312171	25.669632		0	false(unreach-call)	0.062008575	0.0636262180050835	25.743360	1	0	false(unreach-call)	0.062695049	0.06346993299666792	25.743360	1	0	false(unreach-call)	0.064577546	0.06540181499440223	25.616384	1	0
