tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-sc.t2.r01.unreach-call	genmc-sc.t2.r01.unreach-call	genmc-sc.t2.r01.unreach-call	genmc-sc.t2.r01.unreach-call	genmc-sc.t2.r01.unreach-call	genmc-sc.t2.r01.unreach-call	cat-sc.t2.r01.unreach-call	cat-sc.t2.r01.unreach-call	cat-sc.t2.r01.unreach-call	cat-sc.t2.r01.unreach-call	cat-sc.t2.r01.unreach-call	cat-sc.t2.r01.unreach-call	caat-sc.t2.r01.unreach-call	caat-sc.t2.r01.unreach-call	caat-sc.t2.r01.unreach-call	caat-sc.t2.r01.unreach-call	caat-sc.t2.r01.unreach-call	caat-sc.t2.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
pthread/triangular-1.yml	true	true	7.288994223	3.6821086020208895	25.722880		16632	TIMEOUT	121.747965682	61.0111831779941	25.911296			true	13.475508852	6.7730872590327635	25.825280		16632
goblint-regression/28-race_reach_37-indirect_racing.yml	false	false(unreach-call)	5.823008277	3.570645192055963	132.042752	2	0	TIMEOUT	91.883814461	61.1490437600296	5933.105152			TIMEOUT	121.096356544	61.30435101001058	5673.508864		
goblint-regression/28-race_reach_01-simple_racing.yml	false	false(unreach-call)	5.944926561	3.628047014994081	131.936256	2	0	TIMEOUT	91.558003877	61.14131911401637	5932.994560			TIMEOUT	121.111776948	61.31517422804609	5673.496576		
goblint-regression/28-race_reach_11-ptr_racing.yml	false	false(unreach-call)	5.848977185	3.5859064560499974	132.268032	2	0	TIMEOUT	91.464892724	61.13519752200227	5933.051904			TIMEOUT	121.124398085	61.34170112997526	5673.377792		
pthread/fib_safe-5.yml	true	true	3.982246211	2.022999159991741	25.817088		2772	TIMEOUT	121.884003589	61.008053664001636	25.964544			true	10.643832748	5.365532188967336	25.862144		2772
pthread/fib_safe-6.yml	true	true	18.591905768	9.3442785020452	25.817088		12012	TIMEOUT	121.929497266	61.0079836799996	25.796608			true	62.844638849	31.514038284949493	25.907200		12012
pthread/fib_unsafe-6.yml	false	false(unreach-call)	7.884475122	3.9773610300035216	25.767936	7	4852	TIMEOUT	121.928330226	61.006788273050915	25.882624			false(unreach-call)	23.148718528	11.618112097028643	25.825280	12	4850
pthread/fib_unsafe-7.yml	false	false(unreach-call)	34.734969135	17.40063402702799	25.772032	11	20308	TIMEOUT	121.940979729	61.01097349898191	25.964544			false(unreach-call)	117.002515454	58.5700567580061	25.858048	10	20279
goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	false(unreach-call)	5.786369951	3.561768148036208	132.063232	2	0	TIMEOUT	92.045408653	61.13132789998781	5932.986368			TIMEOUT	121.108706495	61.32003146602074	5673.459712		
pthread-deagle/circular_buffer_ok.yml	true	true	2.67754818	1.379277629952412	25.825280		3432	TIMEOUT	121.933489341	61.01318028400419	25.960448			true	7.922865429	4.002374138974119	26.038272		3432
goblint-regression/28-race_reach_06-cond_racing1.yml	false	false(unreach-call)	5.459527137	3.379513797000982	152.907776	2	0	TIMEOUT	89.644244864	61.145965884032194	5933.105152			TIMEOUT	120.871336035	61.278676279995125	5673.553920		
pthread/queue_longer.yml	false	ABORTED	27.067916871	13.775194743007887	2237.132800			TIMEOUT	121.770886098	61.02257265301887	177.659904			TIMEOUT	121.966041302	61.04034331697039	447.852544		
