tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-sc.t4.r01.unreach-call	genmc-sc.t4.r01.unreach-call	genmc-sc.t4.r01.unreach-call	genmc-sc.t4.r01.unreach-call	genmc-sc.t4.r01.unreach-call	genmc-sc.t4.r01.unreach-call	cat-sc.t4.r01.unreach-call	cat-sc.t4.r01.unreach-call	cat-sc.t4.r01.unreach-call	cat-sc.t4.r01.unreach-call	cat-sc.t4.r01.unreach-call	cat-sc.t4.r01.unreach-call	caat-sc.t4.r01.unreach-call	caat-sc.t4.r01.unreach-call	caat-sc.t4.r01.unreach-call	caat-sc.t4.r01.unreach-call	caat-sc.t4.r01.unreach-call	caat-sc.t4.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.067402457	0.0751719800173305	25.620480		1	true	0.067903805	0.07092175999423489	25.735168		1	true	0.070221012	0.07402093603741378	25.833472		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.068317851	0.07224239903734997	25.649152		0	false(unreach-call)	0.05720237	0.05890349199762568	25.821184		0	false(unreach-call)	0.066160991	0.06881777901435271	25.759744		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.064076777	0.0684620879474096	25.636864		1	true	0.06517961	0.06771348899928853	25.825280		1	true	0.061397646	0.06651974900159985	25.792512		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.059779768	0.06581619696225971	25.694208		1	true	0.062303753	0.0670227850205265	25.853952		1	true	0.053422599	0.05773886101087555	25.825280		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.06260103	0.06707629101583734	25.767936		2	true	0.062662416	0.0665602310327813	25.714688		2	true	0.066934879	0.06897247600136325	25.776128		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.061343814	0.06366632995195687	25.796608		1	true	0.061720082	0.06425938400207087	25.837568		1	true	0.062809128	0.06518539902754128	25.899008		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.072559896	0.07477793499128893	25.714688		2	true	0.065075557	0.0686952939722687	25.776128		2	true	0.063399901	0.06645205203676596	25.698304		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.062695049	0.06346993299666792	25.743360	1	0	false(unreach-call)	0.0712383	0.0697554990183562	25.726976	1	0	false(unreach-call)	0.070356855	0.07143358897883445	25.825280	1	0
