tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		parallel-tso-t1-r5.caat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.caat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.caat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.caat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.caat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.caat-tso.t1.r01.unreach-call	parallel-tso-t2-r5.caat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.caat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.caat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.caat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.caat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.caat-tso.t2.r01.unreach-call	parallel-tso-t4-r5.caat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.caat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.caat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.caat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.caat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.caat-tso.t4.r01.unreach-call	parallel-tso-t8-r5.caat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.caat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.caat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.caat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.caat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.caat-tso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.054772674	0.05974254501052201	25.899008		1	true	0.055741756	0.05933768401155248	25.948160		1	true	0.069999678	0.0751519370242022	25.956352		1	true	0.061545954	0.06590922095347196	25.915392		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.063443361	0.068151292973198	25.825280		0	false(unreach-call)	0.070242252	0.07259981596143916	25.915392		0	false(unreach-call)	0.068570432	0.07032173697371036	25.919488		0	false(unreach-call)	0.070994935	0.07400364795466885	25.907200		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.059498617	0.0636647260398604	25.825280		1	true	0.066191833	0.06711234402609989	25.845760		1	true	0.061712732	0.06618013698607683	25.931776		1	true	0.07100107	0.07251110795186833	25.960448		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.059414496	0.0643648179830052	25.821184		1	true	0.054853691	0.06039153103483841	25.862144		1	true	0.057663326	0.06043332599801943	25.956352		1	true	0.064264411	0.06438781699398533	25.968640		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.05249674	0.05705128499539569	25.866240		2	true	0.065467099	0.06629832397447899	25.907200		2	true	0.054067615	0.056907799968030304	25.919488		2	true	0.070202958	0.07168960198760033	26.050560		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.062111413	0.06637927796691656	25.841664		1	true	0.06361667	0.0695791729958728	25.849856		1	true	0.05846446	0.061740793054923415	26.087424		1	true	0.078417527	0.07893052598228678	25.919488		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.050856202	0.05795106204459444	25.956352		2	true	0.061799562	0.0669799410388805	25.960448		2	true	0.070684661	0.07609886198770255	25.980928		2	true	0.065560446	0.07042716804426163	25.952256		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.061830313	0.06638804503018036	25.858048		0	false(unreach-call)	0.063149075	0.06593296100618318	25.980928	1	0	false(unreach-call)	0.056178204	0.05621911498019472	25.911296	1	0	false(unreach-call)	0.07258338	0.07177717104787007	25.964544	1	0
