tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		parallel-tso-t1-r5.cat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.cat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.cat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.cat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.cat-tso.t1.r01.unreach-call	parallel-tso-t1-r5.cat-tso.t1.r01.unreach-call	parallel-tso-t2-r5.cat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.cat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.cat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.cat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.cat-tso.t2.r01.unreach-call	parallel-tso-t2-r5.cat-tso.t2.r01.unreach-call	parallel-tso-t4-r5.cat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.cat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.cat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.cat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.cat-tso.t4.r01.unreach-call	parallel-tso-t4-r5.cat-tso.t4.r01.unreach-call	parallel-tso-t8-r5.cat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.cat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.cat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.cat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.cat-tso.t8.r01.unreach-call	parallel-tso-t8-r5.cat-tso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
pthread/triangular-1.yml	true	TIMEOUT	61.005373739	61.01077157596592	25.952256			TIMEOUT	121.932633724	61.009608472988475	25.935872			true	190.104736671	47.6937591219903	26.017792		16632	true	164.575122111	20.70188051700825	26.034176		16632
pthread/triangular-2.yml	false	false(unreach-call)	30.489007191	30.494156142987777	25.960448		3638	TIMEOUT	121.790816734	61.00835839303909	25.968640			false(unreach-call)	124.005612441	31.12024802499218	26.087424	16	10726	false(unreach-call)	91.394216596	11.515229444019496	26.054656	8	9152
pthread-deagle/circular_buffer_bad.yml	false	false(unreach-call)	0.092081413	0.09446872404078022	26.017792		1	false(unreach-call)	0.084275201	0.08191384997917339	26.083328	7	1	ABORTED	0.096384687	0.20289022102952003	26.214400			ABORTED	0.098938212	0.20460316201206297	26.214400		
pthread/fib_safe-5.yml	true	TIMEOUT	61.003160491	61.007199673040304	25.944064			TIMEOUT	121.951939013	61.007510903000366	25.935872			TIMEOUT	243.540269933	61.01303794502746	26.083328			true	323.967990325	40.66072600201005	29.048832		2772
pthread/fib_unsafe-5.yml	false	TIMEOUT	61.003138849	61.00610212102765	25.960448			TIMEOUT	121.947219093	61.00901540397899	26.038272			false(unreach-call)	149.032766948	37.32981326599838	26.021888	9	1210	false(unreach-call)	208.996764109	26.220706866006367	28.004352	14	1777
pthread-deagle/circular_buffer_ok.yml	true	TIMEOUT	61.001391095	61.00754095899174	26.107904			TIMEOUT	121.721661984	61.012293997977395	26.091520			TIMEOUT	243.560750365	61.01224973797798	26.165248			true	219.546077642	27.567123998946045	26.161152		3432
pthread-C-DAC/pthread-demo-datarace-3.yml	false	false(unreach-call)	0.130160839	0.14008375501725823	26.013696		0	false(unreach-call)	0.292856578	0.18003813800169155	26.075136	14	0	ABORTED	0.463993897	0.32573320803930983	40.910848			ABORTED	0.085761114	0.19645055895671248	26.034176		
pthread/reorder_2.yml	false	false(unreach-call)	1.092222619	1.0978741509607062	26.095616		162	false(unreach-call)	0.603759014	0.3369578010169789	26.218496	14	60	false(unreach-call)	0.41709129	0.15908278396818787	26.116096	17	42	ABORTED	0.122226762	0.18593876296654344	26.152960		
