tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		parallel-tso-t1-r5.genmc-tso.t1.r01.unreach-call	parallel-tso-t1-r5.genmc-tso.t1.r01.unreach-call	parallel-tso-t1-r5.genmc-tso.t1.r01.unreach-call	parallel-tso-t1-r5.genmc-tso.t1.r01.unreach-call	parallel-tso-t1-r5.genmc-tso.t1.r01.unreach-call	parallel-tso-t1-r5.genmc-tso.t1.r01.unreach-call	parallel-tso-t2-r5.genmc-tso.t2.r01.unreach-call	parallel-tso-t2-r5.genmc-tso.t2.r01.unreach-call	parallel-tso-t2-r5.genmc-tso.t2.r01.unreach-call	parallel-tso-t2-r5.genmc-tso.t2.r01.unreach-call	parallel-tso-t2-r5.genmc-tso.t2.r01.unreach-call	parallel-tso-t2-r5.genmc-tso.t2.r01.unreach-call	parallel-tso-t4-r5.genmc-tso.t4.r01.unreach-call	parallel-tso-t4-r5.genmc-tso.t4.r01.unreach-call	parallel-tso-t4-r5.genmc-tso.t4.r01.unreach-call	parallel-tso-t4-r5.genmc-tso.t4.r01.unreach-call	parallel-tso-t4-r5.genmc-tso.t4.r01.unreach-call	parallel-tso-t4-r5.genmc-tso.t4.r01.unreach-call	parallel-tso-t8-r5.genmc-tso.t8.r01.unreach-call	parallel-tso-t8-r5.genmc-tso.t8.r01.unreach-call	parallel-tso-t8-r5.genmc-tso.t8.r01.unreach-call	parallel-tso-t8-r5.genmc-tso.t8.r01.unreach-call	parallel-tso-t8-r5.genmc-tso.t8.r01.unreach-call	parallel-tso-t8-r5.genmc-tso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.061095068	0.06401840195758268	25.628672		1	true	0.065739279	0.06718426197767258	25.698304		1	true	0.06910271	0.07126916002016515	25.645056		1	true	0.061835081	0.06377214600797743	25.591808		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.059710876	0.07039348897524178	25.640960		0	false(unreach-call)	0.064917332	0.06555930199101567	25.686016		0	false(unreach-call)	0.0629984	0.06603422196349129	25.694208		0	false(unreach-call)	0.064953972	0.06392834102734923	25.669632		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.057537798	0.06742194498656318	25.604096		1	true	0.061516356	0.07167137699434534	25.645056		1	true	0.063611531	0.06639610999263823	25.616384		1	true	0.066086254	0.06714435602771118	25.677824		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.062417244	0.06405574700329453	25.694208		1	true	0.061059569	0.07112733396934345	25.649152		1	true	0.067896522	0.07150196400471032	25.690112		1	true	0.068623631	0.07000067899934947	25.681920		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.060066478	0.06301458802772686	25.673728		2	true	0.06862301	0.0730889710248448	25.640960		2	true	0.063418185	0.06467578100273386	25.714688		2	true	0.06594708	0.06728523696074262	25.796608		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.049203035	0.052402548026293516	25.653248		1	true	0.057511664	0.06263840798055753	25.698304		1	true	0.063503362	0.0676272030104883	25.796608		1	true	0.066791208	0.06699625699548051	25.673728		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.060315101	0.0648523879935965	25.649152		2	true	0.061924292	0.06543280702317134	25.624576		2	true	0.070180259	0.07053270400501788	25.673728		2	true	0.067910272	0.07257739297347143	25.669632		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.061982251	0.06365098897367716	25.718784		0	false(unreach-call)	0.058153806	0.06131580600049347	25.645056	1	0	false(unreach-call)	0.065121073	0.06747186899883673	25.665536	1	0	false(unreach-call)	0.06779028	0.06911636597942561	25.694208	1	0
