tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-tso.t2.r01.unreach-call	genmc-tso.t2.r01.unreach-call	genmc-tso.t2.r01.unreach-call	genmc-tso.t2.r01.unreach-call	genmc-tso.t2.r01.unreach-call	genmc-tso.t2.r01.unreach-call	cat-tso.t2.r01.unreach-call	cat-tso.t2.r01.unreach-call	cat-tso.t2.r01.unreach-call	cat-tso.t2.r01.unreach-call	cat-tso.t2.r01.unreach-call	cat-tso.t2.r01.unreach-call	caat-tso.t2.r01.unreach-call	caat-tso.t2.r01.unreach-call	caat-tso.t2.r01.unreach-call	caat-tso.t2.r01.unreach-call	caat-tso.t2.r01.unreach-call	caat-tso.t2.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	0.065739279	0.06718426197767258	25.698304		1	true	0.065314425	0.06981757999164984	25.960448		1	true	0.055741756	0.05933768401155248	25.948160		1
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	0.064917332	0.06555930199101567	25.686016		0	false(unreach-call)	0.060463669	0.06322335998993367	25.825280		0	false(unreach-call)	0.070242252	0.07259981596143916	25.915392		0
goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	0.061516356	0.07167137699434534	25.645056		1	true	0.070845433	0.07597533700754866	25.829376		1	true	0.066191833	0.06711234402609989	25.845760		1
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	0.061059569	0.07112733396934345	25.649152		1	true	0.061730886	0.06585375702707097	25.841664		1	true	0.054853691	0.06039153103483841	25.862144		1
goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	0.06862301	0.0730889710248448	25.640960		2	true	0.063282134	0.06907206401228905	25.915392		2	true	0.065467099	0.06629832397447899	25.907200		2
goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	0.057511664	0.06263840798055753	25.698304		1	true	0.062047897	0.06785610999213532	25.915392		1	true	0.06361667	0.0695791729958728	25.849856		1
goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	0.061924292	0.06543280702317134	25.624576		2	true	0.066517288	0.06791607901686803	25.845760		2	true	0.061799562	0.0669799410388805	25.960448		2
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	0.058153806	0.06131580600049347	25.645056	1	0	false(unreach-call)	0.063606972	0.06570076395291835	25.952256	1	0	false(unreach-call)	0.063149075	0.06593296100618318	25.980928	1	0
