tool		GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)	GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):   GenMC v0.17.0 (commit #unknown)   Built with LLVM 15.0.7 (Release)
run set		genmc-tso.t8.r01.unreach-call	genmc-tso.t8.r01.unreach-call	genmc-tso.t8.r01.unreach-call	genmc-tso.t8.r01.unreach-call	genmc-tso.t8.r01.unreach-call	genmc-tso.t8.r01.unreach-call	cat-tso.t8.r01.unreach-call	cat-tso.t8.r01.unreach-call	cat-tso.t8.r01.unreach-call	cat-tso.t8.r01.unreach-call	cat-tso.t8.r01.unreach-call	cat-tso.t8.r01.unreach-call	caat-tso.t8.r01.unreach-call	caat-tso.t8.r01.unreach-call	caat-tso.t8.r01.unreach-call	caat-tso.t8.r01.unreach-call	caat-tso.t8.r01.unreach-call	caat-tso.t8.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/experiment-analysis/parallel-scaling/sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions	status	cputime (s)	walltime (s)	memory (MB)	blocked	executions
goblint-regression/28-race_reach_37-indirect_racing.yml	false	false(unreach-call)	6.44248587	3.229663447011262	291.934208	5	0	TIMEOUT	121.207292344	61.40711929905228	4870.504448			TIMEOUT	121.430835003	61.75785158202052	11698.675712		
goblint-regression/28-race_reach_01-simple_racing.yml	false	false(unreach-call)	5.910626838	3.2050665270071477	249.085952	3	0	TIMEOUT	121.165748805	61.336357882013544	4870.340608			TIMEOUT	121.565657845	61.73746210697573	11698.515968		
goblint-regression/28-race_reach_11-ptr_racing.yml	false	false(unreach-call)	6.47678998	3.3678795470041223	293.044224	3	0	TIMEOUT	120.996235392	61.35247846698621	4870.324224			TIMEOUT	121.287034788	61.696857977018226	11698.532352		
pthread-deagle/circular_buffer_bad.yml	false	ABORTED	0.083662595	0.19805420900229365	25.923584			ABORTED	0.098938212	0.20460316201206297	26.214400			false(unreach-call)	0.087756692	0.08290126401698217	26.214400	8	1
pthread/fib_safe-6.yml	true	true	13.866750284	1.8377752240048721	32.092160		12012	TIMEOUT	487.110454812	61.01245595398359	33.599488			true	62.615343438	7.942538177012466	44.482560		12012
pthread/fib_unsafe-6.yml	false	false(unreach-call)	4.926016077	0.6883855449850671	29.786112	40	4265	TIMEOUT	487.263259299	61.011943352990784	36.519936			false(unreach-call)	38.583524061	4.9166052310029045	43.331584	56	7159
pthread/fib_unsafe-7.yml	false	false(unreach-call)	26.039070295	3.384261944971513	36.077568	29	20660	TIMEOUT	487.043320908	61.01329972298117	35.770368			false(unreach-call)	206.919395654	25.989117344026454	51.658752	57	34438
goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	false(unreach-call)	6.349573765	3.2368080460000783	291.323904	4	0	TIMEOUT	121.185928151	61.356989722000435	4870.324224			TIMEOUT	121.626601744	61.80027839401737	11698.536448		
goblint-regression/28-race_reach_06-cond_racing1.yml	false	false(unreach-call)	6.440634122	3.2195743119809777	301.359104	5	0	TIMEOUT	121.17770943	61.412639098009095	4870.512640			TIMEOUT	121.43571482	61.68616974703036	11698.622464		
pthread/queue_ok_longest.yml	true	true	0.253331352	0.15797747403848916	29.851648		2	TIMEOUT	143.278612259	61.122562460950576	2336.022528			true	40.159091871	20.184902679000515	1208.872960		2
pthread/queue_longer.yml	false	false(unreach-call)	0.547933023	0.1697358579840511	28.389376	61	0	TIMEOUT	393.290964481	61.03763462603092	352.579584			TIMEOUT	485.431279188	61.182446488994174	2788.376576		
pthread/queue.yml	false	ABORTED	0.114479991	0.1933915689587593	25.997312			false(unreach-call)	3.488525441	0.5256526480079629	41.451520	58	6	ABORTED	0.150320405	0.2111490170354955	26.243072		
pthread-C-DAC/pthread-demo-datarace-3.yml	false	SEGMENTATION FAULT	0.077880421	0.18450146995019168	25.804800			ABORTED	0.085761114	0.19645055895671248	26.034176			ABORTED	0.084915278	0.19991646998096257	25.997312		
pthread/twostage_3.yml	false	ABORTED	0.08966212	0.18691772501915693	26.075136			false(unreach-call)	0.144435675	0.09161577798658982	26.292224	9	6	ABORTED	0.121785112	0.19196548400213942	26.247168		
