model	method	threads	runs	solved	completion_rate	true	false	timeout	oom	aborted	other
sc	caat	1	480	450	0.9375	305	145	30	0	0	0
sc	caat	2	480	445	0.9270833333333334	305	140	31	0	4	0
sc	caat	4	480	434	0.9041666666666667	305	129	30	0	12	4
sc	caat	8	480	428	0.8916666666666667	305	123	30	0	19	3
sc	cat	1	480	445	0.9270833333333334	285	160	35	0	0	0
sc	cat	2	480	417	0.86875	285	132	60	0	3	0
sc	cat	4	480	419	0.8729166666666667	300	119	45	0	14	2
sc	cat	8	480	414	0.8625	300	114	44	0	18	4
sc	genmc	1	480	480	1.0	305	175	0	0	0	0
sc	genmc	2	480	471	0.98125	305	166	0	0	9	0
sc	genmc	4	480	460	0.9583333333333334	305	155	0	0	17	3
sc	genmc	8	480	456	0.95	305	151	0	0	20	4
