model	method	threads	runs	solved	completion_rate	true	false	timeout	oom	aborted	other
tso	caat	1	480	445	0.9270833333333334	305	140	35	0	0	0
tso	caat	2	480	444	0.925	305	139	35	0	1	0
tso	caat	4	480	432	0.9	305	127	30	0	13	5
tso	caat	8	480	424	0.8833333333333333	305	119	30	0	25	1
tso	cat	1	480	410	0.8541666666666666	280	130	70	0	0	0
tso	cat	2	480	402	0.8375	280	122	75	0	3	0
tso	cat	4	480	406	0.8458333333333333	285	121	60	0	14	0
tso	cat	8	480	411	0.85625	295	116	50	0	16	3
tso	genmc	1	480	480	1.0	305	175	0	0	0	0
tso	genmc	2	480	471	0.98125	305	166	0	0	9	0
tso	genmc	4	480	462	0.9625	305	157	0	0	17	1
tso	genmc	8	480	454	0.9458333333333333	305	149	0	0	24	2
