backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
cat	pso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52690944	4	0
caat	pso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52658176	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52494336	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52576256	4	0
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53886976	2	6
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.07	0.04	0.01	53821440	2	6
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.07	0.04	0.01	53559296	11	7
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.09	0.06	0.02	53493760	11	7
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.09	0.06	0.02	54427648	0	0
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.11	0.08	0.02	54460416	0	0
caat	pso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52609024	4	0
cat	pso	correct/litmus/SB/variants/sb0.c	2	0	0.05	0.03	0.01	52592640	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52674560	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	2	0	0.05	0.03	0.01	52510720	4	0
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.07	0.05	0.01	53854208	2	6
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	2	0	0.06	0.04	0.01	53903360	2	6
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.08	0.06	0.01	53460992	11	7
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	2	0	0.06	0.04	0.02	53542912	11	7
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.10	0.08	0.01	54558720	0	0
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	2	42	0.09	0.06	0.02	54411264	0	0
cat	pso	correct/litmus/SB/variants/sb0.c	3	0	0.06	0.03	0.01	52658176	4	0
caat	pso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52690944	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52690944	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52559872	4	0
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53690368	2	6
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.07	0.05	0.02	53837824	2	6
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.07	0.04	0.02	53493760	11	7
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.09	0.06	0.02	53772288	11	7
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.09	0.06	0.02	54509568	0	0
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.11	0.08	0.02	54444032	0	0
caat	pso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52543488	4	0
cat	pso	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52510720	4	0
caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52592640	4	0
cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52625408	4	0
caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.07	0.05	0.01	53723136	2	6
cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.06	0.04	0.02	53739520	2	6
caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.09	0.06	0.02	53526528	11	7
cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.07	0.04	0.02	53673984	11	7
caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.12	0.08	0.02	54444032	0	0
cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	4	42	0.08	0.06	0.02	54575104	0	0
