backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
genmc	sc	correct/litmus/SB/variants/sb0.c	1	0	0.36	0.03	0.08	52576256	3	0
cat	sc	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52543488	3	0
caat	sc	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52641792	3	0
genmc	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52494336	4	0
cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52658176	4	0
caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52707328	4	0
genmc	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.07	0.03	0.02	53821440	2	6
cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53919744	2	6
caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.07	0.04	0.01	53739520	2	6
genmc	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.03	0.01	53608448	8	6
cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53575680	8	6
caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.07	0.05	0.01	53477376	8	6
genmc	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.10	0.07	0.02	54460416	24	16
cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	0.16	0.13	0.02	54607872	24	16
caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	1	0	1.52	1.37	0.04	54362112	24	16
genmc	tso	correct/litmus/SB/variants/sb0.c	1	0	0.06	0.03	0.01	52527104	4	0
cat	tso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52559872	4	0
caat	tso	correct/litmus/SB/variants/sb0.c	1	0	0.05	0.03	0.01	52510720	4	0
genmc	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52625408	4	0
cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52543488	4	0
caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	1	0	0.05	0.03	0.01	52592640	4	0
genmc	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.03	0.01	53821440	2	6
cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53706752	2	6
caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	1	0	0.08	0.05	0.01	53723136	2	6
genmc	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.01	53575680	8	6
cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.06	0.04	0.02	53493760	8	6
caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	1	0	0.09	0.06	0.02	53477376	8	6
genmc	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.08	0.06	0.01	54444032	0	0
cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.09	0.06	0.02	54427648	0	0
caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	1	42	0.11	0.08	0.02	54427648	0	0
