variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.069348237	0.07542248099343851	26017792	2026-07-15T19:25:40.175814+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.066659922	0.07440774503629655	25944064	2026-07-15T19:25:39.986863+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.070239551	0.07385442202212289	26083328	2026-07-15T19:25:39.953551+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.071711552	0.07812945899786428	26075136	2026-07-15T19:25:39.940677+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.065824658	0.0735448999912478	26095616	2026-07-15T19:25:40.215735+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.067270322	0.07689208997180685	26058752	2026-07-15T19:25:40.166215+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.078486256	0.08473046304425225	25989120	2026-07-15T19:25:40.115176+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.071449653	0.07814583100844175	26075136	2026-07-15T19:25:40.154825+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.069844589	0.07447778800269589	26017792	2026-07-15T19:25:40.140406+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.067045956	0.07382223597960547	25968640	2026-07-15T19:25:40.347935+00:00		/data3/sujie/experiments/caat-optimization/acyclic-closure-slicing/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_19-25-39.results.caat-pso.perf.unreach-call.xml.bz2
