archive	log	adapter_ns	adaptive_offline	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	690	0	0	0	0	0	1	0	0	17900	6	555555	20	464	464	0	6	1	30572	0	3232	0	1	0	0	35831	0	3232	0	0	0	0	59696	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_47-refine-protected2_true.yml.log	0	9	3019	0	3218	0	0	0	1	0	0	93159	14	612244	120	1112	1112	7	15	10	296879	0	7336	0	11	0	0	298323	0	7336	0	0	0	0	430389	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_11-traces-max-simple_true.yml.log	0	9	2211	0	2497	0	0	0	1	0	0	72738	15	604444	136	1184	1184	7	16	10	221083	0	7792	0	11	0	0	225525	0	7792	0	0	0	0	330347	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_46-refine-protected1_true.yml.log	0	3	1495	0	1272	0	0	0	1	0	0	45543	14	560000	88	1040	1040	4	14	4	118368	0	6880	0	4	0	0	119200	0	6880	0	0	0	0	181579	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	881	0	0	0	0	0	1	0	0	21081	13	544378	92	968	968	0	13	1	32928	0	6424	0	1	0	0	33280	0	6424	0	0	0	0	60772	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_40-traces-ex-6_true.yml.log	0	7	2395	0	2754	0	0	0	1	0	0	105026	19	598337	216	1544	1544	12	21	8	282623	0	10072	0	9	0	0	287928	0	10072	0	0	0	0	431401	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	752	0	0	0	0	0	1	0	0	21469	6	555555	20	464	464	0	6	1	35974	0	3232	0	1	0	0	36752	0	3232	0	0	0	0	63532	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_44-traces-mine2_true.yml.log	0	2	1495	0	576	0	0	0	1	0	0	51059	14	544378	92	1544	1544	9	21	3	133663	0	10072	0	3	0	0	134506	0	10072	0	0	0	0	201831	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_2_pos.yml.log	0	0	813	0	0	0	0	0	1	0	0	16517	8	531250	34	608	608	0	8	1	38296	0	4144	0	1	0	0	38781	0	4144	0	0	0	0	61865	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_1_neg.yml.log	0	0	982	0	0	0	0	0	1	0	0	16524	8	531250	34	608	608	0	8	1	37895	0	4144	0	1	0	0	38570	0	4144	0	0	0	0	61620	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_36-traces-ex-3_true.yml.log	0	26	5423	0	7535	0	0	0	1	0	0	283772	21	650887	270	1616	1616	16	22	27	908666	0	10528	0	29	0	0	911281	0	10528	0	0	0	0	1308520	2	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_true.yml.log	0	9	2790	0	3463	0	0	0	1	0	0	100437	15	612244	136	1184	1184	7	16	10	307211	0	7792	0	11	0	0	308726	0	7792	0	0	0	0	455336	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_35-traces-ex-2_true.yml.log	0	29	7672	0	8756	0	0	0	1	0	0	349587	24	628099	342	1832	1832	14	25	30	1094604	0	11896	0	31	0	0	1101505	0	11896	0	0	0	0	1593966	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_37-traces-ex-4_true.yml.log	0	27	5503	0	7907	0	0	0	1	0	0	305600	24	614958	342	1832	1832	14	25	28	1009742	0	11896	0	29	0	0	1012315	0	11896	0	0	0	0	1438322	1	0	0
