archive	log	adapter_ns	adaptive_offline	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	645	0	0	0	0	0	1	0	0	13405	6	555555	20	464	464	0	6	1	25751	0	3288	0	1	0	0	30025	0	3288	0	0	0	0	47704	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_47-refine-protected2_true.yml.log	0	9	2772	0	3546	0	0	0	1	0	0	95347	14	612244	120	1112	1112	7	15	10	314531	0	7464	0	11	0	0	315818	0	7464	0	0	0	0	450929	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_46-refine-protected1_true.yml.log	0	3	1339	0	915	0	0	0	1	0	0	36226	14	560000	88	1040	1040	4	14	4	93761	0	7000	0	4	0	0	98406	0	7000	0	0	0	0	148271	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_11-traces-max-simple_true.yml.log	0	9	2700	0	3360	0	0	0	1	0	0	100214	15	604444	136	1184	1184	7	16	10	314968	0	7928	0	11	0	0	316427	0	7928	0	0	0	0	462721	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	823	0	0	0	0	0	1	0	0	23461	13	544378	92	968	968	0	13	1	37262	0	6536	0	1	0	0	41899	0	6536	0	0	0	0	71057	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_40-traces-ex-6_true.yml.log	0	7	2414	0	2852	0	0	0	1	0	0	106485	19	598337	216	1544	1544	12	21	8	311741	0	10248	0	9	0	0	317608	0	10248	0	0	0	0	464449	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	748	0	0	0	0	0	1	0	0	19278	6	555555	20	464	464	0	6	1	32056	0	3288	0	1	0	0	32647	0	3288	0	0	0	0	57626	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_2_pos.yml.log	0	0	828	0	0	0	0	0	1	0	0	16702	8	531250	34	608	608	0	8	1	38175	0	4216	0	1	0	0	38640	0	4216	0	0	0	0	61334	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_44-traces-mine2_true.yml.log	0	2	1419	0	882	0	0	0	1	0	0	48855	14	544378	92	1544	1544	9	21	3	139841	0	10248	0	3	0	0	140686	0	10248	0	0	0	0	205900	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_unknown_1_neg.yml.log	0	0	1010	0	0	0	0	0	1	0	0	16088	8	531250	34	608	608	0	8	1	29345	0	4216	0	1	0	0	29827	0	4216	0	0	0	0	52320	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_36-traces-ex-3_true.yml.log	0	26	5914	0	7845	0	0	0	1	0	0	287039	21	650887	270	1616	1616	16	22	27	1025979	0	10712	0	29	0	0	1028862	0	10712	0	0	0	0	1432791	2	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_18-first-reads_true.yml.log	0	9	2865	0	3565	0	0	0	1	0	0	101625	15	612244	136	1184	1184	7	16	10	326515	0	7928	0	11	0	0	327893	0	7928	0	0	0	0	475033	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_37-traces-ex-4_true.yml.log	0	27	5640	0	8495	0	0	0	1	0	0	308358	24	614958	342	1832	1832	14	25	28	1143618	0	12104	0	29	0	0	1146678	0	12104	0	0	0	0	1577402	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_35-traces-ex-2_true.yml.log	0	29	6396	0	8064	0	0	0	1	0	0	346815	24	628099	342	1832	1832	14	25	30	1222492	0	12104	0	31	0	0	1225320	0	12104	0	0	0	0	1706360	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_38-traces-ex-4-switch_true.yml.log	0	29	6825	0	8335	0	0	0	1	0	0	345305	24	628099	342	1832	1832	14	25	30	1211779	0	12104	0	31	0	0	1214962	0	12104	0	0	0	0	1693126	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_true.yml.log	0	32	4858	0	7231	0	0	0	1	0	0	251886	22	642857	254	1688	1688	15	23	33	906142	0	11176	0	35	0	0	908710	0	11176	0	0	0	0	1260937	2	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_neg.yml.log	0	0	626	0	0	0	0	0	1	0	0	16427	13	639053	108	968	968	0	13	1	25556	0	6536	0	1	0	0	26133	0	6536	0	0	0	0	47314	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_19-publish-precision_unknown_1_pos.yml.log	0	0	828	0	0	0	0	0	1	0	0	24025	13	639053	108	968	968	0	13	1	33400	0	6536	0	1	0	0	38834	0	6536	0	0	0	0	68793	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_01-priv_nr_true.yml.log	0	9	3001	0	3478	0	0	0	1	0	0	136335	21	580498	256	1616	1616	10	22	10	415857	0	10712	0	11	0	0	422536	0	10712	0	0	0	0	606839	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_42-traces-ex-mini_true.yml.log	0	19	4837	0	5651	0	0	0	1	0	0	312002	25	627599	388	1904	1904	12	26	20	853195	0	12568	0	21	0	0	859500	0	12568	0	0	0	0	1261945	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_33-traces-v-matters_true.yml.log	0	9	2645	0	3545	0	0	0	1	0	0	153822	23	604914	320	1976	1976	16	27	10	483271	0	13032	0	11	0	0	484657	0	13032	0	0	0	0	691009	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	0	28	6172	0	7753	0	0	0	1	0	0	343159	24	628099	342	1832	1832	14	25	29	1181174	0	12104	0	30	0	0	1184028	0	12104	0	0	0	0	1653438	1	0	0
