task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-pso.perf.01b_inc.yml.log	1544	1544	10248	10072	10248	10072
caat-pso.perf.02_inc_cas.yml.log	0	0	0	0	0	0
caat-pso.perf.13-privatized_01-priv_nr_true.yml.log	1616	1616	10712	10528	10712	10528
caat-pso.perf.13-privatized_18-first-reads_true.yml.log	1184	1184	7928	7792	7928	7792
caat-pso.perf.13-privatized_18-first-reads_unknown_1_neg.yml.log	608	608	4216	4144	4216	4144
caat-pso.perf.13-privatized_18-first-reads_unknown_2_pos.yml.log	608	608	4216	4144	4216	4144
caat-pso.perf.13-privatized_19-publish-precision_true.yml.log	1688	1688	11176	10984	11176	10984
caat-pso.perf.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-pso.perf.13-privatized_19-publish-precision_unknown_1_pos.yml.log	968	968	6536	6424	6536	6424
caat-pso.perf.13-privatized_19-publish-precision_unknown_2_neg.yml.log	968	968	6536	6424	6536	6424
caat-pso.perf.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0
caat-pso.perf.13-privatized_20-publish-regression_true.yml.log	1760	1760	11640	11440	11640	11440
caat-pso.perf.13-privatized_24-multiple-protecting_true.yml.log	4136	4136	26952	26488	26952	26488
caat-pso.perf.13-privatized_25-struct_nr_true.yml.log	1616	1616	10712	10528	10712	10528
caat-pso.perf.13-privatized_27-multiple-protecting2_true.yml.log	4424	4424	28808	28312	28808	28312
caat-pso.perf.13-privatized_29-multiple-protecting2-vesal_true.yml.log	2624	2624	17208	16912	17208	16912
caat-pso.perf.13-privatized_30-traces-oplus-vs-meet_true.yml.log	1904	1904	12568	12352	12568	12352
caat-pso.perf.13-privatized_31-traces-mine-vs-mutex_true.yml.log	2192	2192	14424	14176	14424	14176
caat-pso.perf.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	2624	2624	17208	16912	17208	16912
caat-pso.perf.13-privatized_33-traces-v-matters_true.yml.log	1976	1976	13032	12808	13032	12808
caat-pso.perf.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	2048	2048	13496	13264	13496	13264
caat-pso.perf.13-privatized_35-traces-ex-2_true.yml.log	1832	1832	12104	11896	12104	11896
caat-pso.perf.13-privatized_36-traces-ex-3_true.yml.log	1616	1616	10712	10528	10712	10528
caat-pso.perf.13-privatized_37-traces-ex-4_true.yml.log	1832	1832	12104	11896	12104	11896
caat-pso.perf.13-privatized_38-traces-ex-4-switch_true.yml.log	1832	1832	12104	11896	12104	11896
caat-pso.perf.13-privatized_40-traces-ex-6_true.yml.log	1544	1544	10248	10072	10248	10072
caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-pso.perf.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	968	968	6536	6424	6536	6424
caat-pso.perf.13-privatized_42-traces-ex-mini_true.yml.log	1904	1904	12568	12352	12568	12352
caat-pso.perf.13-privatized_44-traces-mine2_true.yml.log	1544	1544	10248	10072	10248	10072
caat-pso.perf.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	1832	1832	12104	11896	12104	11896
caat-pso.perf.13-privatized_46-refine-protected1_true.yml.log	1040	1040	7000	6880	7000	6880
caat-pso.perf.13-privatized_47-refine-protected2_true.yml.log	1112	1112	7464	7336	7464	7336
caat-pso.perf.13-privatized_57-singlethreaded-unlock_true.yml.log	464	464	3288	3232	3288	3232
caat-pso.perf.13-privatized_58-singlethreaded-lock_true.yml.log	464	464	3288	3232	3288	3232
caat-pso.perf.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0
caat-pso.perf.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	752	752	5144	5056	5144	5056
caat-pso.perf.13-privatized_69-refine-protected-loop-interval_true.yml.log	752	752	5144	5056	5144	5056
caat-pso.perf.14_spin2003.yml.log	896	896	6072	5968	6072	5968
caat-pso.perf.28-race_reach_21-deref_read_racing.yml.log	0	0	0	0	0	0
caat-pso.perf.28-race_reach_45-escape_racing.yml.log	1400	1400	9320	9160	9320	9160
caat-pso.perf.28-race_reach_46-escape_racefree.yml.log	2120	2120	13960	13720	13960	13720
caat-pso.perf.29_conditionals_vs.yml.log	0	0	0	0	0	0
caat-pso.perf.36-apron_11-traces-max-simple_true.yml.log	1184	1184	7928	7792	7928	7792
caat-pso.perf.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0
caat-pso.perf.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-pso.perf.36-apron_21-traces-cluster-based_true.yml.log	2552	2552	16744	16456	16744	16456
