metric	group	task_yaml	ratio
cpu	sc	c/goblint-regression/13-privatized_01-priv_nr_true.yml	1.058117420025644
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_true.yml	1.020187023951236
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1.0082629310979758
cpu	sc	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	1.0092998920218952
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_true.yml	0.9928224366440378
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	1.0109066772711763
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	1.0332482210617082
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	1.0382160098396722
cpu	sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	1.0070949477318274
cpu	sc	c/goblint-regression/13-privatized_20-publish-regression_true.yml	0.9644687535376579
cpu	sc	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	0.9896727818388634
cpu	sc	c/goblint-regression/13-privatized_25-struct_nr_true.yml	0.9860884531012484
cpu	sc	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	1.0410469223389316
cpu	sc	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	1.0229643950664895
cpu	sc	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	1.0125865780926728
cpu	sc	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	1.020181096690493
cpu	sc	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	1.0058578772639022
cpu	sc	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	1.0024514744126036
cpu	sc	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	1.0138216203257429
cpu	sc	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	0.9976108103173936
cpu	sc	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	1.0676184466808893
cpu	sc	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	0.9905019517256849
cpu	sc	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	1.0179651628972162
cpu	sc	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	1.0136088721492655
cpu	sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0.9993480576741571
cpu	sc	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	0.9823869268473968
cpu	sc	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	1.0380150996081532
cpu	sc	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	1.0018082404030297
cpu	sc	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	1.0138624055565144
cpu	sc	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	0.9593604914649642
cpu	sc	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	0.9925065947209589
cpu	sc	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	0.9797275567194947
cpu	sc	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1.0289720741147408
cpu	sc	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	1.0480073157921805
cpu	sc	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	1.010933574438859
cpu	sc	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	1.0078738162179162
cpu	sc	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	0.9948827595372235
cpu	sc	c/goblint-regression/28-race_reach_45-escape_racing.yml	0.9812865485596046
cpu	sc	c/goblint-regression/28-race_reach_46-escape_racefree.yml	1.0541777462215436
cpu	sc	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	0.9751948505914527
cpu	sc	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	1.039846812053505
cpu	sc	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0.9992367542402724
cpu	sc	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	0.959987830807658
cpu	sc	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	1.022266408280622
cpu	sc	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	1.0600353378150418
cpu	sc	c/ldv-races/race-1_1-join.yml	1.0148396681818563
cpu	sc	c/ldv-races/race-1_2-join.yml	0.9866512646549239
cpu	sc	c/ldv-races/race-1_3-join.yml	0.9972776926563666
cpu	sc	c/ldv-races/race-2_1-container_of.yml	1.022096002952669
cpu	sc	c/ldv-races/race-3_1-container_of-global.yml	0.998528189985904
cpu	sc	c/ldv-races/race-4_1-thread_local_vars.yml	0.9675417274942961
cpu	sc	c/pthread-C-DAC/pthread-demo-datarace-3.yml	1.0151796534967925
cpu	sc	c/pthread-atomic/dekker-unfair.yml	0.9651399907519476
cpu	sc	c/pthread-atomic/dekker.yml	1.0315487253531488
cpu	sc	c/pthread-atomic/szymanski.yml	0.9740936004583364
cpu	sc	c/pthread-atomic/time_var_mutex.yml	1.0038763366292696
cpu	sc	c/pthread-deagle/circular_buffer_bad.yml	1.0311015157214227
cpu	sc	c/pthread-deagle/circular_buffer_ok.yml	1.0221177666197365
cpu	sc	c/pthread-ext/01b_inc.yml	1.0081156163166944
cpu	sc	c/pthread-ext/02_inc_cas.yml	1.0099672492157568
cpu	sc	c/pthread-ext/14_spin2003.yml	1.001767783168284
cpu	sc	c/pthread-ext/29_conditionals_vs.yml	0.9764914430955706
cpu	sc	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	0.9921261830312064
cpu	sc	c/pthread-ext/45_monabsex1_vs.yml	1.030368294724337
cpu	sc	c/pthread-ext/46_monabsex2_vs.yml	1.025658095800981
cpu	sc	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	0.9493993593300738
cpu	sc	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	0.9878978266819576
cpu	sc	c/pthread-theta/exponential-nondet.yml	1.0468218315841176
cpu	sc	c/pthread-theta/unwind2-1.yml	1.0090264501619612
cpu	sc	c/pthread-theta/unwind2-100.yml	0.9840935574037541
cpu	sc	c/pthread-theta/unwind3-1.yml	1.0290196839850843
cpu	sc	c/pthread/butterfly.yml	0.9858310356750928
