model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T19:13:00+00:00	2026-07-15T19:14:03+00:00
sc	2	28-51	0-23	0	0	2026-07-15T19:14:03+00:00	2026-07-15T19:15:06+00:00
sc	3	0-23	28-51	0	0	2026-07-15T19:15:06+00:00	2026-07-15T19:16:10+00:00
sc	4	28-51	0-23	0	0	2026-07-15T19:16:10+00:00	2026-07-15T19:17:13+00:00
sc	5	0-23	28-51	0	0	2026-07-15T19:17:13+00:00	2026-07-15T19:18:16+00:00
sc	6	28-51	0-23	0	0	2026-07-15T19:18:16+00:00	2026-07-15T19:19:19+00:00
tso	1	0-23	28-51	0	0	2026-07-15T19:19:19+00:00	2026-07-15T19:20:23+00:00
tso	2	28-51	0-23	0	0	2026-07-15T19:20:23+00:00	2026-07-15T19:21:26+00:00
tso	3	0-23	28-51	0	0	2026-07-15T19:21:26+00:00	2026-07-15T19:22:29+00:00
tso	4	28-51	0-23	0	0	2026-07-15T19:22:29+00:00	2026-07-15T19:23:32+00:00
tso	5	0-23	28-51	0	0	2026-07-15T19:23:33+00:00	2026-07-15T19:24:36+00:00
tso	6	28-51	0-23	0	0	2026-07-15T19:24:36+00:00	2026-07-15T19:25:39+00:00
pso	1	0-23	28-51	0	0	2026-07-15T19:25:39+00:00	2026-07-15T19:26:42+00:00
pso	2	28-51	0-23	0	0	2026-07-15T19:26:42+00:00	2026-07-15T19:27:46+00:00
pso	3	0-23	28-51	0	0	2026-07-15T19:27:46+00:00	2026-07-15T19:28:49+00:00
pso	4	28-51	0-23	0	0	2026-07-15T19:28:49+00:00	2026-07-15T19:29:52+00:00
pso	5	0-23	28-51	0	0	2026-07-15T19:29:52+00:00	2026-07-15T19:30:55+00:00
pso	6	28-51	0-23	0	0	2026-07-15T19:30:55+00:00	2026-07-15T19:31:59+00:00
