variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.064400226	0.07726109394570813	25956352	2026-07-15T12:14:07.942557+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.06315229	0.06761268503032625	26054656	2026-07-15T12:14:07.772389+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.074366209	0.07932216598419473	26034176	2026-07-15T12:14:07.746880+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.07272751	0.08020159800071269	25948160	2026-07-15T12:14:07.729949+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.066219479	0.0776639410178177	26046464	2026-07-15T12:14:07.934841+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.065075918	0.07520916999783367	26046464	2026-07-15T12:14:07.873633+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.065128074	0.07580466597573832	26001408	2026-07-15T12:14:07.832577+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.066318176	0.07620571699226275	26083328	2026-07-15T12:14:07.900703+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.072137039	0.08048400899861008	26046464	2026-07-15T12:14:07.868518+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.065947331	0.07535178301623091	26046464	2026-07-15T12:14:08.040547+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.129796743	0.13846029102569446	26001408	2026-07-15T12:14:08.140996+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.069358961	0.07635189400753006	26030080	2026-07-15T12:14:07.973229+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.321904942	0.3413723900448531	26034176	2026-07-15T12:14:08.175475+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_12-14-07.results.caat-pso.perf.unreach-call.xml.bz2
