task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-pso.profile.01b_inc.yml.log	1544	0	10424	0	10424	0
caat-pso.profile.02_inc_cas.yml.log	0	0	0	0	0	0
caat-pso.profile.13-privatized_01-priv_nr_true.yml.log	1616	0	10896	0	10896	0
caat-pso.profile.13-privatized_18-first-reads_true.yml.log	1184	0	8064	0	8064	0
caat-pso.profile.13-privatized_18-first-reads_unknown_1_neg.yml.log	608	0	4288	0	4288	0
caat-pso.profile.13-privatized_18-first-reads_unknown_2_pos.yml.log	608	0	4288	0	4288	0
caat-pso.profile.13-privatized_19-publish-precision_true.yml.log	1688	0	11368	0	11368	0
caat-pso.profile.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-pso.profile.13-privatized_19-publish-precision_unknown_1_pos.yml.log	968	0	6648	0	6648	0
caat-pso.profile.13-privatized_19-publish-precision_unknown_2_neg.yml.log	968	0	6648	0	6648	0
caat-pso.profile.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0
caat-pso.profile.13-privatized_20-publish-regression_true.yml.log	1760	0	11840	0	11840	0
caat-pso.profile.13-privatized_24-multiple-protecting_true.yml.log	4136	0	27416	0	27416	0
caat-pso.profile.13-privatized_25-struct_nr_true.yml.log	1616	0	10896	0	10896	0
caat-pso.profile.13-privatized_27-multiple-protecting2_true.yml.log	4424	0	29304	0	29304	0
caat-pso.profile.13-privatized_29-multiple-protecting2-vesal_true.yml.log	2624	0	17504	0	17504	0
caat-pso.profile.13-privatized_30-traces-oplus-vs-meet_true.yml.log	1904	0	12784	0	12784	0
caat-pso.profile.13-privatized_31-traces-mine-vs-mutex_true.yml.log	2192	0	14672	0	14672	0
caat-pso.profile.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	2624	0	17504	0	17504	0
caat-pso.profile.13-privatized_33-traces-v-matters_true.yml.log	1976	0	13256	0	13256	0
