metric	group	tasks	geomean_ratio	ci_low	ci_high	median_ratio	sign_p	holm_p
cpu	all	79	1.0052376495677897	1.000535871246177	1.0099497176898051	1.0041347440329866	0.11466035574580126	0.3439810672374038
cpu	sc	90	1.0033786491619565	0.996698723092051	1.0101545030128072	1.0037964573668798	0.46079247271897156	0.9215849454379431
cpu	tso	89	0.9983748356698374	0.9916780712930726	1.0051489610056108	0.9961714145669055	0.6718086491746106	0.9215849454379431
cpu	pso	79	1.0182415771252815	1.010230331953858	1.0264831178279559	1.021082591236266	0.00026363677646526896	0.0010545471058610758
wall	all	79	0.9884801621072368	0.970649557848053	1.0039745803652786	0.9997580823348725	1.0	1.0
wall	sc	90	0.9858669848977896	0.9597143945153227	1.0097388194547559	1.0013652871787178	0.9161288770112893	1.0
wall	tso	89	0.9820355280054407	0.9500998510173845	1.0099074071143197	0.9906973814418712	0.39657015814551616	1.0
wall	pso	79	1.006168440956897	0.9846606239843327	1.026826563966693	1.015684055284058	0.042165443994951105	0.16866177597980442
memory	all	79	0.9998861455622122	0.9997177842896496	1.000043950723325	0.999921176394923	0.8221442424521855	1.0
memory	sc	90	0.999757907639462	0.9994925854331084	1.000013456231777	0.999920985915471	0.5942882951469405	1.0
memory	tso	89	0.9998446958994128	0.9995335963661343	1.0001213054034734	1.0	1.0	1.0
memory	pso	79	1.0000506151213397	0.9997919114339733	1.0003012882881626	1.0000784682988073	0.7343420330298468	1.0
