archive	log	adapter_ns	adaptive_offline	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0	0	0	1	0	0	14150	6	555555	20	464	0	0	6	1	28496	0	0	0	1	0	0	29078	0	0	0	0	0	0	45226	0	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.13-privatized_47-refine-protected2_true.yml.log	0	9	0	0	3734	0	0	0	1	0	0	99428	14	612244	120	1112	0	7	15	10	373285	0	0	0	11	0	0	379440	0	0	0	0	0	0	500809	1	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	1	0	0	19163	13	544378	92	968	0	0	13	1	42260	0	0	0	1	0	0	43038	0	0	0	0	0	0	65383	0	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.13-privatized_46-refine-protected1_true.yml.log	0	3	0	0	1409	0	0	0	1	0	0	49080	14	560000	88	1040	0	4	14	4	164130	0	0	0	4	0	0	165127	0	0	0	0	0	0	223443	0	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.36-apron_11-traces-max-simple_true.yml.log	0	9	0	0	3630	0	0	0	1	0	0	104979	15	604444	136	1184	0	7	16	10	373472	0	0	0	11	0	0	374858	0	0	0	0	0	0	503716	1	0	0
profile-caat-pso.2026-07-15_11-56-11.logfiles.zip	caat-pso.profile.13-privatized_40-traces-ex-6_true.yml.log	0	7	0	0	2864	0	0	0	1	0	0	114607	19	598337	216	1544	0	12	21	8	364881	0	0	0	9	0	0	366430	0	0	0	0	0	0	503048	1	0	0
