variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.076576459	0.09004624799126759	26066944	2026-07-15T11:45:21.715842+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.065223616	0.07280517101753503	25956352	2026-07-15T11:45:21.590452+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.075529385	0.07806481403531507	26017792	2026-07-15T11:45:21.567769+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.065571473	0.07033795001916587	26025984	2026-07-15T11:45:21.552318+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.067600606	0.07481751899467781	25956352	2026-07-15T11:45:21.710405+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.065581213	0.07458243303699419	26062848	2026-07-15T11:45:21.666057+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.064988386	0.07856125402031466	25968640	2026-07-15T11:45:21.641090+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.066315955	0.0724207210005261	25989120	2026-07-15T11:45:21.679991+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.071178488	0.08026611502282321	25952256	2026-07-15T11:45:21.660642+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.066295225	0.07183100195834413	25964544	2026-07-15T11:45:21.803149+00:00		optimization-analysis/continuous/adaptive-offline-history/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_11-45-21.results.caat-pso.perf.unreach-call.xml.bz2
