model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T12:03:11+00:00	2026-07-15T12:04:14+00:00
sc	2	28-51	0-23	0	0	2026-07-15T12:04:14+00:00	2026-07-15T12:05:18+00:00
sc	3	0-23	28-51	0	0	2026-07-15T12:05:18+00:00	2026-07-15T12:06:21+00:00
sc	4	28-51	0-23	0	0	2026-07-15T12:06:21+00:00	2026-07-15T12:07:24+00:00
sc	5	0-23	28-51	0	0	2026-07-15T12:07:24+00:00	2026-07-15T12:08:27+00:00
tso	1	0-23	28-51	0	0	2026-07-15T12:08:27+00:00	2026-07-15T12:09:35+00:00
tso	2	28-51	0-23	0	0	2026-07-15T12:09:35+00:00	2026-07-15T12:10:57+00:00
tso	3	0-23	28-51	0	0	2026-07-15T12:10:57+00:00	2026-07-15T12:12:01+00:00
tso	4	28-51	0-23	0	0	2026-07-15T12:12:01+00:00	2026-07-15T12:13:04+00:00
tso	5	0-23	28-51	0	0	2026-07-15T12:13:04+00:00	2026-07-15T12:14:07+00:00
pso	1	0-23	28-51	0	0	2026-07-15T12:14:07+00:00	2026-07-15T12:15:11+00:00
pso	2	28-51	0-23	0	0	2026-07-15T12:15:11+00:00	2026-07-15T12:16:15+00:00
pso	3	0-23	28-51	0	0	2026-07-15T12:16:15+00:00	2026-07-15T12:17:20+00:00
pso	4	28-51	0-23	0	0	2026-07-15T12:17:20+00:00	2026-07-15T12:18:24+00:00
pso	5	0-23	28-51	0	0	2026-07-15T12:18:24+00:00	2026-07-15T12:19:29+00:00
sc	6	28-51	0-23	0	0	2026-07-15T12:19:29+00:00	2026-07-15T12:20:32+00:00
tso	6	28-51	0-23	0	0	2026-07-15T12:20:32+00:00	2026-07-15T12:21:35+00:00
pso	6	28-51	0-23	0	0	2026-07-15T12:21:35+00:00	2026-07-15T12:22:45+00:00
