model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T11:34:50+00:00	2026-07-15T11:35:53+00:00
sc	2	28-51	0-23	0	0	2026-07-15T11:35:53+00:00	2026-07-15T11:36:56+00:00
sc	3	0-23	28-51	0	0	2026-07-15T11:36:56+00:00	2026-07-15T11:37:59+00:00
sc	4	28-51	0-23	0	0	2026-07-15T11:37:59+00:00	2026-07-15T11:39:02+00:00
sc	5	0-23	28-51	0	0	2026-07-15T11:39:02+00:00	2026-07-15T11:40:05+00:00
tso	1	0-23	28-51	0	0	2026-07-15T11:40:05+00:00	2026-07-15T11:41:08+00:00
tso	2	28-51	0-23	0	0	2026-07-15T11:41:08+00:00	2026-07-15T11:42:12+00:00
tso	3	0-23	28-51	0	0	2026-07-15T11:42:12+00:00	2026-07-15T11:43:15+00:00
tso	4	28-51	0-23	0	0	2026-07-15T11:43:15+00:00	2026-07-15T11:44:18+00:00
tso	5	0-23	28-51	0	0	2026-07-15T11:44:18+00:00	2026-07-15T11:45:21+00:00
pso	1	0-23	28-51	0	0	2026-07-15T11:45:21+00:00	2026-07-15T11:46:26+00:00
pso	2	28-51	0-23	0	0	2026-07-15T11:46:26+00:00	2026-07-15T11:47:31+00:00
pso	3	0-23	28-51	0	0	2026-07-15T11:47:31+00:00	2026-07-15T11:48:35+00:00
pso	4	28-51	0-23	0	0	2026-07-15T11:48:35+00:00	2026-07-15T11:49:40+00:00
pso	5	0-23	28-51	0	0	2026-07-15T11:49:40+00:00	2026-07-15T11:50:46+00:00
sc	6	28-51	0-23	0	0	2026-07-15T11:50:46+00:00	2026-07-15T11:51:49+00:00
tso	6	28-51	0-23	0	0	2026-07-15T11:51:49+00:00	2026-07-15T11:52:52+00:00
pso	6	28-51	0-23	0	0	2026-07-15T11:52:52+00:00	2026-07-15T11:53:57+00:00
