variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.062526822	0.06727531302021816	25960448	2026-07-15T08:04:26.882187+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.070706142	0.0745487610111013	25989120	2026-07-15T08:04:26.758727+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.058829991	0.06927750899922103	26025984	2026-07-15T08:04:26.732797+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.058554764	0.0651411609724164	26005504	2026-07-15T08:04:26.719283+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.065689019	0.0769678300130181	26034176	2026-07-15T08:04:26.887610+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.069192243	0.08276188099989668	26009600	2026-07-15T08:04:26.840805+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.061874879	0.07649183098692447	25985024	2026-07-15T08:04:26.821883+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.066198598	0.08170719200279564	26034176	2026-07-15T08:04:26.850371+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.059306704	0.07292446598876268	25960448	2026-07-15T08:04:26.825800+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.06027798	0.06247269903542474	25948160	2026-07-15T08:04:26.979154+00:00		optimization-analysis/continuous/adaptive-offline-state/server/formal/after/pso/r01/perf-caat-pso.2026-07-15_08-04-26.results.caat-pso.perf.unreach-call.xml.bz2
