archive	log	adapter_ns	adaptive_offline	base_facts_added	base_facts_removed	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_changed_primitives	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	monotone_primitive_queries	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	primitive_change_queries	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	retracting_primitive_queries	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.13-privatized_47-refine-protected2_true.yml.log	0	0	341	385	5170	95267	3807	176	0	326855	1	1	233671	126684	14	612244	120	9	1112	2224	7	15	1	7	214544	11	15184	5136	9	11	176	6	215915	0	7592	0	8	0	2	65723	1476198	1	159	216114
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	709	0	0	0	0	0	1	0	0	22999	6	555555	20	0	464	464	0	6	0	1	32167	1	3344	0	0	1	0	0	32693	0	3344	0	0	0	0	0	87192	0	0	0
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.36-apron_11-traces-max-simple_true.yml.log	0	0	408	452	5008	87408	3772	185	0	375405	1	1	248753	130055	15	604444	136	9	1184	2368	7	16	1	7	252463	11	16128	5848	9	11	185	6	253940	0	8064	0	8	0	2	81545	1629843	1	174	248341
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.13-privatized_46-refine-protected1_true.yml.log	0	0	3	125	2222	24497	1295	0	0	8607	1	0	48141	52196	14	560000	88	9	1040	1040	4	14	0	4	128353	4	7120	0	3	4	0	3	129410	0	7120	0	3	0	0	0	428397	0	0	0
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	0	0	0	0	857	0	0	0	0	0	1	0	0	22850	13	544378	92	0	968	968	0	13	0	1	34051	1	6648	0	0	1	0	0	34850	0	6648	0	0	0	0	0	95540	0	0	0
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oracle-pso.2026-07-15_07-50-04.logfiles.zip	caat-pso.r01.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	649	0	0	0	0	0	1	0	0	16392	6	555555	20	0	464	464	0	6	0	1	29085	1	3344	0	0	1	0	0	29445	0	3344	0	0	0	0	0	69541	0	0	0
