model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T07:53:31+00:00	2026-07-15T07:54:34+00:00
sc	2	28-51	0-23	0	0	2026-07-15T07:54:34+00:00	2026-07-15T07:55:44+00:00
sc	3	0-23	28-51	0	0	2026-07-15T07:55:44+00:00	2026-07-15T07:56:47+00:00
sc	4	28-51	0-23	0	0	2026-07-15T07:56:47+00:00	2026-07-15T07:57:50+00:00
sc	5	0-23	28-51	0	0	2026-07-15T07:57:50+00:00	2026-07-15T07:58:59+00:00
tso	1	0-23	28-51	0	0	2026-07-15T07:58:59+00:00	2026-07-15T08:00:02+00:00
tso	2	28-51	0-23	0	0	2026-07-15T08:00:02+00:00	2026-07-15T08:01:04+00:00
tso	3	0-23	28-51	0	0	2026-07-15T08:01:04+00:00	2026-07-15T08:02:07+00:00
tso	4	28-51	0-23	0	0	2026-07-15T08:02:07+00:00	2026-07-15T08:03:10+00:00
tso	5	0-23	28-51	0	0	2026-07-15T08:03:10+00:00	2026-07-15T08:04:26+00:00
pso	1	0-23	28-51	0	0	2026-07-15T08:04:26+00:00	2026-07-15T08:05:50+00:00
pso	2	28-51	0-23	0	0	2026-07-15T08:05:50+00:00	2026-07-15T08:06:55+00:00
pso	3	0-23	28-51	0	0	2026-07-15T08:06:55+00:00	2026-07-15T08:07:59+00:00
pso	4	28-51	0-23	0	0	2026-07-15T08:07:59+00:00	2026-07-15T08:09:03+00:00
pso	5	0-23	28-51	0	0	2026-07-15T08:09:03+00:00	2026-07-15T08:10:07+00:00
sc	6	28-51	0-23	0	0	2026-07-15T08:11:10+00:00	2026-07-15T08:12:13+00:00
tso	6	28-51	0-23	0	0	2026-07-15T08:12:13+00:00	2026-07-15T08:13:16+00:00
pso	6	28-51	0-23	0	0	2026-07-15T08:13:16+00:00	2026-07-15T08:14:20+00:00
