   BENCHMARK INFORMATION
benchmark definition:    /workspace/experiments/caat-optimization/cost-selector/definitions/oracle-sc.xml
name:                    oracle-sc
run sets:                caat-sc.r01.unreach-call
date:                    Wed, 2026-07-15 07:47:47 UTC
tool:                    GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /workspace/experiments/caat-optimization/adaptive-offline-state/build-tests/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-oracle --cat-stats
parallel runs:           48
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    adce2ccd8494
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



genmc-sc.r01.unreach-call
Run set 1 of 15: skipped


cat-sc.r01.unreach-call
Run set 2 of 15: skipped


caat-sc.r01.unreach-call
Run set 3 of 15 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --cat-oracle --cat-stats --svcomp-backend=caat-sc' and propertyfile 'None'

inputfile                                                                                            status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                             true                             0.06        0.07        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml                               false(unreach-call)              0.06        0.11        None
goblint-regression/36-apron_16-traces-unprot2_true.yml                                               true                             0.06        0.10        None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                   true                             0.06        0.09        None
goblint-regression/13-privatized_47-refine-protected2_true.yml                                       true                             0.06        0.10        None
goblint-regression/13-privatized_46-refine-protected1_true.yml                                       true                             0.06        0.09        None
goblint-regression/36-apron_11-traces-max-simple_true.yml                                            true                             0.06        0.07        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml                                    false(unreach-call)              0.06        0.11        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml                                    false(unreach-call)              0.06        0.12        None
goblint-regression/13-privatized_40-traces-ex-6_true.yml                                             true                             0.07        0.12        None
goblint-regression/13-privatized_58-singlethreaded-lock_true.yml                                     true                             0.06        0.07        None
goblint-regression/13-privatized_44-traces-mine2_true.yml                                            true                             0.06        0.09        None
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml                                    false(unreach-call)              0.06        0.09        None
goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml                                    false(unreach-call)              0.06        0.10        None
goblint-regression/13-privatized_36-traces-ex-3_true.yml                                             true                             0.07        0.11        None
goblint-regression/13-privatized_18-first-reads_true.yml                                             true                             0.06        0.07        None
goblint-regression/13-privatized_35-traces-ex-2_true.yml                                             true                             0.06        0.10        None
goblint-regression/13-privatized_37-traces-ex-4_true.yml                                             true                             0.06        0.09        None
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml                                      true                             0.07        0.09        None
goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml                              false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml                              false(unreach-call)              0.06        0.11        None
goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml                              false(unreach-call)              0.06        0.10        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml                              false(unreach-call)              0.06        0.07        None
goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml    true                             0.06        0.08        None
goblint-regression/13-privatized_01-priv_nr_true.yml                                                 true                             0.06        0.33        None
goblint-regression/13-privatized_19-publish-precision_true.yml                                       true                             0.07        0.09        None
goblint-regression/13-privatized_42-traces-ex-mini_true.yml                                          true                             0.06        0.15        None
goblint-regression/13-privatized_33-traces-v-matters_true.yml                                        true                             0.06        0.16        None
goblint-regression/13-privatized_25-struct_nr_true.yml                                               true                             0.07        0.18        None
goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml                          true                             0.06        0.09        None
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml                                   false(unreach-call)              0.07        0.23        None
goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml                                    true                             0.07        0.21        None
goblint-regression/13-privatized_20-publish-regression_true.yml                                      true                             0.06        0.08        None
goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml                                    true                             0.06        0.09        None
goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml                            true                             0.07        0.08        None
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml                          true                             0.06        0.11        None
goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml                  true                             0.06        0.10        None
goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml                              true                             0.08        0.25        None
goblint-regression/13-privatized_24-multiple-protecting_true.yml                                     true                             0.28        0.30        None
goblint-regression/36-apron_21-traces-cluster-based_true.yml                                         true                             0.08        0.10        None
goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml              true                             0.07        0.08        None
goblint-regression/13-privatized_27-multiple-protecting2_true.yml                                    true                             0.90        0.91        None
pthread-ext/14_spin2003.yml                                                                          true                             0.06        0.21        None
pthread-ext/29_conditionals_vs.yml                                                                   true                             0.06        0.12        None
pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml                                             true                             0.06        0.10        None
pthread-ext/46_monabsex2_vs.yml                                                                      true                             0.06        0.10        None
pthread-ext/45_monabsex1_vs.yml                                                                      true                             0.06        0.10        None
pthread/stateful01-1.yml                                                                             false(unreach-call)              0.07        0.10        None
pthread/stateful01-2.yml                                                                             true                             0.08        0.12        None
pthread-atomic/time_var_mutex.yml                                                                    true                             0.07        0.16        None
pthread-ext/01b_inc.yml                                                                              true                             0.06        0.10        None
pthread/triangular-1.yml                                                                             TIMEOUT                         61.01       62.19        None
pthread/triangular-2.yml                                                                             TIMEOUT                         61.01       63.21        None
pthread-ext/02_inc_cas.yml                                                                           true                             0.06        0.10        None
goblint-regression/28-race_reach_21-deref_read_racing.yml                                            false(unreach-call)              2.95        3.19        None
pthread-ext/48_ticket_lock_low_contention_vs.yml                                                     true                             0.06        0.09        None
goblint-regression/28-race_reach_37-indirect_racing.yml                                              OUT OF MEMORY                   24.41       26.88        None
goblint-regression/28-race_reach_45-escape_racing.yml                                                false(unreach-call)              0.06        0.12        None
goblint-regression/28-race_reach_46-escape_racefree.yml                                              true                             0.06        0.17        None
goblint-regression/28-race_reach_01-simple_racing.yml                                                OUT OF MEMORY                   24.28       24.30        None
goblint-regression/28-race_reach_11-ptr_racing.yml                                                   OUT OF MEMORY                   28.13       28.27        None
pthread-deagle/circular_buffer_bad.yml                                                               false(unreach-call)              0.25        0.44        None
pthread/fib_safe-5.yml                                                                               TIMEOUT                         61.00       61.03        None
pthread/fib_safe-6.yml                                                                               TIMEOUT                         61.01       62.58        None
pthread/fib_unsafe-5.yml                                                                             TIMEOUT                         61.00       62.81        None
pthread/fib_unsafe-6.yml                                                                             TIMEOUT                         61.00       62.24        None
pthread/fib_unsafe-7.yml                                                                             TIMEOUT                         60.96       61.04        None
goblint-regression/28-race_reach_24-sound_lock_racing.yml                                            OUT OF MEMORY                   25.12       25.70        None
pthread/lazy01.yml                                                                                   false(unreach-call)              0.06        0.09        None
pthread-deagle/circular_buffer_ok.yml                                                                TIMEOUT                         61.00       61.01        None
pthread-atomic/szymanski.yml                                                                         true                             0.11        0.12        None
pthread-atomic/dekker.yml                                                                            true                             0.07        0.19        None
pthread-atomic/dekker-unfair.yml                                                                     true                             0.08        0.11        None
pthread-theta/unwind3-1.yml                                                                          false(unreach-call)              0.06        0.07        None
pthread-theta/exponential-nondet.yml                                                                 true                             0.06        0.07        None
pthread-theta/unwind2-1.yml                                                                          false(unreach-call)              0.06        0.07        None
pthread-theta/unwind2-100.yml                                                                        false(unreach-call)              0.06        0.24        None
pthread/butterfly.yml                                                                                TIMEOUT                         61.00       64.59        None
pthread-ext/43_NetBSD_sysmon_power_sliced.yml                                                        true                             0.06        0.09        None
goblint-regression/28-race_reach_06-cond_racing1.yml                                                 OUT OF MEMORY                   26.73       26.75        None
pthread/queue_ok.yml                                                                                 true                             0.23        0.52        None
pthread/queue_ok_longer.yml                                                                          TIMEOUT                         61.03       62.16        None
pthread/queue_ok_longest.yml                                                                         TIMEOUT                         61.04       69.07        None
pthread/queue_longer.yml                                                                             TIMEOUT                         60.91       61.01        None
pthread/queue.yml                                                                                    false(unreach-call)             12.35       13.60        None
pthread/singleton.yml                                                                                false(unreach-call)              0.08        0.08        None
pthread/singleton_with-uninit-problems.yml                                                           true                             0.09        0.10        None
pthread-C-DAC/pthread-demo-datarace-3.yml                                                            false(unreach-call)              0.26        0.63        None
pthread/reorder_2.yml                                                                                false(unreach-call)              5.32        5.33        None
pthread/twostage_3.yml                                                                               false(unreach-call)              0.16        0.17        None
ldv-races/race-1_1-join.yml                                                                          true                             0.07        0.07        None
ldv-races/race-1_3-join.yml                                                                          false(unreach-call)              0.07        0.07        None
ldv-races/race-1_2-join.yml                                                                          false(unreach-call)              0.06        0.07        None
ldv-races/race-4_1-thread_local_vars.yml                                                             true                             0.07        0.08        None
ldv-races/race-2_1-container_of.yml                                                                  true                             0.07        0.29        None
ldv-races/race-3_1-container_of-global.yml                                                           true                             0.07        0.10        None
------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run set 3                                                                                            done                           888.06       71.72           -


cat-sc.r02.unreach-call
Run set 4 of 15: skipped


caat-sc.r02.unreach-call
Run set 5 of 15: skipped


genmc-sc.r02.unreach-call
Run set 6 of 15: skipped


caat-sc.r03.unreach-call
Run set 7 of 15: skipped


genmc-sc.r03.unreach-call
Run set 8 of 15: skipped


cat-sc.r03.unreach-call
Run set 9 of 15: skipped


genmc-sc.r04.unreach-call
Run set 10 of 15: skipped


cat-sc.r04.unreach-call
Run set 11 of 15: skipped


caat-sc.r04.unreach-call
Run set 12 of 15: skipped


cat-sc.r05.unreach-call
Run set 13 of 15: skipped


caat-sc.r05.unreach-call
Run set 14 of 15: skipped


genmc-sc.r05.unreach-call
Run set 15 of 15: skipped

Statistics:             96 Files
  correct:              79
    correct true:       54
    correct false:      25
  incorrect:             0
    incorrect true:      0
    incorrect false:     0
  unknown:              17
  Score:               133 (max: 157)
