case	mode	workers	status	elapsed_ns	gate	complete	blocked	reduced	fail_open	verdict_sha256	summary_sha256
correct/litmus/SB/variants/sb0.c	baseline	1	0	49801000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/SB/variants/sb0.c	baseline	2	0	49413000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/SB/variants/sb0.c	rvf	1	0	50261000	enabled	3	0	6	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/SB/variants/sb0.c	rvf	2	0	49774000	enabled	3	0	6	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/MP/variants/mp0.c	baseline	1	0	49888000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/MP/variants/mp0.c	baseline	2	0	54904000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/MP/variants/mp0.c	rvf	1	0	56113000	enabled	3	0	3	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/MP/variants/mp0.c	rvf	2	0	105706000	enabled	3	0	3	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/LB/variants/lb0.c	baseline	1	0	75271000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/LB/variants/lb0.c	baseline	2	0	66990000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/LB/variants/lb0.c	rvf	1	0	58745000	enabled	4	0	4	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/LB/variants/lb0.c	rvf	2	0	62378000	enabled	4	0	4	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/po-loc/variants/po-loc0.c	baseline	1	0	51820000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/po-loc/variants/po-loc0.c	baseline	2	0	55889000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/po-loc/variants/po-loc0.c	rvf	1	0	53564000	enabled	4	0	8	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/po-loc/variants/po-loc0.c	rvf	2	0	54966000	enabled	4	0	8	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/CoRR1/variants/corr10.c	baseline	1	0	53727000		36	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr10.c	baseline	2	0	52267000		36	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr10.c	rvf	1	0	55663000	enabled	36	44	52	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	06a31949c3683ddada929fd65f3cabd64acfb3d3b79ff4ed2b2c48ebd6ab7763
correct/litmus/CoRR1/variants/corr10.c	rvf	2	0	54281000	enabled	36	44	52	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	06a31949c3683ddada929fd65f3cabd64acfb3d3b79ff4ed2b2c48ebd6ab7763
correct/litmus/CoWR/variants/cowr0.c	baseline	1	0	49621000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/CoWR/variants/cowr0.c	baseline	2	0	50184000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
