shape	outcome	mode	workers	status	elapsed_ns	gate	complete	fail_open	loads_reduced	verdict_sha256
000000	0000	baseline	1	0	1089624250		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0000	rvf	1	0	70225250	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0000	rvf	2	0	64974875	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0001	baseline	1	0	61346417		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0001	rvf	1	0	55586875	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0001	rvf	2	0	53028292	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0002	baseline	1	0	52670208		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0002	rvf	1	0	57803375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0002	rvf	2	0	54954916	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0010	baseline	1	0	55349083		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0010	rvf	1	0	57613125	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0010	rvf	2	0	58136958	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0011	baseline	1	0	55628167		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0011	rvf	1	0	55610750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0011	rvf	2	0	53456583	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0012	baseline	1	0	53297917		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0012	rvf	1	0	57543458	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0012	rvf	2	0	57524583	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0020	baseline	1	0	54957000		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0020	rvf	1	0	54677708	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0020	rvf	2	0	52792167	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0021	baseline	1	0	54378875		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0021	rvf	1	0	51275708	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0021	rvf	2	0	56962083	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0022	baseline	1	0	53138416		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0022	rvf	1	0	51309333	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0022	rvf	2	0	56736709	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0100	baseline	1	0	53266875		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0100	rvf	1	0	50185167	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0100	rvf	2	0	54340250	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0101	baseline	1	0	50990167		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0101	rvf	1	0	54352083	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0101	rvf	2	0	54425875	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0102	baseline	1	0	51437417		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0102	rvf	1	0	51494500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0102	rvf	2	0	54618042	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0110	baseline	1	0	51565042		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0110	rvf	1	0	50618541	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0110	rvf	2	0	52037625	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0111	baseline	1	0	50742708		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0111	rvf	1	0	50696750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0111	rvf	2	0	60369500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0112	baseline	1	0	50364292		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0112	rvf	1	0	53343500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0112	rvf	2	0	50249625	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0120	baseline	1	0	52121000		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0120	rvf	1	0	54243583	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0120	rvf	2	0	56599167	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0121	baseline	1	0	49407125		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0121	rvf	1	0	50774750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0121	rvf	2	0	52042666	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0122	baseline	1	0	54818917		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0122	rvf	1	0	52586500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0122	rvf	2	0	52423083	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0200	baseline	1	0	54303333		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0200	rvf	1	0	53635958	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
