back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
0	0	correct	0	0	0.071856016	25956352.0	0	0	0	01	0	0	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	0	baseline	0.07692562195006758	0	0
0	0	correct	0	0	0.075477011	25960448.0	1	1	0	01	0	0	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	baseline	0.07824694097507745	1	1
0	0	correct	0	0	0.064503067	25968640.0	0	0	0	01	0	0	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	0	baseline	0.07474687101785094	0	0
0	0	correct	3	1	0.063122655	25993216.0	1	1	1	01	1	0	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	1	baseline	0.06922238902188838	1	1
1	1	correct	15	8	0.06433712	26009600.0	6	10	8	01	4	1	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	11	baseline	0.06902496493421495	10	10
0	0	correct	8	4	0.067524585	26034176.0	4	4	4	01	2	0	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	4	baseline	0.0704731399891898	4	4
1	1	correct	15	8	0.067083741	25927680.0	6	10	8	01	4	1	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	11	baseline	0.07700936391483992	10	10
1	1	correct	16	6	0.064033307	25997312.0	8	2	0	01	7	1	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	1	baseline	0.08718974702060223	9	2
0	0	correct	4	1	0.063147042	25980928.0	2	1	0	01	2	0	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	baseline	0.07868930196855217	2	1
1	1	correct	16	6	0.065266598	25952256.0	7	8	6	01	8	1	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	9	baseline	0.07328109303489327	8	8
0	0	correct	4	1	0.067659881	25952256.0	1	1	1	01	2	0	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	1	baseline	0.07233650493435562	1	1
1	1	correct	10	2	0.06627661	26025984.0	3	4	2	01	7	1	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	4	baseline	0.07165963703300804	4	4
1	1	correct	4	1	0.065546482	26083328.0	3	2	0	01	3	1	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	1	baseline	0.07480311207473278	4	2
