model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,max_rf_same_value_class,realized_revisit_prefixes,rf_offered,rf_queued,rf_same_value_candidate_upper_bound,rf_same_value_choice_points,rf_value_choice_points,rf_value_classes,validity_queries,work_added,work_popped
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_66-mine-W-init_true.yml,true,correct,0.070411911,0.07747145695611835,25694208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml,false(unreach-call),correct,0.064301139,0.07481332297902554,25694208,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_16-traces-unprot2_true.yml,true,correct,0.064065899,0.06638912903144956,25776128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml,true,correct,0.069457554,0.07395822799298912,25800704,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_47-refine-protected2_true.yml,true,correct,0.066032973,0.07335329009220004,25776128,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_46-refine-protected1_true.yml,true,correct,0.065092709,0.07009238097816706,25747456,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_11-traces-max-simple_true.yml,true,correct,0.067069088,0.07267041399609298,25858048,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml,false(unreach-call),correct,0.069934123,0.07429992803372443,25837568,1,1,10,0,0,2,2,2,7,1,1,1,1,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml,false(unreach-call),correct,0.06413941,0.07228804694022983,25780224,0,0,3,0,0,1,0,1,2,0,0,0,0,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_40-traces-ex-6_true.yml,true,correct,0.065042579,0.0798573549836874,25796608,1,1,10,0,0,2,2,2,8,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml,true,correct,0.072025195,0.07713259500451386,25784320,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_44-traces-mine2_true.yml,true,correct,0.071295279,0.08572609000839293,25837568,1,1,8,0,0,2,1,2,7,1,0,0,1,2,2,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml,false(unreach-call),correct,0.070939062,0.07376839104108512,25853952,1,1,3,0,0,2,2,2,3,1,1,1,1,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml,false(unreach-call),correct,0.070682201,0.07588123006280512,25849856,1,1,3,0,0,2,2,2,3,1,1,1,1,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_36-traces-ex-3_true.yml,true,correct,0.066059872,0.07298943609930575,25747456,2,2,19,0,0,3,2,4,10,2,2,2,2,2,6,4,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_true.yml,true,correct,0.070234253,0.0746152059873566,25817088,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_35-traces-ex-2_true.yml,true,correct,0.065677218,0.07244365895166993,25812992,3,3,20,0,0,4,2,6,15,3,1,1,3,5,7,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_37-traces-ex-4_true.yml,true,correct,0.065515737,0.07826572889462113,25812992,1,1,19,0,0,2,2,2,10,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml,true,correct,0.076344822,0.09269475599285215,25780224,3,3,20,0,0,4,2,6,15,3,1,1,3,5,7,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml,false(unreach-call),correct,0.065148196,0.08004346501547843,25788416,1,1,6,0,0,2,2,2,5,1,1,1,1,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml,false(unreach-call),correct,0.066887426,0.07085250609088689,25845760,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml,false(unreach-call),correct,0.069442588,0.07144600397441536,25862144,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml,false(unreach-call),correct,0.067157916,0.07690692495089024,25849856,1,1,6,0,0,2,2,2,5,1,1,1,1,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml,true,correct,0.069107084,0.07271067192777991,25743360,3,3,19,0,0,4,3,5,15,3,2,1,2,3,5,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_01-priv_nr_true.yml,true,correct,0.071762131,0.07667796697933227,25829376,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_true.yml,true,correct,0.065968132,0.07302798796445131,25776128,2,2,18,0,0,3,2,4,9,2,2,2,2,2,6,4,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml,true,correct,0.065504559,0.07154298201203346,25817088,1,1,18,0,0,2,2,2,9,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_33-traces-v-matters_true.yml,true,correct,0.068569126,0.07534414296969771,25812992,2,2,15,0,0,2,2,4,14,2,1,1,2,3,5,4,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_25-struct_nr_true.yml,true,correct,0.064337891,0.0713295100722462,25788416,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml,true,correct,0.069776608,0.07457940094172955,25878528,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml,false(unreach-call),correct,0.069530628,0.07630182104185224,25845760,0,0,4,0,0,1,0,1,3,0,0,0,0,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml,true,correct,0.071950554,0.078663908992894,25808896,3,3,39,0,0,4,2,6,20,3,3,3,3,3,9,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_20-publish-regression_true.yml,true,correct,0.067579019,0.0755218219710514,25878528,1,1,15,0,0,2,2,2,8,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml,true,correct,0.072521929,0.0764493279857561,25825280,3,3,20,0,0,4,2,6,15,3,1,1,3,5,7,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml,true,correct,0.06540439,0.07497305097058415,25894912,4,4,42,0,0,5,2,8,26,4,2,2,4,6,10,8,8
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml,true,correct,0.068013641,0.07122146396432072,25792512,1,1,15,0,0,2,2,2,11,1,1,1,1,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml,true,correct,0.069818015,0.07641930703539401,25972736,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
