model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,realized_revisit_prefixes,rf_offered,rf_queued,validity_queries,work_added,work_popped
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_66-mine-W-init_true.yml,true,correct,0.062228799,0.06794375402387232,25784320,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml,false(unreach-call),correct,0.068460078,0.07437950209714472,25800704,0,0,0,0,0,1,1,0,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_16-traces-unprot2_true.yml,true,correct,0.068192129,0.0746387590188533,25817088,0,0,0,0,0,0,0,0,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml,true,correct,0.069776939,0.07132922508753836,25837568,0,0,2,0,0,0,0,1,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_47-refine-protected2_true.yml,true,correct,0.062800609,0.06784915598109365,25755648,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_46-refine-protected1_true.yml,true,correct,0.067804346,0.07265698106493801,25735168,0,0,4,0,0,0,0,2,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/36-apron_11-traces-max-simple_true.yml,true,correct,0.065325757,0.07025944197084755,25862144,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml,false(unreach-call),correct,0.070232645,0.07315896498039365,25780224,1,1,10,0,0,2,2,7,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml,false(unreach-call),correct,0.067307767,0.0719710240373388,25849856,0,0,3,0,0,1,1,2,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_40-traces-ex-6_true.yml,true,correct,0.060535205,0.06495698296930641,25747456,1,1,10,0,0,2,2,8,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml,true,correct,0.067476972,0.0706818929174915,25841664,0,0,3,0,0,0,0,2,0,0,0,0
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_44-traces-mine2_true.yml,true,correct,0.065171955,0.07104683795478195,25833472,1,1,8,0,0,2,2,7,1,2,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml,false(unreach-call),correct,0.068748251,0.07164079300127923,25886720,1,1,3,0,0,2,2,3,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml,false(unreach-call),correct,0.066781788,0.07104431593324989,25792512,1,1,3,0,0,2,2,3,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_36-traces-ex-3_true.yml,true,correct,0.065701995,0.06980347796343267,25796608,2,2,19,0,0,3,4,10,2,6,4,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_18-first-reads_true.yml,true,correct,0.065915084,0.06990359304472804,25804800,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_35-traces-ex-2_true.yml,true,correct,0.070582456,0.07553764409385622,25784320,3,3,20,0,0,4,6,15,3,7,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_37-traces-ex-4_true.yml,true,correct,0.069397891,0.07398685999214649,25739264,1,1,19,0,0,2,2,10,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml,true,correct,0.069212549,0.07668483909219503,25817088,3,3,20,0,0,4,6,15,3,7,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml,false(unreach-call),correct,0.070604741,0.07602300099097192,25833472,1,1,6,0,0,2,2,5,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml,false(unreach-call),correct,0.065024803,0.07211202697362751,25886720,0,0,1,0,0,1,1,1,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml,false(unreach-call),correct,0.065481661,0.07240671804174781,25899008,0,0,1,0,0,1,1,1,0,0,1,1
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml,false(unreach-call),correct,0.070800616,0.07422667590435594,25833472,1,1,6,0,0,2,2,5,1,1,3,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml,true,correct,0.067936129,0.07537093409337103,25759744,3,3,19,0,0,4,5,15,3,5,6,6
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_01-priv_nr_true.yml,true,correct,0.063053577,0.07235954492352903,25780224,1,1,7,0,0,2,2,4,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_19-publish-precision_true.yml,true,correct,0.067085035,0.07228310301434249,25772032,2,2,18,0,0,3,4,9,2,6,4,4
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml,true,correct,0.067512315,0.07273463299497962,25849856,1,1,18,0,0,2,2,9,1,3,2,2
sc,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/13-privatized_33-traces-v-matters_true.yml,true,correct,0.069433401,0.07443331903778017,25763840,2,2,15,0,0,2,4,14,2,5,4,4
