variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	executions	snapshot_bytes	base_bytes	lazy_checks	lazy_candidates
before	sc	r01	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	0.072890981	0.07786944496911019	25821184.0					
before	sc	r01	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.067528034	0.07209755608346313	25800704.0					
before	sc	r01	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	correct	0.068882314	0.07423598307650536	25743360.0					
before	sc	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.070241053	0.10989341500680894	25812992.0					
before	sc	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	correct	0.075616027	0.08022596000228077	25808896.0					
before	sc	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	0.058598504	0.06454982701689005	25772032.0					
before	sc	r01	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	correct	0.069176513	0.07597124099265784	25706496.0					
before	sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.0704363	0.07449987903237343	25817088.0					
before	sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.068762173	0.07752814097329974	25812992.0					
before	sc	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	0.067653112	0.07513081992510706	25833472.0					
before	sc	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.069202483	0.07629096996970475	25849856.0					
before	sc	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	0.06715941	0.08506907499395311	25825280.0					
before	sc	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.066685799	0.07362027105409652	25821184.0					
before	sc	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.063090526	0.0655105859041214	25858048.0					
before	sc	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	0.067864984	0.07296752696856856	25763840.0					
before	sc	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	correct	0.066981292	0.0707746340194717	25874432.0					
before	sc	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	0.072447656	0.07640322099905461	25878528.0					
before	sc	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	correct	0.068126632	0.07746843399945647	25747456.0					
before	sc	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	0.066853722	0.0811966749606654	25874432.0					
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	correct	0.070413464	0.07550518203061074	25767936.0					
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	0.068048239	0.07898601097986102	25821184.0					
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	correct	0.072482881	0.07631307898554951	25833472.0					
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	0.063270633	0.06697050901129842	25853952.0					
before	sc	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	correct	0.069075002	0.07531047007068992	25812992.0					
before	sc	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	correct	0.067744747	0.0739609650336206	25817088.0					
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	correct	0.069769967	0.07927374192513525	25833472.0					
before	sc	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	correct	0.070518164	0.07303410104941577	25808896.0					
before	sc	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	correct	0.072199393	0.10490187699906528	25845760.0					
before	sc	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	correct	0.075265328	0.09530542197171599	25808896.0					
before	sc	r01	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	correct	0.07270239	0.09153970098122954	25804800.0					
before	sc	r01	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	correct	0.056939513	0.06285076902713627	25858048.0					
before	sc	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	correct	0.069002024	0.07443929696455598	25870336.0					
before	sc	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	correct	0.073495821	0.08091561403125525	25874432.0					
before	sc	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	correct	0.076557597	0.08232183498330414	25849856.0					
before	sc	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	correct	0.071070088	0.07741139305289835	25829376.0					
before	sc	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	correct	0.071723514	0.07847006397787482	25821184.0					
before	sc	r01	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	correct	0.072252258	0.08698768599424511	25886720.0					
before	sc	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	correct	0.071504534	0.08524512709118426	25858048.0					
before	sc	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	correct	0.063976432	0.07240831002127379	25882624.0					
before	sc	r01	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	correct	0.075926142	0.09420053299982101	25890816.0					
before	sc	r01	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	correct	0.068174825	0.07531142595689744	25870336.0					
before	sc	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	correct	0.077586883	0.08278589800465852	25903104.0					
before	sc	r01	c/pthread-ext/14_spin2003.yml	true	correct	0.065820576	0.07334048009943217	25829376.0					
before	sc	r01	c/pthread-ext/29_conditionals_vs.yml	true	correct	0.067292721	0.0751593979075551	25767936.0					
before	sc	r01	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	correct	0.071988219	0.07478954503312707	25853952.0					
before	sc	r01	c/pthread-ext/46_monabsex2_vs.yml	true	correct	0.065698387	0.07251415902283043	25858048.0					
before	sc	r01	c/pthread-ext/45_monabsex1_vs.yml	true	correct	0.059820667	0.06622414500452578	25853952.0					
before	sc	r01	c/pthread/stateful01-1.yml	false(unreach-call)	correct	0.072809458	0.08257148100528866	25866240.0					
before	sc	r01	c/pthread/stateful01-2.yml	true	correct	0.070535962	0.07378865405917168	25837568.0					
before	sc	r01	c/pthread-atomic/time_var_mutex.yml	true	correct	0.076788254	0.08419387298636138	25948160.0					
before	sc	r01	c/pthread-ext/01b_inc.yml	true	correct	0.069589399	0.07782104995567352	25894912.0					
before	sc	r01	c/pthread/triangular-1.yml	true	correct	6.56046429	6.594604698009789	25952256.0					
before	sc	r01	c/pthread/triangular-2.yml	false(unreach-call)	correct	1.56027856	1.5662914250278845	25931776.0					
before	sc	r01	c/pthread-ext/02_inc_cas.yml	true	correct	0.068984787	0.07267849810887128	25874432.0					
before	sc	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	false(unreach-call)	correct	3.972912373	4.001564056030475	56373248.0					
before	sc	r01	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	true	correct	0.070359999	0.07907068799249828	25837568.0					
before	sc	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	false(unreach-call)	correct	13.29178992	13.33173610898666	2061103104.0					
before	sc	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	false(unreach-call)	correct	0.068882076	0.0726648549316451	25829376.0					
before	sc	r01	c/goblint-regression/28-race_reach_46-escape_racefree.yml	true	correct	0.064581396	0.07067289599217474	25841664.0					
before	sc	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	false(unreach-call)	correct	13.20266299	13.314480976900086	2061008896.0					
before	sc	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	false(unreach-call)	correct	13.185863366	13.239659557002597	2061017088.0					
before	sc	r01	c/pthread-deagle/circular_buffer_bad.yml	false(unreach-call)	correct	0.076637675	0.09938830009195954	25915392.0					
before	sc	r01	c/pthread/fib_safe-5.yml	true	correct	3.965241748	4.028322149068117	25882624.0					
before	sc	r01	c/pthread/fib_safe-6.yml	true	correct	19.443168335	20.480086231022142	25903104.0					
before	sc	r01	c/pthread/fib_unsafe-5.yml	false(unreach-call)	correct	1.062572017	1.077854138915427	25841664.0					
before	sc	r01	c/pthread/fib_unsafe-6.yml	false(unreach-call)	correct	5.429300472	5.441770973033272	25825280.0					
before	sc	r01	c/pthread/fib_unsafe-7.yml	false(unreach-call)	correct	26.093373239	26.150371556985192	25923584.0					
before	sc	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	false(unreach-call)	correct	12.725485738	12.778310100082308	2060939264.0					
before	sc	r01	c/pthread/lazy01.yml	false(unreach-call)	correct	0.06786643	0.08136824297253042	25976832.0					
before	sc	r01	c/pthread-deagle/circular_buffer_ok.yml	true	correct	3.173803649	3.187682527001016	25956352.0					
before	sc	r01	c/pthread-atomic/szymanski.yml	true	correct	0.075526698	0.07935938204172999	25821184.0					
before	sc	r01	c/pthread-atomic/dekker.yml	true	correct	0.072792799	0.07579297502525151	25821184.0					
before	sc	r01	c/pthread-atomic/dekker-unfair.yml	true	correct	0.066855744	0.07279226405080408	25919488.0					
before	sc	r01	c/pthread-theta/unwind3-1.yml	false(unreach-call)	correct	0.065323419	0.06909242202527821	25825280.0					
before	sc	r01	c/pthread-theta/exponential-nondet.yml	true	correct	0.065101992	0.07068286591675133	25866240.0					
before	sc	r01	c/pthread-theta/unwind2-1.yml	false(unreach-call)	correct	0.070256069	0.07232337910681963	25976832.0					
before	sc	r01	c/pthread-theta/unwind2-100.yml	false(unreach-call)	correct	0.069445278	0.07689877797383815	25948160.0					
before	sc	r01	c/pthread/butterfly.yml	true	correct	14.113355938	14.245184813975357	26038272.0					
before	sc	r01	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	true	correct	0.062348009	0.07328224810771644	25747456.0					
before	sc	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	false(unreach-call)	correct	12.225079892	12.33434565202333	2060955648.0					
before	sc	r01	c/pthread/queue_ok.yml	true	correct	0.072046528	0.08349914196878672	25976832.0					
before	sc	r01	c/pthread/queue_ok_longer.yml	true	correct	0.460685139	0.4676737419795245	79396864.0					
before	sc	r01	c/pthread/queue_ok_longest.yml	true	correct	1.616652934	1.6298801250522956	276967424.0					
before	sc	r01	c/pthread/queue_longer.yml	TIMEOUT	error	61.005383643	61.076285943971016	1078132736.0					
before	sc	r01	c/pthread/queue.yml	false(unreach-call)	correct	0.087020181	0.09400049201212823	25985024.0					
before	sc	r01	c/pthread/singleton.yml	false(unreach-call)	correct	0.075044124	0.08173249696847051	26017792.0					
before	sc	r01	c/pthread/singleton_with-uninit-problems.yml	true	correct	0.073162264	0.07913564692717046	26112000.0					
before	sc	r01	c/pthread-C-DAC/pthread-demo-datarace-3.yml	false(unreach-call)	correct	0.123218907	0.1325909160077572	25825280.0					
before	sc	r01	c/pthread/reorder_2.yml	false(unreach-call)	correct	0.145695872	0.15396642696578056	26030080.0					
before	sc	r01	c/pthread/twostage_3.yml	false(unreach-call)	correct	0.079678708	0.08664091001264751	26218496.0					
before	sc	r01	c/ldv-races/race-1_1-join.yml	true	correct	0.068165769	0.07206929102540016	26075136.0					
before	sc	r01	c/ldv-races/race-1_3-join.yml	false(unreach-call)	correct	0.071236143	0.07601789094042033	26091520.0					
before	sc	r01	c/ldv-races/race-1_2-join.yml	false(unreach-call)	correct	0.069266423	0.07508946093730628	26091520.0					
before	sc	r01	c/ldv-races/race-4_1-thread_local_vars.yml	true	correct	0.070787256	0.07803843391593546	26107904.0					
before	sc	r01	c/ldv-races/race-2_1-container_of.yml	true	correct	0.068877548	0.07628404092974961	26161152.0					
before	sc	r01	c/ldv-races/race-3_1-container_of-global.yml	true	correct	0.073654159	0.07737961108796299	26083328.0					
before	sc	r02	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	0.070905776	0.07239755894988775	25694208.0					
before	sc	r02	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.07328058	0.07968097692355514	25731072.0					
before	sc	r02	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	correct	0.066827273	0.07208190695382655	25825280.0					
before	sc	r02	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.069823885	0.07495794701389968	25739264.0					
before	sc	r02	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	correct	0.068253652	0.07378668210003525	25821184.0					
before	sc	r02	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	0.070131585	0.07402156898751855	25821184.0					
before	sc	r02	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	correct	0.069145261	0.07498006999958307	25767936.0					
before	sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.069789604	0.07791806990280747	25804800.0					
before	sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.0708333	0.07763517391867936	25780224.0					
before	sc	r02	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	0.070509438	0.07795949303545058	25812992.0					
before	sc	r02	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.070142311	0.07768952008336782	25739264.0					
before	sc	r02	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	0.071917208	0.0776332370005548	25841664.0					
before	sc	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.07213366	0.07992737402673811	25833472.0					
before	sc	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.073920498	0.07979459501802921	25825280.0					
before	sc	r02	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	0.065870456	0.07079531904309988	25784320.0					
before	sc	r02	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	correct	0.067323411	0.07264515093993396	25837568.0					
before	sc	r02	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	0.077657027	0.08203377400059253	25800704.0					
before	sc	r02	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	correct	0.073640144	0.08235085697378963	25784320.0					
before	sc	r02	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	0.068404888	0.07278708799276501	25858048.0					
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	correct	0.069943419	0.07171140401624143	25886720.0					
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	0.071403605	0.08189388492610306	25812992.0					
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	correct	0.071938955	0.07728796498849988	25882624.0					
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	0.072394464	0.07660827890504152	25759744.0					
before	sc	r02	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	correct	0.070908311	0.07393903296906501	25829376.0					
before	sc	r02	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	correct	0.073766355	0.08117599203251302	25903104.0					
before	sc	r02	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	correct	0.080456416	0.09205300197936594	25755648.0					
before	sc	r02	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	correct	0.071119824	0.07843678095377982	25796608.0					
before	sc	r02	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	correct	0.067826409	0.07951594598125666	25837568.0					
before	sc	r02	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	correct	0.071639565	0.0832987519679591	25899008.0					
before	sc	r02	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	correct	0.073758422	0.0915431099710986	25808896.0					
before	sc	r02	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	correct	0.070073989	0.0770705979084596	25858048.0					
before	sc	r02	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	correct	0.071120681	0.08047557494137436	25837568.0					
before	sc	r02	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	correct	0.069840104	0.07704381400253624	25845760.0					
before	sc	r02	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	correct	0.072935732	0.08085523289628327	25833472.0					
before	sc	r02	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	correct	0.069079202	0.0798688679933548	25837568.0					
before	sc	r02	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	correct	0.069768569	0.07674348098225892	25772032.0					
before	sc	r02	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	correct	0.071799043	0.07619658601470292	25853952.0					
before	sc	r02	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	correct	0.075849676	0.08072332595475018	25866240.0					
before	sc	r02	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	correct	0.073874958	0.07937932398635894	25915392.0					
before	sc	r02	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	correct	0.069935505	0.07556677202228457	25911296.0					
before	sc	r02	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	correct	0.072922227	0.07947392098139971	25825280.0					
before	sc	r02	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	correct	0.079790889	0.08564766892232001	25858048.0					
before	sc	r02	c/pthread-ext/14_spin2003.yml	true	correct	0.068324096	0.07675136800389737	25747456.0					
before	sc	r02	c/pthread-ext/29_conditionals_vs.yml	true	correct	0.067362801	0.0768806328997016	25796608.0					
before	sc	r02	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	correct	0.068279655	0.07355981401633471	25837568.0					
before	sc	r02	c/pthread-ext/46_monabsex2_vs.yml	true	correct	0.068280794	0.07672019104938954	25780224.0					
before	sc	r02	c/pthread-ext/45_monabsex1_vs.yml	true	correct	0.069162932	0.07411090796813369	25792512.0					
before	sc	r02	c/pthread/stateful01-1.yml	false(unreach-call)	correct	0.076390481	0.08188510802574456	25882624.0					
before	sc	r02	c/pthread/stateful01-2.yml	true	correct	0.069923709	0.07844342803582549	25837568.0					
before	sc	r02	c/pthread-atomic/time_var_mutex.yml	true	correct	0.07141798	0.07444711006246507	25874432.0					
before	sc	r02	c/pthread-ext/01b_inc.yml	true	correct	0.067515345	0.073000926990062	25841664.0					
before	sc	r02	c/pthread/triangular-1.yml	true	correct	6.65919268	6.687634145957418	25890816.0					
before	sc	r02	c/pthread/triangular-2.yml	false(unreach-call)	correct	1.574585725	1.5833724139956757	25915392.0					
before	sc	r02	c/pthread-ext/02_inc_cas.yml	true	correct	0.07071614	0.07595843402668834	25817088.0					
before	sc	r02	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	false(unreach-call)	correct	4.136686272	4.151713551022112	56328192.0					
before	sc	r02	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	true	correct	0.069669324	0.07226791302673519	25825280.0					
