repetition	model	before_cores	after_cores	before_status	after_status	started	finished
1	sc	0-7	8-15	0	0	2026-07-16T21:43:01+00:00	2026-07-16T21:45:10+00:00
1	tso	16-23	24-31	0	0	2026-07-16T21:43:01+00:00	2026-07-16T21:45:10+00:00
1	pso	32-39	40-47	0	0	2026-07-16T21:43:01+00:00	2026-07-16T21:45:10+00:00
2	sc	8-15	0-7	0	0	2026-07-16T21:45:10+00:00	2026-07-16T21:47:20+00:00
2	tso	24-31	16-23	0	0	2026-07-16T21:45:10+00:00	2026-07-16T21:47:20+00:00
2	pso	40-47	32-39	0	0	2026-07-16T21:45:10+00:00	2026-07-16T21:47:20+00:00
3	sc	0-7	8-15	0	0	2026-07-16T21:47:20+00:00	2026-07-16T21:49:30+00:00
3	tso	16-23	24-31	0	0	2026-07-16T21:47:20+00:00	2026-07-16T21:49:30+00:00
3	pso	32-39	40-47	0	0	2026-07-16T21:47:20+00:00	2026-07-16T21:49:30+00:00
4	sc	8-15	0-7	0	0	2026-07-16T21:49:30+00:00	2026-07-16T21:51:39+00:00
4	tso	24-31	16-23	0	0	2026-07-16T21:49:30+00:00	2026-07-16T21:51:39+00:00
4	pso	40-47	32-39	0	0	2026-07-16T21:49:30+00:00	2026-07-16T21:51:39+00:00
