repetition	model	task	before_status	after_status	before_category	after_category	before_cpu	after_cpu	cpu_ratio	before_rss	after_rss	rss_ratio	before_executions	after_executions	before_snapshot	after_snapshot	before_base	after_base	before_lazy_checks	after_lazy_checks	before_candidates	after_candidates
r01	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.941204972	60.978962001	1.0006195648579208	26087424.0	26083328.0	0.9998429894802952										
r01	pso	queue_ok_longer.yml	true	true	correct	correct	4.166203277	3.779391737	0.9071549047701447	123043840.0	122355712.0	0.9944074567243675										
r01	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.875366594	23.617870342	0.9892149822711116	25829376.0	25821184.0	0.9996828417380272										
r01	sc	queue_ok_longer.yml	true	true	correct	correct	0.472013828	0.434815895	0.9211931286894417	79347712.0	79347712.0	1.0										
r01	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.341185888	44.502823361	0.9400445410532171	26042368.0	26087424.0	1.0017301038062283										
r01	tso	queue_ok_longer.yml	true	true	correct	correct	1.136461505	1.036166043	0.9117475941255044	55578624.0	54165504.0	0.9745743975237674										
r02	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.978536106	60.938631292	0.9993455924568173	26087424.0	26103808.0	1.0006280420788194										
r02	pso	queue_ok_longer.yml	true	true	correct	correct	4.129167092	3.794537714	0.9189595938976838	120696832.0	122355712.0	1.0137441884141583										
r02	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.659768782	23.665162326	1.0002279626673318	25882624.0	25899008.0	1.0006330115524609										
r02	sc	queue_ok_longer.yml	true	true	correct	correct	0.441352496	0.441471796	1.0002703054838962	79376384.0	79355904.0	0.9997419887507095										
r02	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.158148221	44.612765309	0.9460245364158189	26087424.0	26071040.0	0.9993719579211807										
r02	tso	queue_ok_longer.yml	true	true	correct	correct	1.134976036	1.084573788	0.9555917954200751	55472128.0	54796288.0	0.9878165842132467										
r03	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.940358325	60.978887327	1.0006322411462454	26038272.0	26087424.0	1.001887682869278										
r03	pso	queue_ok_longer.yml	true	true	correct	correct	4.147673229	3.793660337	0.9146478344714365	117399552.0	124809216.0	1.0631149256855768										
r03	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.81210999	23.523115765	0.9878635608049281	25874432.0	25915392.0	1.0015830299192654										
r03	sc	queue_ok_longer.yml	true	true	correct	correct	0.44646452	0.424279433	0.9503094064451079	79327232.0	79355904.0	1.0003614395621419										
r03	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.313894309	44.538277029	0.9413361060099417	26050560.0	26087424.0	1.0014150943396227										
r03	tso	queue_ok_longer.yml	true	true	correct	correct	1.138280535	1.050598211	0.9229694953889377	55566336.0	54808576.0	0.9863629662391272										
r04	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.980910498	60.935767906	0.9992597258448367	26083328.0	26091520.0	1.0003140703517588										
r04	pso	queue_ok_longer.yml	true	true	correct	correct	4.153666021	3.828060659	0.9216101245613363	120844288.0	124882944.0	1.0334203301359184										
r04	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.720749751	23.716504434	0.9998210293922173	25882624.0	25812992.0	0.9973097009020414										
r04	sc	queue_ok_longer.yml	true	true	correct	correct	0.438887687	0.433239957	0.9871317191908371	79347712.0	79400960.0	1.0006710716498037										
r04	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.25765104	44.697387314	0.9458232969761249	26083328.0	25956352.0	0.9951319095477387										
r04	tso	queue_ok_longer.yml	true	true	correct	correct	1.123661844	1.085684156	0.9662018531617952	55562240.0	54149120.0	0.9745669001105787										
r05	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.938371275	60.979390752	1.000673130511068	26071040.0	26107904.0	1.001413982717989										
