repetition	model	task	before_status	after_status	before_category	after_category	before_cpu_s	after_cpu_s	cpu_ratio	before_wall_s	after_wall_s	wall_ratio	before_rss_b	after_rss_b	rss_ratio	before_lazy-cycle-checks	after_lazy-cycle-checks	before_lazy-edge-candidates	after_lazy-edge-candidates	before_lazy-depth-fallbacks	after_lazy-depth-fallbacks	before_lazy-product-checks	after_lazy-product-checks	before_lazy-product-state-visits	after_lazy-product-state-visits	before_lazy-product-transitions	after_lazy-product-transitions	before_lazy-product-size-fallbacks	after_lazy-product-size-fallbacks	before_sync-ns	after_sync-ns	before_offline-ns	after_offline-ns	before_materialize-ns	after_materialize-ns	before_copy-ns	after_copy-ns	before_peak-snapshot-equivalent-bytes	after_peak-snapshot-equivalent-bytes	before_max-stable-events	after_max-stable-events
r01	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.936992536	60.980049678	1.0007065846246772	61.008398922975175	61.01124664710369	1.0000466775751993	26038272.0	26062848.0	1.000943841434639																										
r01	pso	queue_ok_longer.yml	true	true	correct	correct	4.152017837	3.75478764	0.904328398240453	4.155081182951108	3.759499071049504	0.9047955757098721	117391360.0	124887040.0	1.0638520586182834	34	34	49930431	49930431	0	0									4021336055	3628274499	3053370372	2655664297	825709488	805701532	109677955	134673646	44133960	44133960	8033	8033
r01	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.928907958	23.675384833	0.9894051527363896	23.959700649022125	23.687546802917495	0.9886411833732265	25899008.0	25862144.0	0.9985766250197691	0	0	0	0	0	0									14026536166	13893516023	6931814571	6873770066	5990243285	5931388021	0	0	319136	319136	319	319
r01	sc	queue_ok_longer.yml	true	true	correct	correct	0.460387876	0.445807314	0.968329830649146	0.46331268397625536	0.4475933749927208	0.9660719217772588	79413248.0	79364096.0	0.9993810604497627	0	0	0	0	0	0									344364174	333162349	169045956	167646991	111804960	104745014	21006685	20889492	23936072	23936072	4029	4029
r01	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.346829487	43.813327041	0.925369819177223	47.403479341068305	43.83870181301609	0.9247992430596998	25976832.0	26054656.0	1.0029959003468938	35572	35572	455400086	455400086	0	0									37406445258	34014666126	29730398594	26392868088	6401147946	6362091497	0	0	281448	281448	319	319
r01	tso	queue_ok_longer.yml	true	true	correct	correct	1.133070515	1.057893872	0.933652282002943	1.136549312970601	1.0611818470060825	0.9336874651153232	55562240.0	54890496.0	0.9879100626612606	4	4	15503664	15503664	0	0									1021161731	941366550	895446705	818446037	109153436	106293195	9696990	9660836	13851760	13851760	4029	4029
r02	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.977776818	60.935239071	0.9993024057415709	61.008444502949715	61.00689579802565	0.9999746149088593	26021888.0	26124288.0	1.0039351487486228																										
r02	pso	queue_ok_longer.yml	true	true	correct	correct	4.155305085	3.698829236	0.8901462492735356	4.159800707013346	3.7050324759911746	0.8906754762901403	117370880.0	119992320.0	1.0223346710870702	34	34	49930431	49930431	0	0									4027081342	3570449768	3061344175	2646991793	822818710	794024528	109580195	95291479	44133960	44133960	8033	8033
r02	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.764135497	23.633663601	0.9945097141860484	23.78161418205127	23.66843467799481	0.995240882170989	25817088.0	25890816.0	1.002855782960495	0	0	0	0	0	0									13957508106	13945862795	6883343798	6891080607	5985020234	5960046099	0	0	319136	319136	319	319
r02	sc	queue_ok_longer.yml	true	true	correct	correct	0.453010813	0.488630368	1.0786284873955094	0.4570265000220388	0.4929420880507678	1.078585351236738	79380480.0	79396864.0	1.0002063983488132	0	0	0	0	0	0									335569978	365949873	168860726	174177984	107009774	113677551	19961658	25224644	23936072	23936072	4029	4029
r02	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.22212835	44.111225467	0.9341219256374326	47.24644042807631	44.16717928997241	0.9348255421952583	26038272.0	26120192.0	1.0031461381154632	35572	35572	455400086	455400086	0	0									37356836128	34217267110	29672669788	26544537376	6418322254	6398648137	0	0	281448	281448	319	319
r02	tso	queue_ok_longer.yml	true	true	correct	correct	1.12332921	1.050371161	0.9350519434992702	1.1275245849974453	1.054488299996592	0.935224219522434	55513088.0	54796288.0	0.9870877296539512	4	4	15503664	15503664	0	0									1011032787	933485360	885390250	808771683	109179772	107623544	9705749	10132192	13851760	13851760	4029	4029
