backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	61.094298572	62.72069303801982	1656991744		9	2026-07-15T06:35:19.720265+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	60.472804505	61.13615342200501	1657061376		9	2026-07-15T06:36:27.586488+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	61.161123077	62.44684161001351	1656987648		9	2026-07-15T06:37:35.866359+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	60.932321149	76.09740728000179	1657065472		9	2026-07-15T06:38:44.584993+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	60.870163661	68.35301196400542	1657061376		9	2026-07-15T06:40:17.929739+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	61.009214829	63.27660831605317	1657032704		9	2026-07-15T06:35:20.171628+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	60.970505584	65.44940513098845	1657012224		9	2026-07-15T06:36:28.001347+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	61.144945498	62.227002248051576	1657020416		9	2026-07-15T06:37:36.291101+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	61.108899213	80.3124455580255	1657077760		9	2026-07-15T06:38:45.055537+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	60.32738982	68.89128629799234	1657020416		9	2026-07-15T06:40:18.526017+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.08017833	63.595822639996186	1656995840		9	2026-07-15T06:35:19.731108+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.072224314	66.04702191997785	1657094144		9	2026-07-15T06:36:27.597922+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.098594228	63.49208209797507	1657020416		9	2026-07-15T06:37:35.891128+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	60.965111126	76.15500005299691	1656991744		9	2026-07-15T06:38:44.597245+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.164797518	62.82339322997723	1657077760		9	2026-07-15T06:40:17.938878+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	5.767551673	5.954024592007045	56729600	42		2026-07-15T06:35:19.631945+00:00	0										
caat-pso	r02	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	4.957798381	5.0662873039836995	56815616	42		2026-07-15T06:36:27.515204+00:00	0										
caat-pso	r03	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	6.795453695	8.566209346987307	56451072	42		2026-07-15T06:37:35.790989+00:00	0										
caat-pso	r04	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	4.622548148	5.389699075021781	56811520	42		2026-07-15T06:38:44.480508+00:00	0										
caat-pso	r05	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	6.460601583	7.140937187999953	56369152	42		2026-07-15T06:40:17.834829+00:00	0										
caat-pso	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.117546485	62.32398910995107	1657024512		9	2026-07-15T06:35:19.903217+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.049342479	63.86620944697643	1657049088		9	2026-07-15T06:36:27.721344+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.12002111	63.11230304901255	1657098240		9	2026-07-15T06:37:36.033248+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.037712449	78.63170580699807	1657032704		9	2026-07-15T06:38:44.712189+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.16520014	67.34266993100755	1657057280		9	2026-07-15T06:40:18.169592+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	61.035904499	64.24699290201534	1657085952		9	2026-07-15T06:35:19.669279+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	60.476013757	61.13180727296276	1657061376		9	2026-07-15T06:36:27.544756+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	61.16083978	63.52844006597297	1657110528		9	2026-07-15T06:37:35.816727+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	60.257017474	68.25030667200917	1657114624		9	2026-07-15T06:38:44.522757+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	61.158416813	67.80838583700825	1657028608		9	2026-07-15T06:40:17.856153+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.072940532	0.0814708840334788	26083328	42		2026-07-15T06:35:19.688160+00:00	0										
caat-pso	r02	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.092317748	0.10102326900232583	26009600	42		2026-07-15T06:36:27.556507+00:00	0										
