backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	61.053730129	64.70584582700394	1657028608		9	2026-07-15T06:35:19.525822+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	61.088191617	63.55220658797771	1657090048		9	2026-07-15T06:36:27.713481+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	61.007528546	63.86313318402972	1656995840		9	2026-07-15T06:37:35.665230+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	61.154723784	69.09753004700178	1657040896		9	2026-07-15T06:38:44.517427+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_01-simple_racing.yml	unreach-call	false	TIMEOUT	error	61.105584131	70.90323305199854	1656991744		9	2026-07-15T06:40:17.910282+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	61.102614961	62.26522102497984	1657085952		9	2026-07-15T06:35:19.907607+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	61.04283263	64.41144964698469	1657102336		9	2026-07-15T06:36:28.103593+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	60.921621093	65.46508176601492	1657020416		9	2026-07-15T06:37:36.107309+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	60.445795833	65.80634157301392	1657094144		9	2026-07-15T06:38:44.997496+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_06-cond_racing1.yml	unreach-call	false	TIMEOUT	error	61.110293857	69.87543894897681	1656999936		9	2026-07-15T06:40:18.511210+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.054605639	64.73958860902349	1657008128		9	2026-07-15T06:35:19.539807+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.104965685	62.84188964200439	1657114624		9	2026-07-15T06:36:27.727101+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.085124666	64.07362162001664	1657057280		9	2026-07-15T06:37:35.679849+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.138703671	69.5657383390353	1657012224		9	2026-07-15T06:38:44.534644+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	TIMEOUT	error	61.122976584	69.88607700297143	1657032704		9	2026-07-15T06:40:17.922411+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	4.88126643	4.995865870965645	56868864	42		2026-07-15T06:35:19.457505+00:00	0										
caat-pso	r02	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	6.29365762	6.676545595983043	56508416	42		2026-07-15T06:36:27.634523+00:00	0										
caat-pso	r03	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	4.831279946	5.01842547301203	57253888	42		2026-07-15T06:37:35.601913+00:00	0										
caat-pso	r04	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	6.363990014	6.8660221779718995	56918016	42		2026-07-15T06:38:44.437760+00:00	0										
caat-pso	r05	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	4.576637852	7.98089385201456	56393728	42		2026-07-15T06:40:17.752492+00:00	0										
caat-pso	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.052082758	63.443308853020426	1657028608		9	2026-07-15T06:35:19.655232+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.104644282	63.01793775398983	1657073664		9	2026-07-15T06:36:27.860025+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	60.958831952	64.77827646496007	1657008128		9	2026-07-15T06:37:35.787191+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.135506084	71.75197189004393	1657057280		9	2026-07-15T06:38:44.666800+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	TIMEOUT	error	61.13552396	68.28318889299408	1657061376		9	2026-07-15T06:40:18.096809+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	61.120628676	62.8045078550349	1657085952		9	2026-07-15T06:35:19.481527+00:00											
caat-pso	r02	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	61.131405684	62.60861868801294	1657073664		9	2026-07-15T06:36:27.672520+00:00											
caat-pso	r03	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	60.908928417	63.423107432958204	1657049088		9	2026-07-15T06:37:35.627465+00:00											
caat-pso	r04	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	61.163110602	69.81660415697843	1657028608		9	2026-07-15T06:38:44.463450+00:00											
caat-pso	r05	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	TIMEOUT	error	61.111661668	66.97670058201766	1657061376		9	2026-07-15T06:40:17.832488+00:00											
caat-pso	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.07671157	0.08517341903643683	25952256	42		2026-07-15T06:35:19.500491+00:00	0										
caat-pso	r02	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.079024953	0.08286593004595488	26083328	42		2026-07-15T06:36:27.686275+00:00	0										
caat-pso	r03	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.066574678	0.07273697800701484	26087424	42		2026-07-15T06:37:35.643154+00:00	0										
caat-pso	r04	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.078483039	0.09158490202389657	26091520	42		2026-07-15T06:38:44.482096+00:00	0										
caat-pso	r05	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.070208585	0.10558628401486203	26013696	42		2026-07-15T06:40:17.868054+00:00	0										
caat-pso	r01	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.070598655	0.07563198794377968	25960448	0		2026-07-15T06:35:19.514279+00:00	2										
caat-pso	r02	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.078310226	0.08869351400062442	26095616	0		2026-07-15T06:36:27.700174+00:00	2										
caat-pso	r03	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.068996815	0.07413271703990176	26046464	0		2026-07-15T06:37:35.653845+00:00	2										
caat-pso	r04	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.100350264	0.1054410319775343	26054656	0		2026-07-15T06:38:44.503999+00:00	2										
caat-pso	r05	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.07338998	0.15946759202051908	25956352	0		2026-07-15T06:40:17.890119+00:00	2										
caat-pso	r01	c/ldv-races/race-1_1-join.yml	unreach-call	true	true	correct	0.070359015	0.09747601300477982	26238976	0		2026-07-15T06:35:20.389493+00:00	1										
caat-pso	r02	c/ldv-races/race-1_1-join.yml	unreach-call	true	true	correct	0.083678464	0.1706402599811554	26247168	0		2026-07-15T06:36:29.010076+00:00	1										
caat-pso	r03	c/ldv-races/race-1_1-join.yml	unreach-call	true	true	correct	0.071921747	0.2757548520457931	26247168	0		2026-07-15T06:37:36.525177+00:00	1										
caat-pso	r04	c/ldv-races/race-1_1-join.yml	unreach-call	true	true	correct	0.089331094	0.17940212704706937	26271744	0		2026-07-15T06:38:45.749710+00:00	1										
caat-pso	r05	c/ldv-races/race-1_1-join.yml	unreach-call	true	true	correct	0.0761326	0.3023722299840301	26214400	0		2026-07-15T06:40:19.338239+00:00	1										
caat-pso	r01	c/ldv-races/race-1_2-join.yml	unreach-call	false	false(unreach-call)	correct	0.080987124	0.40549440000904724	26177536	42		2026-07-15T06:35:20.635397+00:00	1										
caat-pso	r02	c/ldv-races/race-1_2-join.yml	unreach-call	false	false(unreach-call)	correct	0.086648285	0.1168413870036602	26193920	42		2026-07-15T06:36:29.194269+00:00	1										
caat-pso	r03	c/ldv-races/race-1_2-join.yml	unreach-call	false	false(unreach-call)	correct	0.079268106	0.20691063499543816	26296320	42		2026-07-15T06:37:36.690157+00:00	1										
caat-pso	r04	c/ldv-races/race-1_2-join.yml	unreach-call	false	false(unreach-call)	correct	0.089731596	0.1441968459985219	26173440	42		2026-07-15T06:38:45.846659+00:00	1										
caat-pso	r05	c/ldv-races/race-1_2-join.yml	unreach-call	false	false(unreach-call)	correct	0.077766546	0.1953736720024608	26218496	42		2026-07-15T06:40:19.470368+00:00	1										
caat-pso	r01	c/ldv-races/race-1_3-join.yml	unreach-call	false	false(unreach-call)	correct	0.077221189	0.26312581897946075	26214400	42		2026-07-15T06:35:20.578965+00:00	1										
caat-pso	r02	c/ldv-races/race-1_3-join.yml	unreach-call	false	false(unreach-call)	correct	0.086581794	0.20233596698381007	26161152	42		2026-07-15T06:36:29.114307+00:00	1										
caat-pso	r03	c/ldv-races/race-1_3-join.yml	unreach-call	false	false(unreach-call)	correct	0.077539062	0.3164535660180263	26193920	42		2026-07-15T06:37:36.598198+00:00	1										
caat-pso	r04	c/ldv-races/race-1_3-join.yml	unreach-call	false	false(unreach-call)	correct	0.091175261	0.26389666204340756	26263552	42		2026-07-15T06:38:45.757244+00:00	1										
caat-pso	r05	c/ldv-races/race-1_3-join.yml	unreach-call	false	false(unreach-call)	correct	0.077402929	0.29836253699613735	26189824	42		2026-07-15T06:40:19.360163+00:00	1										
caat-pso	r01	c/ldv-races/race-2_1-container_of.yml	unreach-call	true	true	correct	0.077592779	0.25955000100657344	26267648	0		2026-07-15T06:35:20.663637+00:00	1										
caat-pso	r02	c/ldv-races/race-2_1-container_of.yml	unreach-call	true	true	correct	0.087260012	0.11107428697869182	26230784	0		2026-07-15T06:36:29.366300+00:00	1										
caat-pso	r03	c/ldv-races/race-2_1-container_of.yml	unreach-call	true	true	correct	0.08100555	0.2978424199973233	26243072	0		2026-07-15T06:37:36.979049+00:00	1										
caat-pso	r04	c/ldv-races/race-2_1-container_of.yml	unreach-call	true	true	correct	0.09187629	0.28032298799371347	26337280	0		2026-07-15T06:38:46.162652+00:00	1										
caat-pso	r05	c/ldv-races/race-2_1-container_of.yml	unreach-call	true	true	correct	0.083833934	0.21634682302828878	26279936	0		2026-07-15T06:40:19.798842+00:00	1										
caat-pso	r01	c/ldv-races/race-3_1-container_of-global.yml	unreach-call	true	true	correct	0.086035311	0.28693530696909875	26271744	0		2026-07-15T06:35:21.002470+00:00	1										
caat-pso	r02	c/ldv-races/race-3_1-container_of-global.yml	unreach-call	true	true	correct	0.087794724	0.10143948200857267	26370048	0		2026-07-15T06:36:29.463616+00:00	1										
caat-pso	r03	c/ldv-races/race-3_1-container_of-global.yml	unreach-call	true	true	correct	0.084104223	0.09874368301825598	26284032	0		2026-07-15T06:37:37.050055+00:00	1										
caat-pso	r04	c/ldv-races/race-3_1-container_of-global.yml	unreach-call	true	true	correct	0.091051402	0.31296326202573255	26259456	0		2026-07-15T06:38:46.197968+00:00	1										
caat-pso	r05	c/ldv-races/race-3_1-container_of-global.yml	unreach-call	true	true	correct	0.086010062	0.49212855100631714	26255360	0		2026-07-15T06:40:19.826004+00:00	1										
caat-pso	r01	c/ldv-races/race-4_1-thread_local_vars.yml	unreach-call	true	true	correct	0.078791965	0.2633390430128202	26304512	0		2026-07-15T06:35:20.631006+00:00	0	1									
caat-pso	r02	c/ldv-races/race-4_1-thread_local_vars.yml	unreach-call	true	true	correct	0.088764767	0.1626637329463847	26337280	0		2026-07-15T06:36:29.263322+00:00	0	1									
caat-pso	r03	c/ldv-races/race-4_1-thread_local_vars.yml	unreach-call	true	true	correct	0.087084484	0.3156778539996594	26255360	0		2026-07-15T06:37:36.922497+00:00	0	1									
caat-pso	r04	c/ldv-races/race-4_1-thread_local_vars.yml	unreach-call	true	true	correct	0.09339105	0.1884127400116995	26365952	0		2026-07-15T06:38:46.090056+00:00	0	1									
caat-pso	r05	c/ldv-races/race-4_1-thread_local_vars.yml	unreach-call	true	true	correct	0.079103404	0.13343541900394484	26374144	0		2026-07-15T06:40:19.571105+00:00	0	1									
caat-pso	r01	c/pthread-C-DAC/pthread-demo-datarace-3.yml	unreach-call	false	false(unreach-call)	correct	0.168498631	0.31585635599913076	26034176	42		2026-07-15T06:35:20.103478+00:00	0										
caat-pso	r02	c/pthread-C-DAC/pthread-demo-datarace-3.yml	unreach-call	false	false(unreach-call)	correct	0.195089005	0.6850177989690565	26042368	42		2026-07-15T06:36:28.419895+00:00	0										
caat-pso	r03	c/pthread-C-DAC/pthread-demo-datarace-3.yml	unreach-call	false	false(unreach-call)	correct	0.176159916	0.26457317697349936	26071040	42		2026-07-15T06:37:36.247988+00:00	0										
caat-pso	r04	c/pthread-C-DAC/pthread-demo-datarace-3.yml	unreach-call	false	false(unreach-call)	correct	0.201010524	0.8134125039796345	25989120	42		2026-07-15T06:38:45.252997+00:00	0										
caat-pso	r05	c/pthread-C-DAC/pthread-demo-datarace-3.yml	unreach-call	false	false(unreach-call)	correct	0.169412615	0.5596838410128839	25956352	42		2026-07-15T06:40:18.847804+00:00	0										
