backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.065911679	0.12188955099554732	25944064	0		2026-07-15T05:47:35.312741+00:00	2		21	22	10	1616	1616	256	580498	9	11
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.073228863	0.08038551697973162	26046464	0		2026-07-15T05:47:35.143913+00:00	2		15	16	7	1184	1184	136	612244	9	11
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.072394821	0.08422980399336666	25964544	42		2026-07-15T05:47:35.099598+00:00	0		8	8	0	608	608	34	531250	0	1
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.078800135	0.08250158000737429	25956352	42		2026-07-15T05:47:35.082925+00:00	0		8	8	0	608	608	34	531250	0	1
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.081880472	0.14465149899479002	26071040	0		2026-07-15T05:47:35.390827+00:00	3		22	23	15	1688	1688	254	642857	32	35
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.071261199	0.08059388102265075	25960448	42		2026-07-15T05:47:35.275479+00:00	0		0	0	0	0	0	0	0	0	0
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.07593911	0.08296159299788997	26017792	42		2026-07-15T05:47:35.236608+00:00	0		13	13	0	968	968	108	639053	0	1
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.072644664	0.08484170300653204	25956352	42		2026-07-15T05:47:35.263589+00:00	0		13	13	0	968	968	108	639053	0	1
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.076820429	0.08321143203647807	25980928	42		2026-07-15T05:47:35.219602+00:00	0		0	0	0	0	0	0	0	0	0
caat-pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.073700502	0.10559420299250633	26087424	0		2026-07-15T05:47:35.675093+00:00	2		23	24	15	1760	1760	288	632812	17	19
caat-pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.414347337	0.5104397049872205	26087424	0		2026-07-15T05:47:35.924045+00:00	7		56	57	46	4136	8272	1798	606481	334	432
caat-pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.073953386	0.0926897720200941	25956352	0		2026-07-15T05:47:35.440505+00:00	2		21	22	10	1616	1616	256	580498	9	11
caat-pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	1.428239559	2.264037147979252	26087424	0		2026-07-15T05:47:36.296325+00:00	26		59	61	48	4424	8848	2430	720533	1296	1564
caat-pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.09738171	0.12657223601127043	26087424	0		2026-07-15T05:47:35.979064+00:00	4		35	36	24	2624	5248	728	640000	65	91
