backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.068279252	0.07766648998949677	25935872	0		2026-07-15T06:05:30.828464+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.07475159	0.0860255720326677	25960448	0		2026-07-15T06:06:33.937924+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.084641556	0.09117483795853332	25956352	0		2026-07-15T06:07:37.111108+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.093089858	0.09595529496436939	25989120	0		2026-07-15T06:05:30.606233+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.091779796	0.09862466197228059	25960448	0		2026-07-15T06:06:33.716497+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.074310679	0.07794540701434016	25956352	0		2026-07-15T06:07:36.913110+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.077314604	0.08705819002352655	25952256	42		2026-07-15T06:05:30.560954+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.082204384	0.08870044001378119	25964544	42		2026-07-15T06:06:33.678629+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.094602941	0.1036843890324235	26038272	42		2026-07-15T06:07:36.883617+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.067585823	0.0737074869684875	25952256	42		2026-07-15T06:05:30.539178+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.067666961	0.07555573200806975	26034176	42		2026-07-15T06:06:33.662689+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.0797157	0.10001248604385182	25956352	42		2026-07-15T06:07:36.837267+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.095609565	0.09939478302840143	26034176	0		2026-07-15T06:05:30.849577+00:00	3										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.090109872	0.09971935796784237	25952256	0		2026-07-15T06:06:33.952272+00:00	3										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.073891368	0.08107214799383655	25976832	0		2026-07-15T06:07:37.098234+00:00	3										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.072741015	0.07718952803406864	26050560	42		2026-07-15T06:05:30.769205+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.068064019	0.07834644604008645	26062848	42		2026-07-15T06:06:33.865254+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.091638136	0.10375132400076836	26042368	42		2026-07-15T06:07:37.049300+00:00	0										
