backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.072599944	0.32763142394833267	25960448	0		2026-07-15T05:55:56.242200+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.084282296	0.09044299798551947	26034176	0		2026-07-15T05:57:00.491628+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_01-priv_nr_true.yml	unreach-call	true	true	correct	0.083582186	0.09072284097783267	25972736	0		2026-07-15T05:58:03.572563+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.084172598	0.11929263203637674	26013696	0		2026-07-15T05:55:55.889580+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.086757985	0.09179592499276623	25952256	0		2026-07-15T05:57:00.321006+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_true.yml	unreach-call	true	true	correct	0.07199353	0.0826049690367654	26017792	0		2026-07-15T05:58:03.366770+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.076362511	0.14583085995400324	26046464	42		2026-07-15T05:55:55.711388+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.088074773	0.09837674302980304	25952256	42		2026-07-15T05:57:00.285432+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.071077091	0.08136150700738654	26017792	42		2026-07-15T05:58:03.318834+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.071710061	0.11279838101472706	25952256	42		2026-07-15T05:55:55.783024+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.070025984	0.07987052301177755	26066944	42		2026-07-15T05:57:00.265986+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.085519209	0.0917121609672904	25952256	42		2026-07-15T05:58:03.293052+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.073308431	0.5067399250110611	26087424	0		2026-07-15T05:55:56.206068+00:00	3										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.086041432	0.09535076998872682	25956352	0		2026-07-15T05:57:00.504635+00:00	3										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_true.yml	unreach-call	true	true	correct	0.074042187	0.08206028095446527	25968640	0		2026-07-15T05:58:03.593577+00:00	3										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.081000875	0.5289981749956496	25952256	42		2026-07-15T05:55:56.244313+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.073855555	0.07846733595943078	25956352	42		2026-07-15T05:57:00.448816+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	unreach-call	false	false(unreach-call)	correct	0.072708275	0.08328895800514147	25935872	42		2026-07-15T05:58:03.501028+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.080582098	0.11400426598265767	25956352	42		2026-07-15T05:55:55.951430+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.097670457	0.10592455603182316	25956352	42		2026-07-15T05:57:00.403577+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	unreach-call	false	false(unreach-call)	correct	0.085875094	0.09271038201404735	25985024	42		2026-07-15T05:58:03.478663+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.071870225	0.24185114400461316	25935872	42		2026-07-15T05:55:56.287213+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.081777586	0.09078288899036124	25960448	42		2026-07-15T05:57:00.459937+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	unreach-call	false	false(unreach-call)	correct	0.071828539	0.08114542200928554	25960448	42		2026-07-15T05:58:03.512496+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.083170869	0.1100312460330315	26025984	42		2026-07-15T05:55:55.978725+00:00	0										
caat-pso	r02	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.0786117	0.08555701602017507	26066944	42		2026-07-15T05:57:00.429111+00:00	0										
caat-pso	r03	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	unreach-call	false	false(unreach-call)	correct	0.067866788	0.07866992498748004	26054656	42		2026-07-15T05:58:03.524575+00:00	0										
caat-pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.087261862	0.10145839600590989	26017792	0		2026-07-15T05:55:56.619974+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.08398406	0.10094580799341202	25952256	0		2026-07-15T05:57:00.629258+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_20-publish-regression_true.yml	unreach-call	true	true	correct	0.08087694	0.08895515801850706	25972736	0		2026-07-15T05:58:03.721586+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.139948439	0.19083850999595597	26066944	0		2026-07-15T05:55:57.178160+00:00	7										
caat-pso	r02	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.156937602	0.16714158694958314	26112000	0		2026-07-15T05:57:00.835572+00:00	7										
caat-pso	r03	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	unreach-call	true	true	correct	0.172671003	0.1796637579682283	25993216	0		2026-07-15T05:58:03.845055+00:00	7										
caat-pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.072587266	0.15537293901434168	26046464	0		2026-07-15T05:55:56.423437+00:00	2										
caat-pso	r02	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.074567676	0.08136043802369386	26021888	0		2026-07-15T05:57:00.563146+00:00	2										
caat-pso	r03	c/goblint-regression/13-privatized_25-struct_nr_true.yml	unreach-call	true	true	correct	0.069543806	0.07638514303835109	25964544	0		2026-07-15T05:58:03.650493+00:00	2										
caat-pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.35517709	0.3875242209760472	26116096	0		2026-07-15T05:55:57.061988+00:00	26										
caat-pso	r02	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.365315731	0.37423163501080126	26030080	0		2026-07-15T05:57:00.876160+00:00	26										
caat-pso	r03	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true	true	correct	0.348792295	0.3583962850389071	26050560	0		2026-07-15T05:58:03.909909+00:00	26										
caat-pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.088018921	0.1258466899744235	26083328	0		2026-07-15T05:55:56.879795+00:00	4										
caat-pso	r02	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.077266005	0.08807025902206078	25997312	0		2026-07-15T05:57:00.742329+00:00	4										
caat-pso	r03	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	unreach-call	true	true	correct	0.094396192	0.10199401900172234	26005504	0		2026-07-15T05:58:03.825243+00:00	4										
caat-pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.082153738	0.30093264795141295	25960448	0		2026-07-15T05:55:56.678907+00:00	2	2									
caat-pso	r02	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	unreach-call	true	true	correct	0.086138196	0.09696075698593631	25952256	0		2026-07-15T05:57:00.676586+00:00	2	2									
