variant	model	repetition	task	offline_ns	materialize_ns	peak_snapshot_bytes	max_current_base_bytes	max_stable_events	records	executions
after	pso	r01	01b_inc.yml	174009	73704	10072	1544	21	1	0
after	pso	r01	02_inc_cas.yml	0	0	0	0	0	1	0
after	pso	r01	13-privatized_01-priv_nr_true.yml	349870	146730	10528	1616	22	1	2
after	pso	r01	13-privatized_18-first-reads_true.yml	282000	122114	7792	1184	16	1	2
after	pso	r01	13-privatized_18-first-reads_unknown_1_neg.yml	26852	20026	4144	608	8	1	0
after	pso	r01	13-privatized_18-first-reads_unknown_2_pos.yml	30332	29171	4144	608	8	1	0
after	pso	r01	13-privatized_19-publish-precision_true.yml	1360643	481649	10984	1688	23	1	3
after	pso	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	32636	32667	6424	968	13	1	0
after	pso	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	33541	25166	6424	968	13	1	0
after	pso	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	1	0
after	pso	r01	13-privatized_20-publish-regression_true.yml	609426	219180	11440	1760	24	1	2
after	pso	r01	13-privatized_24-multiple-protecting_true.yml	33436707	13720896	26488	4136	57	1	7
after	pso	r01	13-privatized_25-struct_nr_true.yml	467727	192206	10528	1616	22	1	2
after	pso	r01	13-privatized_27-multiple-protecting2_true.yml	126506060	49040183	28312	4424	61	1	26
after	pso	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	3957697	1369881	16912	2624	36	1	4
after	pso	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	1049903	390360	12352	1904	26	1	2
after	pso	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	11420835	1345612	14176	2192	30	1	4
after	pso	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	3456151	1178038	16912	2624	36	1	3
after	pso	r01	13-privatized_33-traces-v-matters_true.yml	388010	152553	12808	1976	27	1	1
after	pso	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	519183	194081	13264	2048	28	1	1
after	pso	r01	13-privatized_35-traces-ex-2_true.yml	5134626	437226	11896	1832	25	1	2
after	pso	r01	13-privatized_36-traces-ex-3_true.yml	865603	317211	10528	1616	22	1	3
after	pso	r01	13-privatized_37-traces-ex-4_true.yml	1015038	388311	11896	1832	25	1	2
after	pso	r01	13-privatized_38-traces-ex-4-switch_true.yml	1039380	380595	11896	1832	25	1	2
after	pso	r01	13-privatized_40-traces-ex-6_true.yml	265928	116063	10072	1544	21	1	1
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	44486	27967	6424	968	13	1	0
after	pso	r01	13-privatized_42-traces-ex-mini_true.yml	711363	288131	12352	1904	26	1	2
after	pso	r01	13-privatized_44-traces-mine2_true.yml	112539	51767	10072	1544	21	1	1
after	pso	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	989344	376438	11896	1832	25	1	2
after	pso	r01	13-privatized_46-refine-protected1_true.yml	139522	66530	6880	1040	14	1	1
after	pso	r01	13-privatized_47-refine-protected2_true.yml	334828	139775	7336	1112	15	1	2
after	pso	r01	13-privatized_57-singlethreaded-unlock_true.yml	37193	32599	3232	464	6	1	1
after	pso	r01	13-privatized_58-singlethreaded-lock_true.yml	30875	19020	3232	464	6	1	1
after	pso	r01	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	1	1
after	pso	r01	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	34285	21225	5056	752	10	1	0
after	pso	r01	13-privatized_69-refine-protected-loop-interval_true.yml	32027	21428	5056	752	10	1	0
after	pso	r01	14_spin2003.yml	32480	22108	5968	896	12	1	0
after	pso	r01	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	-1
after	pso	r01	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	-1
after	pso	r01	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	-1
after	pso	r01	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	1	0
after	pso	r01	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	-1
after	pso	r01	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	-1
after	pso	r01	28-race_reach_45-escape_racing.yml	39131	23291	9160	1400	19	1	0
after	pso	r01	28-race_reach_46-escape_racefree.yml	1069403	370723	13720	2120	29	1	2
after	pso	r01	29_conditionals_vs.yml	0	0	0	0	0	1	0
after	pso	r01	36-apron_11-traces-max-simple_true.yml	350577	142055	7792	1184	16	1	2
after	pso	r01	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	1	1
after	pso	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r01	36-apron_21-traces-cluster-based_true.yml	3844131	2360132	16456	2552	35	1	6
after	pso	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	1	1
after	pso	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	1	0
after	pso	r01	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	1	0
after	pso	r01	45_monabsex1_vs.yml	115834	55114	7792	1184	16	1	0
after	pso	r01	46_monabsex2_vs.yml	266133	102736	10072	1544	21	1	0
after	pso	r01	48_ticket_lock_low_contention_vs-pthread.yml	32085	21145	5968	896	12	1	0
after	pso	r01	48_ticket_lock_low_contention_vs.yml	142309	58781	11896	1832	25	1	0
after	pso	r01	butterfly.yml	31111102640	8643653219	28312	4424	61	1	64560
after	pso	r01	circular_buffer_bad.yml	34013128	13464472	81736	12880	89	1	1
after	pso	r01	circular_buffer_ok.yml	0	0	0	0	0	0	-1
after	pso	r01	dekker-unfair.yml	1653870	500281	16456	2552	35	1	4
after	pso	r01	dekker.yml	1445668	454967	16456	2552	35	1	4
after	pso	r01	exponential-nondet.yml	0	0	0	0	0	1	1
after	pso	r01	fib_safe-5.yml	0	0	0	0	0	0	-1
after	pso	r01	fib_safe-6.yml	0	0	0	0	0	0	-1
after	pso	r01	fib_unsafe-5.yml	49053836184	8757504505	443944	70112	243	1	632
after	pso	r01	fib_unsafe-6.yml	0	0	0	0	0	0	-1
after	pso	r01	fib_unsafe-7.yml	0	0	0	0	0	0	-1
after	pso	r01	lazy01.yml	667940	243971	13720	2120	29	1	1
after	pso	r01	pthread-demo-datarace-3.yml	35131974	18481938	598144	94480	262	1	0
after	pso	r01	queue.yml	1852019692	684308891	374632	59168	205	1	2
after	pso	r01	queue_longer.yml	0	0	0	0	0	0	-1
after	pso	r01	queue_ok.yml	47511870	3434437	1383064	218456	433	1	2
after	pso	r01	queue_ok_longer.yml	24270360080	777219533	327539208	5872240	8033	1	2
after	pso	r01	queue_ok_longest.yml	0	0	0	0	0	0	-1
after	pso	r01	race-1_1-join.yml	81566	40676	7792	1184	16	1	1
after	pso	r01	race-1_2-join.yml	470116	180464	13264	2048	28	1	1
after	pso	r01	race-1_3-join.yml	454398	184420	13264	2048	28	1	1
after	pso	r01	race-2_1-container_of.yml	0	0	0	0	0	1	1
after	pso	r01	race-3_1-container_of-global.yml	0	0	0	0	0	1	1
after	pso	r01	race-4_1-thread_local_vars.yml	0	0	0	0	0	1	0
after	pso	r01	reorder_2.yml	826662913	257452756	75352	11872	82	1	162
after	pso	r01	singleton.yml	1162146	373673	21928	3416	47	1	1
after	pso	r01	singleton_with-uninit-problems.yml	3775743	1171174	22384	3488	48	1	4
after	pso	r01	stateful01-1.yml	628654	259690	16912	2624	36	1	0
after	pso	r01	stateful01-2.yml	5393540	2040942	16912	2624	36	1	6
after	pso	r01	szymanski.yml	13012728	3475533	14632	2264	31	1	6
after	pso	r01	time_var_mutex.yml	932109	340941	15544	2408	33	1	2
after	pso	r01	triangular-1.yml	0	0	0	0	0	0	-1
after	pso	r01	triangular-2.yml	28079379704	14833480175	62584	9856	68	1	3638
after	pso	r01	twostage_3.yml	13159470	3466199	92680	14608	101	1	4
after	pso	r01	unwind2-1.yml	94321	56824	8704	1328	18	1	1
after	pso	r01	unwind2-100.yml	4108798	52703	8704	1328	18	1	1
after	pso	r01	unwind3-1.yml	89506	41444	8704	1328	18	1	1
after	pso	r02	01b_inc.yml	228587	91474	10072	1544	21	1	0
after	pso	r02	02_inc_cas.yml	0	0	0	0	0	1	0
after	pso	r02	13-privatized_01-priv_nr_true.yml	354075	144547	10528	1616	22	1	2
after	pso	r02	13-privatized_18-first-reads_true.yml	356631	158065	7792	1184	16	1	2
after	pso	r02	13-privatized_18-first-reads_unknown_1_neg.yml	33640	23096	4144	608	8	1	0
after	pso	r02	13-privatized_18-first-reads_unknown_2_pos.yml	32905	23653	4144	608	8	1	0
after	pso	r02	13-privatized_19-publish-precision_true.yml	1020528	365867	10984	1688	23	1	3
after	pso	r02	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r02	13-privatized_19-publish-precision_unknown_1_pos.yml	41235	29116	6424	968	13	1	0
after	pso	r02	13-privatized_19-publish-precision_unknown_2_neg.yml	43372	30162	6424	968	13	1	0
after	pso	r02	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	1	0
after	pso	r02	13-privatized_20-publish-regression_true.yml	828242	279099	11440	1760	24	1	2
after	pso	r02	13-privatized_24-multiple-protecting_true.yml	41235448	16463521	26488	4136	57	1	7
after	pso	r02	13-privatized_25-struct_nr_true.yml	433852	181218	10528	1616	22	1	2
after	pso	r02	13-privatized_27-multiple-protecting2_true.yml	120656508	46587247	28312	4424	61	1	26
after	pso	r02	13-privatized_29-multiple-protecting2-vesal_true.yml	5026789	1720498	16912	2624	36	1	4
after	pso	r02	13-privatized_30-traces-oplus-vs-meet_true.yml	1013330	363961	12352	1904	26	1	2
after	pso	r02	13-privatized_31-traces-mine-vs-mutex_true.yml	2995372	1074237	14176	2192	30	1	4
after	pso	r02	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	3279753	1170726	16912	2624	36	1	3
after	pso	r02	13-privatized_33-traces-v-matters_true.yml	490480	188678	12808	1976	27	1	1
after	pso	r02	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	602036	215218	13264	2048	28	1	1
after	pso	r02	13-privatized_35-traces-ex-2_true.yml	979371	370702	11896	1832	25	1	2
after	pso	r02	13-privatized_36-traces-ex-3_true.yml	1047235	399430	10528	1616	22	1	3
after	pso	r02	13-privatized_37-traces-ex-4_true.yml	928420	329855	11896	1832	25	1	2
after	pso	r02	13-privatized_38-traces-ex-4-switch_true.yml	969716	361579	11896	1832	25	1	2
after	pso	r02	13-privatized_40-traces-ex-6_true.yml	266113	117030	10072	1544	21	1	1
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_pos.yml	37457	30368	6424	968	13	1	0
after	pso	r02	13-privatized_42-traces-ex-mini_true.yml	685034	248745	12352	1904	26	1	2
after	pso	r02	13-privatized_44-traces-mine2_true.yml	106216	46586	10072	1544	21	1	1
after	pso	r02	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	1248352	478299	11896	1832	25	1	2
after	pso	r02	13-privatized_46-refine-protected1_true.yml	139330	65004	6880	1040	14	1	1
after	pso	r02	13-privatized_47-refine-protected2_true.yml	247447	111074	7336	1112	15	1	2
after	pso	r02	13-privatized_57-singlethreaded-unlock_true.yml	45560	22909	3232	464	6	1	1
