variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.064084716	0.18122587504331023	26042368		146730	22	1616	1616	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.05749794	0.17105417896527797	26071040		122114	16	1184	1184	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.058407704	0.2140712720574811	25960448		20026	8	608	608	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.063416299	0.16385747399181128	25993216		29171	8	608	608	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.069695483	0.08518628298770636	26066944		481649	23	1688	1688	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.059445835	0.26937791204545647	26054656		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.058878352	0.2145210150629282	26083328		32667	13	968	968	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.05863912	0.27562411699909717	26013696		25166	13	968	968	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.062058432	0.09294041700195521	26058752		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.05784277	0.12629929406102747	26013696		219180	24	1760	1760	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.121271815	0.20329782296903431	26038272		13720896	57	4136	4136	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
