variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.065051771	0.07849249202990904	26087424	2026-07-15T13:54:47.919016+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.072451888	0.08164602902252227	25997312	2026-07-15T13:54:47.732617+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.072290389	0.0840714109945111	26091520	2026-07-15T13:54:47.703339+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.072119193	0.07728418201440945	25980928	2026-07-15T13:54:47.691728+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.074069834	0.08475536800688133	26066944	2026-07-15T13:54:47.962983+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.07434532	0.08615717699285597	26075136	2026-07-15T13:54:47.904016+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.066438065	0.07517934899078682	26046464	2026-07-15T13:54:47.854123+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.075049365	0.08241798001108691	25989120	2026-07-15T13:54:47.894060+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.067259553	0.07559000403853133	26042368	2026-07-15T13:54:47.882051+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.073087417	0.08456022699829191	26058752	2026-07-15T13:54:48.103996+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.15256544	0.16638572001829743	26075136	2026-07-15T13:54:48.220253+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.062856553	0.07080897898413241	26034176	2026-07-15T13:54:47.998900+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.315185153	0.33407096401788294	26140672	2026-07-15T13:54:48.283547+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.084152693	0.09351807099301368	26066944	2026-07-15T13:54:48.197325+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.066580663	0.08678323100320995	26005504	2026-07-15T13:54:48.116054+00:00		optimization-analysis/continuous/direct-from-read/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-54-47.results.caat-pso.perf.unreach-call.xml.bz2
