model	repetition	before_cores	after_cores	before_status	after_status	started	finished
sc	1	0-23	28-51	0	0	2026-07-15T13:41:54+00:00	2026-07-15T13:42:57+00:00
sc	2	28-51	0-23	0	0	2026-07-15T13:42:57+00:00	2026-07-15T13:44:00+00:00
sc	3	0-23	28-51	0	0	2026-07-15T13:44:00+00:00	2026-07-15T13:45:04+00:00
sc	4	28-51	0-23	0	0	2026-07-15T13:45:04+00:00	2026-07-15T13:46:07+00:00
sc	5	0-23	28-51	0	0	2026-07-15T13:46:07+00:00	2026-07-15T13:47:10+00:00
sc	6	28-51	0-23	0	0	2026-07-15T13:47:10+00:00	2026-07-15T13:48:15+00:00
tso	1	0-23	28-51	0	0	2026-07-15T13:48:15+00:00	2026-07-15T13:49:18+00:00
tso	2	28-51	0-23	0	0	2026-07-15T13:49:18+00:00	2026-07-15T13:50:23+00:00
tso	3	0-23	28-51	0	0	2026-07-15T13:50:23+00:00	2026-07-15T13:51:26+00:00
tso	4	28-51	0-23	0	0	2026-07-15T13:51:26+00:00	2026-07-15T13:52:40+00:00
tso	5	0-23	28-51	0	0	2026-07-15T13:52:40+00:00	2026-07-15T13:53:43+00:00
tso	6	28-51	0-23	0	0	2026-07-15T13:53:43+00:00	2026-07-15T13:54:47+00:00
pso	1	0-23	28-51	0	0	2026-07-15T13:54:47+00:00	2026-07-15T13:55:52+00:00
pso	2	28-51	0-23	0	0	2026-07-15T13:55:52+00:00	2026-07-15T13:56:56+00:00
pso	3	0-23	28-51	0	0	2026-07-15T13:56:56+00:00	2026-07-15T13:58:00+00:00
pso	4	28-51	0-23	0	0	2026-07-15T13:58:00+00:00	2026-07-15T13:59:03+00:00
pso	5	0-23	28-51	0	0	2026-07-15T13:59:04+00:00	2026-07-15T14:00:07+00:00
pso	6	28-51	0-23	0	0	2026-07-15T14:00:07+00:00	2026-07-15T14:01:10+00:00
