variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r01	01b_inc.yml	0	137129	4184	21	10	76	0	5	257	296	0	0	1	26021888
after	pso	r01	02_inc_cas.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26038272
after	pso	r01	13-privatized_01-priv_nr_true.yml	0	250128	4360	22	20	410	0	10	435	788	0	2	1	26009600
after	pso	r01	13-privatized_18-first-reads_true.yml	0	288238	3304	16	20	87	0	10	319	444	0	2	1	26021888
after	pso	r01	13-privatized_18-first-reads_unknown_1_neg.yml	0	37285	1896	8	2	12	0	1	37	62	0	0	1	26050560
after	pso	r01	13-privatized_18-first-reads_unknown_2_pos.yml	0	50873	1896	8	2	12	0	1	37	62	0	0	1	26025984
after	pso	r01	13-privatized_19-publish-precision_true.yml	0	939732	4536	23	66	521	0	33	1779	2234	0	3	1	26017792
after	pso	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26083328
after	pso	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	0	47999	2776	13	2	17	0	1	62	114	0	0	1	26103808
after	pso	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	0	54496	2776	13	2	17	0	1	62	114	0	0	1	26075136
after	pso	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26001408
after	pso	r01	13-privatized_20-publish-regression_true.yml	0	506813	4712	24	36	387	0	18	758	899	0	2	1	25976832
after	pso	r01	13-privatized_24-multiple-protecting_true.yml	0	16324916	10520	57	852	12744	0	426	49443	79141	0	7	1	26021888
after	pso	r01	13-privatized_25-struct_nr_true.yml	0	357783	4360	22	20	410	0	10	435	788	0	2	1	26087424
after	pso	r01	13-privatized_27-multiple-protecting2_true.yml	0	57836048	11224	61	3092	47319	0	1546	126165	191546	0	26	1	26116096
after	pso	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	0	1948528	6824	36	176	1937	0	88	5589	7742	0	4	1	26042368
after	pso	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	0	869579	5064	26	60	540	0	30	1470	1985	0	2	1	26083328
after	pso	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2308221	5768	30	168	1514	0	84	4423	5494	0	4	1	25985024
after	pso	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2369985	6824	36	152	1965	0	76	5031	7134	0	3	1	26079232
after	pso	r01	13-privatized_33-traces-v-matters_true.yml	0	349910	5240	27	20	121	0	10	509	1029	0	1	1	25980928
