variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.0642455	0.06981404195539653	26009600		145184	22	1616	1616	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.064677377	0.06984777399338782	26021888		144899	16	1184	1184	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.058014695	0.062063799938187	26050560		22665	8	608	608	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.069469953	0.0783232789253816	26025984		27000	8	608	608	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.073796439	0.08320312399882823	26017792		497264	23	1688	1688	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.063317114	0.07106108497828245	26083328		0	0	0	0	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.067920621	0.07775454595685005	26103808		33086	13	968	968	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.073297396	0.07741080492269248	26075136		27554	13	968	968	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.068445249	0.0746771739795804	26001408		0	0	0	0	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.064208627	0.07321723597124219	25976832		212023	24	1760	1760	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.106767992	0.11093693308066577	26021888		15628482	57	4136	4136	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.072113995	0.07571289304178208	26087424		214800	22	1616	1616	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.214909308	0.22992552095092833	26116096		59297326	61	4424	4424	1	optimization-analysis/continuous/fused-lazy-cycle/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_20-27-19.results.caat-pso.lazy-cycle.unreach-call.xml.bz2
