repetition	model	task	before_status	after_status	before_category	after_category	before_cpu_s	after_cpu_s	cpu_ratio	before_wall_s	after_wall_s	wall_ratio	before_rss_b	after_rss_b	rss_ratio	before_lazy-cycle-checks	after_lazy-cycle-checks	before_lazy-edge-candidates	after_lazy-edge-candidates	before_lazy-depth-fallbacks	after_lazy-depth-fallbacks	before_lazy-product-checks	after_lazy-product-checks	before_lazy-product-state-visits	after_lazy-product-state-visits	before_lazy-product-transitions	after_lazy-product-transitions	before_lazy-product-size-fallbacks	after_lazy-product-size-fallbacks	before_sync-ns	after_sync-ns	before_offline-ns	after_offline-ns	before_materialize-ns	after_materialize-ns	before_copy-ns	after_copy-ns	before_peak-snapshot-equivalent-bytes	after_peak-snapshot-equivalent-bytes	before_max-stable-events	after_max-stable-events
r01	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.934903345	60.976227061	1.000678161673057	61.01255767699331	61.00936453207396	0.999947664136025	26071040.0	26083328.0	1.000471327572663																										
r01	pso	queue_ok_longer.yml	true	true	correct	correct	4.189222859	4.093407336	0.9771280912415169	4.1972667559748515	4.102845604997128	0.9775041338882468	125472768.0	120729600.0	0.9621976300068553	34	34	49930431	49930426	0	0		1		25		28		16	4058104591	3969529090	3055800459	3048880633	833814963	779228883	136156084	103516531	44133960	44133960	8033	8033
r01	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.798365539	23.530059584	0.9887258662969813	23.830048147938214	23.543298793025315	0.9879668998932464	25882624.0	25886720.0	1.0001582528881152	0	0	0	0	0	0		0		0		0		0	14019407354	13822296450	6900103049	6862821791	6018865528	5873509835	0	0	319136	319136	319	319
r01	sc	queue_ok_longer.yml	true	true	correct	correct	0.465156808	0.45651816	0.9814285250663256	0.46909696992952377	0.46031849295832217	0.9812864342898645	79470592.0	79364096.0	0.9986599319657767	0	0	0	0	0	0		0		0		0		0	348648410	340102044	168953568	168456368	115501984	110347356	21191103	20985567	23936072	23936072	4029	4029
r01	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.629341218	40.036458258	0.8405839181094844	47.68656810303219	40.06096394802444	0.8400890552968338	26066944.0	26079232.0	1.0004714016341922	35572	35572	455400086	101540205	0	0		17786		42966528		1593488234		0	37735080204	30181821769	30036300471	22597815151	6416970893	6318941558	0	0	281448	281448	319	319
r01	tso	queue_ok_longer.yml	true	true	correct	correct	1.151601193	1.128631574	0.9800541896451472	1.1556044769240543	1.1345072349067777	0.9817435442328568	55463936.0	55574528.0	1.0019939443172587	4	4	15503664	15503664	0	0		0		0		0		2	1039918848	1014426937	913795220	894160672	109486905	103602358	9690018	9651088	13851760	13851760	4029	4029
r02	pso	fib_unsafe-7.yml	TIMEOUT	TIMEOUT	error	error	60.97755113	60.935606733	0.9993121337898503	61.00981061498169	61.01025238400325	1.0000072409505474	26112000.0	26112000.0	1.0																										
r02	pso	queue_ok_longer.yml	true	true	correct	correct	4.141907059	4.175239078	1.008047505297728	4.1489567689131945	4.182440105010755	1.008070302479033	120893440.0	122982400.0	1.0172793494833137	34	34	49930431	49930426	0	0		1		25		28		16	4009720022	4046541384	3028973603	3083821218	824458660	796669531	122921045	133342827	44133960	44133960	8033	8033
r02	sc	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	23.669248691	23.609669675	0.9974828514086864	23.68676706799306	23.641476160963066	0.9980879236537437	25833472.0	25821184.0	0.9995243380371016	0	0	0	0	0	0		0		0		0		0	13895133080	13848107018	6873251198	6880453327	5935921873	5873940202	0	0	319136	319136	319	319
r02	sc	queue_ok_longer.yml	true	true	correct	correct	0.420195137	0.461361483	1.097969591685208	0.4259299000259489	0.4639435779536143	1.0892486719653856	79446016.0	79339520.0	0.9986595174262735	0	0	0	0	0	0		0		0		0		0	307417793	345223131	143979713	168458341	103956297	112289079	20210608	21901395	23936072	23936072	4029	4029
r02	tso	fib_unsafe-7.yml	false(unreach-call)	false(unreach-call)	correct	correct	47.576329722	40.12979754	0.843482416035203	47.60301433491986	40.18284305196721	0.8441239197428412	26058752.0	26062848.0	1.0001571832756995	35572	35572	455400086	101540205	0	0		17786		42966528		1593488234		0	37676958046	30288505595	29998976925	22667365814	6410684422	6338991105	0	0	281448	281448	319	319
r02	tso	queue_ok_longer.yml	true	true	correct	correct	1.149285842	1.149049913	0.9997947168655715	1.1514098349725828	1.154308666009456	1.002517636161187	55508992.0	55541760.0	1.000590318772137	4	4	15503664	15503664	0	0		0		0		0		2	1036143717	1035510268	908940100	911939028	110112995	105519041	10107543	10848479	13851760	13851760	4029	4029
