variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.06379913	0.07249318697722629	26079232		102420	22	1616	1616	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.065664516	0.07045164104783908	26013696		108713	16	1184	1184	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.071115005	0.07861379999667406	26099712		19580	8	608	608	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.060867261	0.06549299799371511	26005504		16750	8	608	608	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.071618333	0.07488150801509619	26066944		266635	23	1688	1688	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.068358181	0.07977990998188034	25964544		0	0	0	0	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.062773194	0.0712278020218946	26066944		21520	13	968	968	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.070489861	0.08344196499092504	25964544		24778	13	968	968	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.061693536	0.06929884001147002	25952256		0	0	0	0	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.067267072	0.08315793098881841	26079232		186495	24	1760	1760	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.125418235	0.13230826903600246	26128384		9564083	57	4136	4136	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.06184639	0.06753499095793813	26071040		100468	22	1616	1616	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.228964981	0.23465985001530498	26058752		28512437	61	4424	4424	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.072087662	0.08028301602462307	25997312		1259706	36	2624	2624	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.063228884	0.06476906401803717	26066944		290572	26	1904	1904	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.070839228	0.07647616800386459	26013696		963259	30	2192	2192	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	0.073407621	0.07807559298817068	26107904		1131413	36	2624	2624	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	0.070092281	0.07520031998865306	25997312		158238	27	1976	1976	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	0.060383955	0.06809679098660126	26062848		134934	28	2048	2048	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	0.06544183	0.0721632509957999	26005504		276109	25	1832	1832	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	0.06612942	0.07077515497803688	26021888		298655	22	1616	1616	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	0.067465642	0.08377120998920873	25993216		313073	25	1832	1832	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	0.070469015	0.07853438699385151	26066944		359794	25	1832	1832	1	optimization-analysis/continuous/grouped-primitive-materialization/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_01-34-07.results.caat-pso.grouped-materialization.unreach-call.xml.bz2
