variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	executions	snapshot_bytes	base_bytes	lazy_checks	lazy_candidates
before	sc	r01	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	0.068285896	0.07280467497184873	25792512.0	1	0	0	0	0
before	sc	r01	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.064277525	0.07074187102261931	25784320.0	0	0	0	0	0
before	sc	r01	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	correct	0.06793181	0.07242019299883395	25800704.0	1	0	0	0	0
before	sc	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.071597334	0.07319624908268452	25747456.0	1	0	0	0	0
before	sc	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	correct	0.062955525	0.06914477003738284	25796608.0	2	2536	768	0	0
before	sc	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	0.065973851	0.07225344807375222	25849856.0	1	0	0	0	0
before	sc	r01	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	correct	0.065711327	0.07962274109013379	25825280.0	2	2536	768	0	0
before	sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.057891741	0.06547259399667382	25812992.0	0	2736	832	0	0
before	sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.069280192	0.07675671798642725	25804800.0	0	0	0	0	0
before	sc	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	0.06272058	0.06745210592634976	25772032.0	1	2936	896	0	0
before	sc	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.070356982	0.07796895201317966	25780224.0	1	0	0	0	0
before	sc	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	0.063654215	0.07068910100497305	25800704.0	1	2736	832	0	0
before	sc	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.068954896	0.07436865998897702	25862144.0	0	1736	512	0	0
before	sc	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.067334987	0.06975570297800004	25845760.0	0	1736	512	0	0
before	sc	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	0.057332264	0.06393850001040846	25825280.0	3	3736	1152	0	0
before	sc	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	correct	0.06754173	0.07251314097084105	25833472.0	2	2536	768	0	0
before	sc	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	correct	0.068015311	0.07456284400541335	25755648.0	2	4136	1280	0	0
before	sc	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	correct	0.065022724	0.0694456750061363	25812992.0	2	3136	960	0	0
before	sc	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	correct	0.073934407	0.07797835010569543	25829376.0	2	4136	1280	0	0
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	correct	0.064242764	0.07024447398725897	25858048.0	0	2736	832	0	0
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	0.068696734	0.07218835002277046	25882624.0	0	0	0	0	0
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	correct	0.065712531	0.07366907398682088	25829376.0	0	0	0	0	0
before	sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	0.059291603	0.06799840496387333	25788416.0	0	2736	832	0	0
before	sc	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	correct	0.067979062	0.07445531606208533	25726976.0	2	4136	1280	0	0
before	sc	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	correct	0.067088064	0.0713747589616105	25849856.0	2	3336	1024	0	0
