model	repetition	task	before_status	after_status	before_category	after_category	common_terminal	before_cpu_s	after_cpu_s	before_wall_s	after_wall_s	before_memory_bytes	after_memory_bytes	before_executions	after_executions	before_snapshot_bytes	after_snapshot_bytes	before_base_bytes	after_base_bytes	before_lazy_checks	after_lazy_checks	before_lazy_candidates	after_lazy_candidates	terminal_verdict_match	execution_match	candidate_match	lazy_check_match	snapshot_match	base_match	cpu_ratio	wall_ratio	memory_ratio	full_check_ratio	candidate_ratio
sc	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	correct	True	0.067088064	0.065839098	0.0713747589616105	0.06798931490629911	25849856.0	25829376.0	2	2	3336	3336	1024	1024	0	0	0	0	True	True	True	True	True	True	0.9813831861357633	0.9525680492016475	0.9992077325305023		
sc	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	correct	True	0.06754173	0.064363762	0.07251314097084105	0.07359837205149233	25833472.0	25772032.0	2	2	2536	2536	768	768	0	0	0	0	True	True	True	True	True	True	0.9529480811344336	1.0149659919032838	0.9976216901855082		
sc	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.067334987	0.066424261	0.06975570297800004	0.07308716792613268	25845760.0	25833472.0	0	0	1736	1736	512	512	0	0	0	0	True	True	True	True	True	True	0.9864746985100035	1.0477590333966433	0.9995245641838352		
sc	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.068954896	0.067944108	0.07436865998897702	0.0752667059423402	25862144.0	25849856.0	0	0	1736	1736	512	512	0	0	0	0	True	True	True	True	True	True	0.9853413164454632	1.0120755968104882	0.9995248653785239		
sc	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	correct	True	0.063855728	0.06279494	0.07037971296813339	0.07053277490194887	25755648.0	25841664.0	3	3	3736	3736	1152	1152	0	0	0	0	True	True	True	True	True	True	0.9833877393113425	1.002174801904702	1.0033396946564885		
sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.065712531	0.065661081	0.07366907398682088	0.07321872108150274	25829376.0	25833472.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9992170443107722	0.9938868119151504	1.0001585791309864		
sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.064242764	0.068055208	0.07024447398725897	0.07570286805275828	25858048.0	25829376.0	0	0	2736	2736	832	832	0	0	0	0	True	True	True	True	True	True	1.0593443333166677	1.0777056721428273	0.9988911769364803		
sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.059291603	0.067355627	0.06799840496387333	0.06996076693758368	25788416.0	25821184.0	0	0	2736	2736	832	832	0	0	0	0	True	True	True	True	True	True	1.1360061727459114	1.0288589412465328	1.0012706480304956		
sc	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.068696734	0.064402573	0.07218835002277046	0.06972426699940115	25882624.0	25837568.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9374910457897461	0.9658659184952688	0.9982592182307327		
sc	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	correct	True	0.066706549	0.066470914	0.0733607659349218	0.07176965288817883	25804800.0	25829376.0	2	2	2536	2536	768	768	0	0	0	0	True	True	True	True	True	True	0.9964675882123658	0.9783111173054757	1.000952380952381		
sc	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	correct	True	0.068177282	0.07365895	0.0721358209848404	0.07840394496452063	25866240.0	25862144.0	7	7	10536	10536	3328	3328	0	0	0	0	True	True	True	True	True	True	1.0804031466082793	1.0868933616350953	0.9998416468725257		
sc	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	correct	True	0.06938221	0.066272266	0.07353334699291736	0.07446806994266808	25907200.0	25829376.0	2	2	3336	3336	1024	1024	0	0	0	0	True	True	True	True	True	True	0.9551766367776408	1.0127115518057508	0.99699604743083		
sc	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	correct	True	0.076907572	0.084745439	0.08500122593250126	0.09212668996769935	25858048.0	25935872.0	26	26	12336	12336	3904	3904	0	0	0	0	True	True	True	True	True	True	1.1019128129542304	1.0838277796235123	1.0030096626009821		
sc	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	correct	True	0.063557055	0.069148974	0.06777593307197094	0.07363680994603783	25870336.0	25825280.0	4	4	6336	6336	1984	1984	0	0	0	0	True	True	True	True	True	True	1.0879826637656511	1.0864743074483867	0.9982583913869537		
sc	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	correct	True	0.071696546	0.066889579	0.0756486461032182	0.07592469407245517	25792512.0	25866240.0	2	2	4336	4336	1344	1344	0	0	0	0	True	True	True	True	True	True	0.9329539947433452	1.00364908010198	1.0028585040495475		
sc	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	correct	True	0.067747123	0.06556798	0.07607803493738174	0.07066434610169381	25780224.0	25788416.0	4	4	5136	5136	1600	1600	0	0	0	0	True	True	True	True	True	True	0.9678341617547359	0.928840317180329	1.0003177629488402		
sc	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	correct	True	0.069204151	0.069340554	0.07576442894060165	0.07685122103430331	25849856.0	25858048.0	3	3	6136	6136	1920	1920	0	0	0	0	True	True	True	True	True	True	1.001971023385577	1.0143443580173184	1.000316906987799		
sc	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	correct	True	0.068528693	0.065282489	0.07284782000351697	0.07336893398314714	25825280.0	25845760.0	1	1	3936	3936	1216	1216	0	0	0	0	True	True	True	True	True	True	0.9526300027347668	1.0071534601804832	1.000793021411578		
sc	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	correct	True	0.071961728	0.06754606	0.07748163200449198	0.07326785090845078	25784320.0	25878528.0	1	1	2936	2936	896	896	0	0	0	0	True	True	True	True	True	True	0.9386386608170387	0.9456157416018688	1.0036536934074662		
sc	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	correct	True	0.068015311	0.061820237	0.07456284400541335	0.06741286907345057	25755648.0	25772032.0	2	2	4136	4136	1280	1280	0	0	0	0	True	True	True	True	True	True	0.9089164791145335	0.9041080711534596	1.0006361323155217		
sc	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	correct	True	0.057332264	0.065059411	0.06393850001040846	0.0692742558894679	25825280.0	25780224.0	3	3	3736	3736	1152	1152	0	0	0	0	True	True	True	True	True	True	1.1347783335400814	1.083451377154466	0.9982553528945282		
sc	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	correct	True	0.065022724	0.064556675	0.0694456750061363	0.07125850301235914	25812992.0	25804800.0	2	2	3136	3136	960	960	0	0	0	0	True	True	True	True	True	True	0.9928325211352264	1.0261042607198023	0.999682640431609		
sc	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	correct	True	0.073934407	0.076276739	0.07797835010569543	0.08004404790699482	25829376.0	25772032.0	2	2	4136	4136	1280	1280	0	0	0	0	True	True	True	True	True	True	1.0316812171091059	1.0264906579646715	0.9977798921661909		
sc	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	correct	correct	True	0.06272058	0.06614948	0.06745210592634976	0.07272099598776549	25772032.0	25804800.0	1	1	2936	2936	896	896	0	0	0	0	True	True	True	True	True	True	1.0546694561816872	1.0781130550196427	1.0012714558169105		
sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.069280192	0.063008307	0.07675671798642725	0.06987333402503282	25804800.0	25792512.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9094707329910402	0.9103220650652154	0.9995238095238095		
sc	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.057891741	0.065463345	0.06547259399667382	0.07422566192690283	25812992.0	25817088.0	0	0	2736	2736	832	832	0	0	0	0	True	True	True	True	True	True	1.1307890187652156	1.1336905626600602	1.0001586797841955		
sc	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	correct	True	0.064736541	0.067394961	0.06944857002235949	0.07283519604243338	25870336.0	25796608.0	2	2	3936	3936	1216	1216	0	0	0	0	True	True	True	True	True	True	1.041065215393575	1.0487645176708973	0.9971500949968335		
sc	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	correct	True	0.063654215	0.067136157	0.07068910100497305	0.0731947070453316	25800704.0	25845760.0	1	1	2736	2736	832	832	0	0	0	0	True	True	True	True	True	True	1.0547008866577021	1.0354454364921442	1.0017463089379266		
